anchor_hour_wib,original_sessions,normalized_sessions,sessions_removed,original_leaves,original_h2,original_h2_rate,normalized_leaves,normalized_h2,normalized_h2_rate,rate_delta,rate_delta_pp,original_rank,normalized_rank,rank_delta
0,1095,1095,0,137,105,0.7664233576642335,137,105,0.7664233576642335,0.0,0.0,7,7,0
1,1095,1095,0,162,132,0.8148148148148148,162,132,0.8148148148148148,0.0,0.0,1,1,0
2,1095,1095,0,162,126,0.7777777777777778,162,126,0.7777777777777778,0.0,0.0,3,3,0
3,1095,1095,0,142,96,0.676056338028169,142,96,0.676056338028169,0.0,0.0,22,22,0
4,1095,1095,0,142,108,0.7605633802816901,142,108,0.7605633802816901,0.0,0.0,9,9,0
5,1095,1095,0,141,94,0.6666666666666666,141,94,0.6666666666666666,0.0,0.0,23,23,0
6,1095,1095,0,148,104,0.7027027027027027,148,104,0.7027027027027027,0.0,0.0,17,17,0
7,1096,1095,1,149,114,0.7651006711409396,149,114,0.7651006711409396,0.0,0.0,8,8,0
8,1096,1095,1,143,113,0.7902097902097902,143,113,0.7902097902097902,0.0,0.0,2,2,0
9,1096,1095,1,161,118,0.7329192546583851,161,118,0.7329192546583851,0.0,0.0,15,15,0
10,1096,1095,1,175,136,0.7771428571428571,175,136,0.7771428571428571,0.0,0.0,5,5,0
11,1096,1095,1,159,120,0.7547169811320755,159,120,0.7547169811320755,0.0,0.0,11,11,0
12,1096,1095,1,161,117,0.7267080745341615,161,117,0.7267080745341615,0.0,0.0,16,16,0
13,1096,1095,1,183,139,0.7595628415300546,183,139,0.7595628415300546,0.0,0.0,10,10,0
14,1096,1095,1,162,126,0.7777777777777778,162,126,0.7777777777777778,0.0,0.0,4,4,0
15,1096,1095,1,178,132,0.7415730337078652,178,132,0.7415730337078652,0.0,0.0,13,13,0
16,1096,1095,1,157,107,0.6815286624203821,156,106,0.6794871794871795,-0.0020414829332026097,-0.20414829332026097,21,21,0
17,1096,1095,1,142,94,0.6619718309859155,141,93,0.6595744680851063,-0.0023973629008091635,-0.23973629008091635,24,24,0
18,1096,1095,1,127,89,0.7007874015748031,127,89,0.7007874015748031,0.0,0.0,18,18,0
19,1096,1095,1,133,91,0.6842105263157895,133,91,0.6842105263157895,0.0,0.0,20,20,0
20,1096,1095,1,129,89,0.689922480620155,128,88,0.6875,-0.002422480620155043,-0.2422480620155043,19,19,0
21,1096,1095,1,145,107,0.7379310344827587,145,107,0.7379310344827587,0.0,0.0,14,14,0
22,1096,1095,1,147,114,0.7755102040816326,147,114,0.7755102040816326,0.0,0.0,6,6,0
23,1096,1095,1,145,109,0.7517241379310344,145,109,0.7517241379310344,0.0,0.0,12,12,0
