anchor_hour_wib,sessions,k1_qualified,k1_rate,causal_leave,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
0,1095,230,0.2100456621004566,137,105,5,0,27,0.7664233576642335,0.9545454545454546,20.0
1,1095,269,0.245662100456621,162,132,9,0,21,0.8148148148148148,0.9361702127659575,25.0
2,1095,278,0.25388127853881276,162,126,14,0,22,0.7777777777777778,0.9,20.0
3,1095,251,0.22922374429223744,142,96,21,0,25,0.676056338028169,0.8205128205128205,15.0
4,1095,224,0.2045662100456621,142,108,7,0,27,0.7605633802816901,0.9391304347826087,17.5
5,1095,222,0.20273972602739726,141,94,4,0,43,0.6666666666666666,0.9591836734693877,20.0
6,1095,234,0.2136986301369863,148,104,8,0,36,0.7027027027027027,0.9285714285714286,17.5
7,1095,222,0.20273972602739726,149,114,4,0,31,0.7651006711409396,0.9661016949152542,20.0
8,1095,236,0.21552511415525114,143,113,9,0,21,0.7902097902097902,0.9262295081967213,20.0
9,1095,252,0.23013698630136986,161,118,13,0,30,0.7329192546583851,0.9007633587786259,15.0
10,1095,271,0.24748858447488584,175,136,14,0,25,0.7771428571428571,0.9066666666666666,15.0
11,1095,253,0.2310502283105023,159,120,13,0,26,0.7547169811320755,0.9022556390977443,15.0
12,1095,252,0.23013698630136986,161,117,16,0,28,0.7267080745341615,0.8796992481203008,20.0
13,1095,277,0.25296803652968036,183,139,12,0,32,0.7595628415300546,0.9205298013245033,20.0
14,1095,233,0.21278538812785389,162,126,12,0,24,0.7777777777777778,0.9130434782608695,17.5
15,1095,250,0.228310502283105,178,132,25,1,20,0.7415730337078652,0.8407643312101911,25.0
16,1095,238,0.217351598173516,156,106,32,0,18,0.6794871794871795,0.7681159420289855,15.0
17,1095,224,0.2045662100456621,141,93,26,0,22,0.6595744680851063,0.7815126050420168,15.0
18,1095,214,0.1954337899543379,127,89,9,0,29,0.7007874015748031,0.9081632653061225,15.0
19,1095,205,0.1872146118721461,133,91,12,0,30,0.6842105263157895,0.883495145631068,15.0
20,1095,201,0.18356164383561643,128,88,9,0,31,0.6875,0.9072164948453608,20.0
21,1095,208,0.18995433789954339,145,107,8,0,30,0.7379310344827587,0.9304347826086956,20.0
22,1095,227,0.20730593607305936,147,114,8,0,25,0.7755102040816326,0.9344262295081968,15.0
23,1095,231,0.21095890410958903,145,109,10,0,26,0.7517241379310344,0.9159663865546218,15.0
