local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
2022-01-02,Sunday,2022-01-01 19:00:00+00:00,2022-01-01 23:00:00+00:00,2022-01-01 23:00:00+00:00,2022-01-02 03:00:00+00:00,527.39,522.89,4.5,True,,1,0,2022-01-01 23:50:00+00:00,2022-01-01 23:55:00+00:00,False,,,BREAK_DURING_K1,2022-01-02 00:00:00+00:00,
2022-01-03,Monday,2022-01-02 19:00:00+00:00,2022-01-02 23:00:00+00:00,2022-01-02 23:00:00+00:00,2022-01-03 03:00:00+00:00,531.65,526.51,5.139999999999986,True,,1,0,2022-01-02 23:00:00+00:00,2022-01-02 23:05:00+00:00,False,,,BREAK_DURING_K1,2022-01-02 23:05:00+00:00,
2022-01-04,Tuesday,2022-01-03 19:00:00+00:00,2022-01-03 23:00:00+00:00,2022-01-03 23:00:00+00:00,2022-01-04 03:00:00+00:00,519.01,510.41,8.599999999999966,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-04 00:20:00+00:00,
2022-01-05,Wednesday,2022-01-04 19:00:00+00:00,2022-01-04 23:00:00+00:00,2022-01-04 23:00:00+00:00,2022-01-05 03:00:00+00:00,512.86,505.52,7.340000000000032,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-05 00:00:00+00:00,
2022-01-06,Thursday,2022-01-05 19:00:00+00:00,2022-01-05 23:00:00+00:00,2022-01-05 23:00:00+00:00,2022-01-06 03:00:00+00:00,508.94,456.2,52.74000000000001,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-07,Friday,2022-01-06 19:00:00+00:00,2022-01-06 23:00:00+00:00,2022-01-06 23:00:00+00:00,2022-01-07 03:00:00+00:00,480.85,473.51,7.340000000000032,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-06 23:45:00+00:00,
2022-01-08,Saturday,2022-01-07 19:00:00+00:00,2022-01-07 23:00:00+00:00,2022-01-07 23:00:00+00:00,2022-01-08 03:00:00+00:00,452.88,445.88,7.0,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-07 23:15:00+00:00,
2022-01-09,Sunday,2022-01-08 19:00:00+00:00,2022-01-08 23:00:00+00:00,2022-01-08 23:00:00+00:00,2022-01-09 03:00:00+00:00,437.07,416.0,21.069999999999993,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-10,Monday,2022-01-09 19:00:00+00:00,2022-01-09 23:00:00+00:00,2022-01-09 23:00:00+00:00,2022-01-10 03:00:00+00:00,444.14,438.07,6.069999999999993,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-09 23:20:00+00:00,
2022-01-11,Tuesday,2022-01-10 19:00:00+00:00,2022-01-10 23:00:00+00:00,2022-01-10 23:00:00+00:00,2022-01-11 03:00:00+00:00,425.6,417.34,8.260000000000048,True,,1,0,2022-01-11 02:00:00+00:00,2022-01-11 02:05:00+00:00,False,,,BREAK_DURING_K1,2022-01-11 02:05:00+00:00,
2022-01-12,Wednesday,2022-01-11 19:00:00+00:00,2022-01-11 23:00:00+00:00,2022-01-11 23:00:00+00:00,2022-01-12 03:00:00+00:00,461.87,455.64,6.230000000000018,True,,1,0,2022-01-11 23:05:00+00:00,2022-01-11 23:10:00+00:00,False,,,BREAK_DURING_K1,2022-01-11 23:10:00+00:00,
2022-01-13,Thursday,2022-01-12 19:00:00+00:00,2022-01-12 23:00:00+00:00,2022-01-12 23:00:00+00:00,2022-01-13 03:00:00+00:00,488.41,482.27,6.140000000000043,True,,1,0,2022-01-13 00:05:00+00:00,2022-01-13 00:10:00+00:00,True,2022-01-13 00:10:00+00:00,2022-01-13 00:15:00+00:00,OPPOSITE_BREAK_BEFORE_H2,2022-01-13 00:55:00+00:00,
2022-01-14,Friday,2022-01-13 19:00:00+00:00,2022-01-13 23:00:00+00:00,2022-01-13 23:00:00+00:00,2022-01-14 03:00:00+00:00,479.31,468.62,10.689999999999998,True,,1,0,2022-01-14 00:45:00+00:00,2022-01-14 00:50:00+00:00,False,,,BREAK_DURING_K1,2022-01-14 00:50:00+00:00,
2022-01-15,Saturday,2022-01-14 19:00:00+00:00,2022-01-14 23:00:00+00:00,2022-01-14 23:00:00+00:00,2022-01-15 03:00:00+00:00,492.28,481.98,10.299999999999955,True,,1,0,2022-01-15 00:00:00+00:00,2022-01-15 00:05:00+00:00,True,2022-01-15 00:05:00+00:00,2022-01-15 00:10:00+00:00,NO_H2_BY_END,,
2022-01-16,Sunday,2022-01-15 19:00:00+00:00,2022-01-15 23:00:00+00:00,2022-01-15 23:00:00+00:00,2022-01-16 03:00:00+00:00,499.45,493.0,6.449999999999989,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-16 00:00:00+00:00,
2022-01-17,Monday,2022-01-16 19:00:00+00:00,2022-01-16 23:00:00+00:00,2022-01-16 23:00:00+00:00,2022-01-17 03:00:00+00:00,500.53,496.6,3.92999999999995,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-17 00:00:00+00:00,
2022-01-18,Tuesday,2022-01-17 19:00:00+00:00,2022-01-17 23:00:00+00:00,2022-01-17 23:00:00+00:00,2022-01-18 03:00:00+00:00,477.89,466.47,11.419999999999959,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-18 01:10:00+00:00,
2022-01-19,Wednesday,2022-01-18 19:00:00+00:00,2022-01-18 23:00:00+00:00,2022-01-18 23:00:00+00:00,2022-01-19 03:00:00+00:00,473.59,459.55,14.039999999999964,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-20,Thursday,2022-01-19 19:00:00+00:00,2022-01-19 23:00:00+00:00,2022-01-19 23:00:00+00:00,2022-01-20 03:00:00+00:00,471.92,464.67,7.25,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-19 23:45:00+00:00,
2022-01-21,Friday,2022-01-20 19:00:00+00:00,2022-01-20 23:00:00+00:00,2022-01-20 23:00:00+00:00,2022-01-21 03:00:00+00:00,467.91,444.15,23.760000000000048,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-20 23:15:00+00:00,
2022-01-22,Saturday,2022-01-21 19:00:00+00:00,2022-01-21 23:00:00+00:00,2022-01-21 23:00:00+00:00,2022-01-22 03:00:00+00:00,418.78,373.11,45.66999999999996,False,NO_K1,0,0,,,False,,,NO_K1,,
2022-01-23,Sunday,2022-01-22 19:00:00+00:00,2022-01-22 23:00:00+00:00,2022-01-22 23:00:00+00:00,2022-01-23 03:00:00+00:00,366.46,346.0,20.45999999999998,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-23 00:50:00+00:00,
