anchor_hour_wib,scope,label,sessions,k1_qualified,k1_rate,causal_leave,leave_rate,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
6,POOLED,STRONG_STRUCTURAL,1095,234,0.2136986301369863,148,0.6324786324786325,104,8,0,36,0.7027027027027027,0.9285714285714286,17.5
6,Monday,,157,30,0.1910828025477707,15,0.5,10,1,0,4,0.6666666666666666,0.9090909090909091,32.5
6,Tuesday,,157,33,0.21019108280254778,21,0.6363636363636364,13,0,0,8,0.6190476190476191,1.0,20.0
6,Wednesday,,156,27,0.17307692307692307,20,0.7407407407407407,14,2,0,4,0.7,0.875,25.0
6,Thursday,,156,29,0.1858974358974359,18,0.6206896551724138,13,2,0,3,0.7222222222222222,0.8666666666666667,10.0
6,Friday,,156,36,0.23076923076923078,26,0.7222222222222222,16,2,0,8,0.6153846153846154,0.8888888888888888,10.0
6,Saturday,,156,38,0.24358974358974358,19,0.5,14,1,0,4,0.7368421052631579,0.9333333333333333,25.0
6,Sunday,,157,41,0.2611464968152866,29,0.7073170731707317,24,0,0,5,0.8275862068965517,1.0,27.5
7,POOLED,STRONG_STRUCTURAL,1096,222,0.20255474452554745,149,0.6711711711711712,114,4,0,31,0.7651006711409396,0.9661016949152542,20.0
7,Monday,,157,25,0.1592356687898089,18,0.72,12,0,0,6,0.6666666666666666,1.0,32.5
7,Tuesday,,157,36,0.22929936305732485,24,0.6666666666666666,19,1,0,4,0.7916666666666666,0.95,20.0
7,Wednesday,,156,34,0.21794871794871795,26,0.7647058823529411,22,1,0,3,0.8461538461538461,0.9565217391304348,32.5
7,Thursday,,156,25,0.16025641025641027,17,0.68,11,1,0,5,0.6470588235294118,0.9166666666666666,15.0
7,Friday,,156,35,0.22435897435897437,20,0.5714285714285714,17,0,0,3,0.85,1.0,20.0
7,Saturday,,157,37,0.2356687898089172,20,0.5405405405405406,17,0,0,3,0.85,1.0,15.0
7,Sunday,,157,30,0.1910828025477707,24,0.8,16,1,0,7,0.6666666666666666,0.9411764705882353,27.5
8,POOLED,STRONG_STRUCTURAL,1096,236,0.21532846715328466,143,0.6059322033898306,113,9,0,21,0.7902097902097902,0.9262295081967213,20.0
8,Monday,,157,28,0.17834394904458598,17,0.6071428571428571,15,1,0,1,0.8823529411764706,0.9375,20.0
8,Tuesday,,157,34,0.21656050955414013,21,0.6176470588235294,17,2,0,2,0.8095238095238095,0.8947368421052632,25.0
8,Wednesday,,156,37,0.23717948717948717,22,0.5945945945945946,15,2,0,5,0.6818181818181818,0.8823529411764706,15.0
8,Thursday,,156,32,0.20512820512820512,16,0.5,12,0,0,4,0.75,1.0,15.0
8,Friday,,156,30,0.19230769230769232,19,0.6333333333333333,16,1,0,2,0.8421052631578947,0.9411764705882353,20.0
8,Saturday,,157,38,0.24203821656050956,25,0.6578947368421053,21,1,0,3,0.84,0.9545454545454546,30.0
8,Sunday,,157,37,0.2356687898089172,23,0.6216216216216216,17,2,0,4,0.7391304347826086,0.8947368421052632,10.0
9,POOLED,STRONG_STRUCTURAL,1096,252,0.22992700729927007,161,0.6388888888888888,118,13,0,30,0.7329192546583851,0.9007633587786259,15.0
9,Monday,,157,31,0.19745222929936307,17,0.5483870967741935,14,1,0,2,0.8235294117647058,0.9333333333333333,15.0
9,Tuesday,,157,28,0.17834394904458598,21,0.75,17,2,0,2,0.8095238095238095,0.8947368421052632,15.0
9,Wednesday,,156,40,0.2564102564102564,24,0.6,19,1,0,4,0.7916666666666666,0.95,10.0
9,Thursday,,156,39,0.25,22,0.5641025641025641,15,3,0,4,0.6818181818181818,0.8333333333333334,20.0
9,Friday,,156,33,0.21153846153846154,23,0.696969696969697,16,4,0,3,0.6956521739130435,0.8,27.5
9,Saturday,,157,43,0.27388535031847133,31,0.7209302325581395,22,1,0,8,0.7096774193548387,0.9565217391304348,15.0
9,Sunday,,157,38,0.24203821656050956,23,0.6052631578947368,15,1,0,7,0.6521739130434783,0.9375,10.0
