anchor_hour_wib,local_date,weekday,reference_start_utc,reference_end_utc,execution_start_utc,execution_end_utc,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
14,2022-01-01,Saturday,2022-01-01 07:00:00+00:00,2022-01-01 11:00:00+00:00,2022-01-01 11:00:00+00:00,2022-01-01 15:00:00+00:00,517.34,512.35,4.990000000000009,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-01 12:50:00+00:00,
14,2022-01-02,Sunday,2022-01-02 07:00:00+00:00,2022-01-02 11:00:00+00:00,2022-01-02 11:00:00+00:00,2022-01-02 15:00:00+00:00,524.74,519.83,4.909999999999968,True,,1,0,2022-01-02 12:45:00+00:00,2022-01-02 12:50:00+00:00,True,2022-01-02 12:55:00+00:00,2022-01-02 13:00:00+00:00,NO_H2_BY_END,,
14,2022-01-03,Monday,2022-01-03 07:00:00+00:00,2022-01-03 11:00:00+00:00,2022-01-03 11:00:00+00:00,2022-01-03 15:00:00+00:00,528.86,523.17,5.690000000000055,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-03 11:00:00+00:00,
14,2022-01-04,Tuesday,2022-01-04 07:00:00+00:00,2022-01-04 11:00:00+00:00,2022-01-04 11:00:00+00:00,2022-01-04 15:00:00+00:00,514.45,510.0,4.4500000000000455,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-04 11:00:00+00:00,
14,2022-01-05,Wednesday,2022-01-05 07:00:00+00:00,2022-01-05 11:00:00+00:00,2022-01-05 11:00:00+00:00,2022-01-05 15:00:00+00:00,515.92,511.44,4.479999999999961,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-05 11:30:00+00:00,
14,2022-01-06,Thursday,2022-01-06 07:00:00+00:00,2022-01-06 11:00:00+00:00,2022-01-06 11:00:00+00:00,2022-01-06 15:00:00+00:00,472.32,458.65,13.670000000000016,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-01-07,Friday,2022-01-07 07:00:00+00:00,2022-01-07 11:00:00+00:00,2022-01-07 11:00:00+00:00,2022-01-07 15:00:00+00:00,457.45,437.08,20.370000000000005,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-01-08,Saturday,2022-01-08 07:00:00+00:00,2022-01-08 11:00:00+00:00,2022-01-08 11:00:00+00:00,2022-01-08 15:00:00+00:00,459.65,453.47,6.17999999999995,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-08 11:05:00+00:00,
14,2022-01-09,Sunday,2022-01-09 07:00:00+00:00,2022-01-09 11:00:00+00:00,2022-01-09 11:00:00+00:00,2022-01-09 15:00:00+00:00,435.85,428.18,7.670000000000016,True,,1,0,2022-01-09 13:15:00+00:00,2022-01-09 13:20:00+00:00,True,2022-01-09 13:25:00+00:00,2022-01-09 13:30:00+00:00,NO_H2_BY_END,,
14,2022-01-10,Monday,2022-01-10 07:00:00+00:00,2022-01-10 11:00:00+00:00,2022-01-10 11:00:00+00:00,2022-01-10 15:00:00+00:00,443.0,435.75,7.25,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-10 11:00:00+00:00,
14,2022-01-11,Tuesday,2022-01-11 07:00:00+00:00,2022-01-11 11:00:00+00:00,2022-01-11 11:00:00+00:00,2022-01-11 15:00:00+00:00,458.0,435.53,22.470000000000027,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-01-12,Wednesday,2022-01-12 07:00:00+00:00,2022-01-12 11:00:00+00:00,2022-01-12 11:00:00+00:00,2022-01-12 15:00:00+00:00,466.4,457.05,9.349999999999966,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-12 11:35:00+00:00,
14,2022-01-13,Thursday,2022-01-13 07:00:00+00:00,2022-01-13 11:00:00+00:00,2022-01-13 11:00:00+00:00,2022-01-13 15:00:00+00:00,486.83,482.04,4.789999999999964,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-13 11:00:00+00:00,
14,2022-01-14,Friday,2022-01-14 07:00:00+00:00,2022-01-14 11:00:00+00:00,2022-01-14 11:00:00+00:00,2022-01-14 15:00:00+00:00,487.54,470.2,17.340000000000032,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-14 11:00:00+00:00,
14,2022-01-15,Saturday,2022-01-15 07:00:00+00:00,2022-01-15 11:00:00+00:00,2022-01-15 11:00:00+00:00,2022-01-15 15:00:00+00:00,495.69,488.39,7.300000000000011,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-15 12:40:00+00:00,
14,2022-01-16,Sunday,2022-01-16 07:00:00+00:00,2022-01-16 11:00:00+00:00,2022-01-16 11:00:00+00:00,2022-01-16 15:00:00+00:00,496.94,492.11,4.829999999999984,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-16 11:00:00+00:00,
14,2022-01-17,Monday,2022-01-17 07:00:00+00:00,2022-01-17 11:00:00+00:00,2022-01-17 11:00:00+00:00,2022-01-17 15:00:00+00:00,485.97,480.93,5.0400000000000205,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-17 11:30:00+00:00,
14,2022-01-18,Tuesday,2022-01-18 07:00:00+00:00,2022-01-18 11:00:00+00:00,2022-01-18 11:00:00+00:00,2022-01-18 15:00:00+00:00,475.75,459.2,16.55000000000001,False,NO_K1,0,0,,,False,,,NO_K1,,
14,2022-01-19,Wednesday,2022-01-19 07:00:00+00:00,2022-01-19 11:00:00+00:00,2022-01-19 11:00:00+00:00,2022-01-19 15:00:00+00:00,461.11,453.3,7.810000000000002,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-19 11:05:00+00:00,
14,2022-01-20,Thursday,2022-01-20 07:00:00+00:00,2022-01-20 11:00:00+00:00,2022-01-20 11:00:00+00:00,2022-01-20 15:00:00+00:00,478.34,462.79,15.549999999999955,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-20 11:25:00+00:00,
14,2022-01-21,Friday,2022-01-21 07:00:00+00:00,2022-01-21 11:00:00+00:00,2022-01-21 11:00:00+00:00,2022-01-21 15:00:00+00:00,432.95,423.28,9.670000000000016,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-21 12:05:00+00:00,
14,2022-01-22,Saturday,2022-01-22 07:00:00+00:00,2022-01-22 11:00:00+00:00,2022-01-22 11:00:00+00:00,2022-01-22 15:00:00+00:00,362.73,335.68,27.05000000000001,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-22 11:00:00+00:00,
14,2022-01-23,Sunday,2022-01-23 07:00:00+00:00,2022-01-23 11:00:00+00:00,2022-01-23 11:00:00+00:00,2022-01-23 15:00:00+00:00,388.22,374.77,13.450000000000045,True,,1,0,2022-01-23 11:05:00+00:00,2022-01-23 11:10:00+00:00,True,2022-01-23 11:15:00+00:00,2022-01-23 11:20:00+00:00,H2_ARRIVAL,2022-01-23 13:55:00+00:00,160.0
14,2022-01-24,Monday,2022-01-24 07:00:00+00:00,2022-01-24 11:00:00+00:00,2022-01-24 11:00:00+00:00,2022-01-24 15:00:00+00:00,368.96,340.0,28.95999999999998,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-24 11:00:00+00:00,
14,2022-01-25,Tuesday,2022-01-25 07:00:00+00:00,2022-01-25 11:00:00+00:00,2022-01-25 11:00:00+00:00,2022-01-25 15:00:00+00:00,375.49,357.32,18.170000000000016,True,,1,0,2022-01-25 11:00:00+00:00,2022-01-25 11:05:00+00:00,False,,,BREAK_DURING_K1,2022-01-25 11:05:00+00:00,
14,2022-01-26,Wednesday,2022-01-26 07:00:00+00:00,2022-01-26 11:00:00+00:00,2022-01-26 11:00:00+00:00,2022-01-26 15:00:00+00:00,389.17,378.0,11.170000000000016,True,,1,0,2022-01-26 11:00:00+00:00,2022-01-26 11:05:00+00:00,True,2022-01-26 11:05:00+00:00,2022-01-26 11:10:00+00:00,H2_ARRIVAL,2022-01-26 13:05:00+00:00,120.0
14,2022-01-27,Thursday,2022-01-27 07:00:00+00:00,2022-01-27 11:00:00+00:00,2022-01-27 11:00:00+00:00,2022-01-27 15:00:00+00:00,371.15,364.75,6.399999999999977,True,,1,0,2022-01-27 11:35:00+00:00,2022-01-27 11:40:00+00:00,True,2022-01-27 11:40:00+00:00,2022-01-27 11:45:00+00:00,H2_ARRIVAL,2022-01-27 11:55:00+00:00,15.0
14,2022-01-28,Friday,2022-01-28 07:00:00+00:00,2022-01-28 11:00:00+00:00,2022-01-28 11:00:00+00:00,2022-01-28 15:00:00+00:00,389.3,382.1,7.199999999999989,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-28 11:15:00+00:00,
14,2022-01-29,Saturday,2022-01-29 07:00:00+00:00,2022-01-29 11:00:00+00:00,2022-01-29 11:00:00+00:00,2022-01-29 15:00:00+00:00,393.15,388.64,4.509999999999991,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2022-01-29 12:30:00+00:00,
14,2022-01-30,Sunday,2022-01-30 07:00:00+00:00,2022-01-30 11:00:00+00:00,2022-01-30 11:00:00+00:00,2022-01-30 15:00:00+00:00,387.34,383.27,4.069999999999993,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-30 13:10:00+00:00,
14,2022-01-31,Monday,2022-01-31 07:00:00+00:00,2022-01-31 11:00:00+00:00,2022-01-31 11:00:00+00:00,2022-01-31 15:00:00+00:00,372.9,368.72,4.17999999999995,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2022-01-31 11:45:00+00:00,
14,2022-02-01,Tuesday,2022-02-01 07:00:00+00:00,2022-02-01 11:00:00+00:00,2022-02-01 11:00:00+00:00,2022-02-01 15:00:00+00:00,387.66,378.94,8.720000000000027,False,NO_K1,0,0,,,False,,,NO_K1,,
