scope,side,n,median_break_min,retest_rate,one_retest_rate,hold_first_rate,accept_first_rate,direct_e10_rate,hold_event_rate,accept_event_rate,ambiguous_rate,e10_rate,e20_rate,e30_rate,e50_rate,opposite_boundary_rate,hold_then_e20_rate
POOLED_MAJOR,UP_BREAK,582,65.0,0.8470790378006873,0.3402061855670103,0.5070993914807302,0.49290060851926976,0.4415807560137457,0.16323024054982818,0.2268041237113402,0.16494845360824742,0.8951890034364262,0.7319587628865979,0.5893470790378007,0.38316151202749144,0.048109965635738834,0.5894736842105263
POOLED_MAJOR,DOWN_BREAK,505,75.0,0.8633663366336634,0.4079207920792079,0.5435779816513762,0.45642201834862384,0.4376237623762376,0.15445544554455445,0.21188118811881188,0.18811881188118812,0.8752475247524752,0.7346534653465346,0.6059405940594059,0.3584158415841584,0.05742574257425743,0.6923076923076923
external,UP_BREAK,185,55.0,0.8378378378378378,0.372972972972973,0.5161290322580645,0.4838709677419355,0.41081081081081083,0.1783783783783784,0.24324324324324326,0.16756756756756758,0.918918918918919,0.772972972972973,0.6648648648648648,0.4810810810810811,0.05405405405405406,0.6666666666666666
external,DOWN_BREAK,162,82.5,0.8765432098765432,0.42592592592592593,0.5211267605633803,0.4788732394366197,0.42592592592592593,0.12962962962962962,0.21604938271604937,0.2222222222222222,0.8765432098765432,0.7345679012345679,0.5925925925925926,0.38271604938271603,0.04938271604938271,0.7142857142857143
development,UP_BREAK,259,65.0,0.8416988416988417,0.36293436293436293,0.45871559633027525,0.5412844036697247,0.416988416988417,0.13513513513513514,0.25096525096525096,0.19305019305019305,0.8648648648648649,0.7374517374517374,0.5791505791505791,0.36293436293436293,0.04633204633204633,0.5714285714285714
development,DOWN_BREAK,220,70.0,0.8636363636363636,0.36363636363636365,0.5631578947368421,0.4368421052631579,0.44545454545454544,0.13636363636363635,0.21363636363636362,0.2,0.9045454545454545,0.7727272727272727,0.6590909090909091,0.4,0.05454545454545454,0.6666666666666666
reference_validation,UP_BREAK,138,65.0,0.8695652173913043,0.2536231884057971,0.5833333333333334,0.4166666666666667,0.5289855072463768,0.1956521739130435,0.15942028985507245,0.10869565217391304,0.9202898550724637,0.6666666666666666,0.5072463768115942,0.2898550724637681,0.043478260869565216,0.5185185185185185
reference_validation,DOWN_BREAK,123,80.0,0.8455284552845529,0.4634146341463415,0.5384615384615384,0.46153846153846156,0.43902439024390244,0.21951219512195122,0.2032520325203252,0.12195121951219512,0.8211382113821138,0.6666666666666666,0.5284552845528455,0.25203252032520324,0.07317073170731707,0.7037037037037037
august,UP_BREAK,4,60.0,0.75,0.5,1.0,0.0,0.5,0.0,0.0,0.5,1.0,0.75,0.75,0.75,0.0,
august,DOWN_BREAK,7,135.0,0.8571428571428571,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.14285714285714285,1.0,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0
GMT,UP_BREAK,247,65.0,0.8663967611336032,0.3117408906882591,0.48130841121495327,0.5186915887850467,0.4331983805668016,0.145748987854251,0.21862348178137653,0.20242914979757085,0.9190283400809717,0.757085020242915,0.6032388663967612,0.3684210526315789,0.048582995951417005,0.6111111111111112
GMT,DOWN_BREAK,206,80.0,0.8592233009708737,0.41262135922330095,0.5819209039548022,0.4180790960451977,0.4368932038834951,0.14563106796116504,0.21844660194174756,0.18932038834951456,0.8689320388349514,0.7378640776699029,0.5970873786407767,0.3300970873786408,0.07281553398058252,0.7666666666666667
BST,UP_BREAK,335,60.0,0.8328358208955224,0.3611940298507463,0.5268817204301075,0.4731182795698925,0.44776119402985076,0.1761194029850746,0.23283582089552238,0.1373134328358209,0.8776119402985074,0.7134328358208956,0.5791044776119403,0.3940298507462687,0.04776119402985075,0.576271186440678
BST,DOWN_BREAK,299,75.0,0.8662207357859532,0.40468227424749165,0.5173745173745173,0.4826254826254826,0.43812709030100333,0.1605351170568562,0.20735785953177258,0.18729096989966554,0.8795986622073578,0.7324414715719063,0.6120401337792643,0.3779264214046823,0.046822742474916385,0.6458333333333334
