local_date,action,baseline_win,baseline_failed_before_H,baseline_exit_type,baseline_net_return,transition,entry_ts,entry_px,H,R,ext_R,stop_R,target_px,stop_px,gross_rr,exit_type,exit_ts,exit_px,same_bar_collision,gross_return,net_return,gross_win,net_win,pnl_usd_500,executed,trade_legs,triggered,repair_reentered,trigger_ts,trigger_r,first_leg_exit_ts,first_leg_exit_px,repair_entry_ts,repair_entry_px,repair_signal_ts
2022-01-03,BASELINE,False,True,SL,-0.006343466424682363,L_TO_L,2022-01-03 15:00:00+00:00,528.96,532.54,8.539999999999964,0.3,0.3,535.102,526.398,2.397345823575297,SL,2022-01-03 16:05:00+00:00,526.398,False,-0.004843466424682363,-0.006343466424682363,False,False,-3.1717332123411817,True,1,False,False,,,,,,,
2022-01-12,BASELINE,True,False,SESSION_CLOSE,0.00850395166489887,W_TO_W,2022-01-12 14:50:00+00:00,480.81,482.69,24.889999999999986,0.3,0.3,490.157,473.343,1.2517744743538235,SESSION_CLOSE,2022-01-12 20:55:00+00:00,485.62,False,0.010003951664898869,0.00850395166489887,True,True,4.2519758324494346,True,1,False,False,,,,,,,
2022-02-01,BASELINE,False,True,SESSION_CLOSE,-0.002852722353736957,L_TO_L,2022-02-01 17:40:00+00:00,384.41,387.66,8.720000000000027,0.3,0.3,390.276,381.79400000000004,2.242354740061169,SESSION_CLOSE,2022-02-01 20:55:00+00:00,383.89,False,-0.001352722353736957,-0.002852722353736957,False,False,-1.4263611768684785,True,1,False,False,,,,,,,
2022-02-14,BASELINE,False,True,SL,-0.009937569940069056,L_TO_L,2022-02-14 14:55:00+00:00,402.13,404.03,11.309999999999945,0.3,0.3,407.42299999999994,398.737,1.5599764220453853,SL,2022-02-14 19:00:00+00:00,398.737,False,-0.008437569940069056,-0.009937569940069056,False,False,-4.968784970034528,True,1,False,False,,,,,,,
2022-03-18,BASELINE,True,False,TP,0.0031199280945045107,W_TO_W,2022-03-18 15:00:00+00:00,389.4,389.54,5.53000000000003,0.3,0.3,391.199,387.741,1.084388185654035,TP,2022-03-18 15:35:00+00:00,391.199,False,0.004619928094504511,0.0031199280945045107,True,True,1.5599640472522553,True,1,False,False,,,,,,,
2022-04-18,BASELINE,True,False,TP,0.011438471806787977,W_TO_W,2022-04-18 14:00:00+00:00,404.53,406.59,10.579999999999984,0.3,0.3,409.76399999999995,401.356,1.6490233144297468,TP,2022-04-18 17:05:00+00:00,409.76399999999995,False,0.012938471806787977,0.011438471806787977,True,True,5.719235903393988,True,1,False,False,,,,,,,
2022-05-19,BASELINE,True,False,TP,0.02067744621328177,W_TO_W,2022-05-19 13:55:00+00:00,300.26,303.76,10.529999999999973,0.3,0.3,306.919,297.101,2.10794555239,TP,2022-05-19 15:30:00+00:00,306.919,False,0.02217744621328177,0.02067744621328177,True,True,10.338723106640884,True,1,False,False,,,,,,,
2022-07-06,BASELINE,False,True,SL,-0.008490266717229132,L_TO_L,2022-07-06 13:55:00+00:00,237.33,238.99,5.530000000000001,0.3,0.3,240.649,235.67100000000002,2.0006027727546742,SL,2022-07-06 15:25:00+00:00,235.67100000000002,False,-0.006990266717229132,-0.008490266717229132,False,False,-4.245133358614566,True,1,False,False,,,,,,,
2022-07-11,BASELINE,True,False,SESSION_CLOSE,0.0034425536527205604,W_TO_W,2022-07-11 14:10:00+00:00,230.65,233.37,5.5800000000000125,0.3,0.3,235.044,228.976,2.6248506571087145,SESSION_CLOSE,2022-07-11 19:55:00+00:00,231.79,False,0.0049425536527205605,0.0034425536527205604,True,True,1.7212768263602802,True,1,False,False,,,,,,,
2022-07-19,BASELINE,True,False,TP,0.015976468122403775,W_TO_W,2022-07-19 13:55:00+00:00,262.41,264.71,7.6200000000000045,0.3,0.3,266.996,260.124,2.0061242344706707,TP,2022-07-19 16:30:00+00:00,266.996,False,0.017476468122403777,0.015976468122403775,True,True,7.988234061201887,True,1,False,False,,,,,,,
