local_date,partition,london_open_utc,ny_open_utc,ny_close_utc,london_utc_offset_hours,ny_utc_offset_hours,reference_minutes,reference_bars,duration_regime,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
2020-02-10,external,2020-02-10 08:00:00+00:00,2020-02-10 14:30:00+00:00,2020-02-10 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,25.907,24.031,1.8760000000000012,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-02-11,external,2020-02-11 08:00:00+00:00,2020-02-11 14:30:00+00:00,2020-02-11 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,25.332,24.475,0.8569999999999993,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-02-11 17:25:00+00:00,
2020-02-12,external,2020-02-12 08:00:00+00:00,2020-02-12 14:30:00+00:00,2020-02-12 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,25.971,25.391,0.5800000000000018,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-02-12 15:30:00+00:00,
2020-02-13,external,2020-02-13 08:00:00+00:00,2020-02-13 14:30:00+00:00,2020-02-13 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,26.38,24.58,1.8000000000000007,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-02-14,external,2020-02-14 08:00:00+00:00,2020-02-14 14:30:00+00:00,2020-02-14 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,25.889,25.134,0.754999999999999,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-02-14 14:30:00+00:00,
2020-02-17,external,2020-02-17 08:00:00+00:00,2020-02-17 14:30:00+00:00,2020-02-17 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,22.99,21.519,1.471,True,,1,0,2020-02-17 16:25:00+00:00,2020-02-17 16:30:00+00:00,False,,,BREAK_DURING_K1,2020-02-17 16:35:00+00:00,
2020-02-18,external,2020-02-18 08:00:00+00:00,2020-02-18 14:30:00+00:00,2020-02-18 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,23.681,22.726,0.9550000000000018,True,,1,0,2020-02-18 15:25:00+00:00,2020-02-18 15:30:00+00:00,True,2020-02-18 15:35:00+00:00,2020-02-18 15:40:00+00:00,H2_ARRIVAL,2020-02-18 15:40:00+00:00,5.0
2020-02-19,external,2020-02-19 08:00:00+00:00,2020-02-19 14:30:00+00:00,2020-02-19 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,24.163,23.677,0.48600000000000065,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-02-19 17:25:00+00:00,
2020-02-20,external,2020-02-20 08:00:00+00:00,2020-02-20 14:30:00+00:00,2020-02-20 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,22.274,21.3,0.9740000000000002,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-02-20 16:35:00+00:00,
2020-02-21,external,2020-02-21 08:00:00+00:00,2020-02-21 14:30:00+00:00,2020-02-21 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,22.632,21.857,0.7750000000000021,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-02-24,external,2020-02-24 08:00:00+00:00,2020-02-24 14:30:00+00:00,2020-02-24 21:00:00+00:00,0.0,-5.0,390,78,NORMAL_6H30,22.912,22.429,0.48300000000000054,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-02-24 15:00:00+00:00,
