level,level_fraction_from_L,depth_from_H_R,all_reached_n,all_reached_rate,h2_reached_n,h2_capture_share,non_h2_reached_n,non_h2_reach_rate,structural_h2_share_if_reached,median_minutes_leave_to_touch
F95,0.95,0.050000000000000044,72,0.7422680412371134,52,0.6842105263157895,20,0.9523809523809523,0.7222222222222222,5.0
F90,0.9,0.09999999999999998,68,0.7010309278350515,48,0.631578947368421,20,0.9523809523809523,0.7058823529411765,5.0
F85,0.85,0.15000000000000002,58,0.5979381443298969,38,0.5,20,0.9523809523809523,0.6551724137931034,5.0
F80,0.8,0.19999999999999996,55,0.5670103092783505,35,0.4605263157894737,20,0.9523809523809523,0.6363636363636364,5.0
F75,0.75,0.25,48,0.4948453608247423,28,0.3684210526315789,20,0.9523809523809523,0.5833333333333334,5.0
F70,0.7,0.30000000000000004,43,0.44329896907216493,25,0.32894736842105265,18,0.8571428571428571,0.5813953488372093,5.0
F65,0.65,0.35,39,0.4020618556701031,21,0.27631578947368424,18,0.8571428571428571,0.5384615384615384,5.0
F60,0.6,0.4,35,0.36082474226804123,17,0.2236842105263158,18,0.8571428571428571,0.4857142857142857,5.0
F55,0.55,0.44999999999999996,33,0.3402061855670103,15,0.19736842105263158,18,0.8571428571428571,0.45454545454545453,10.0
F50,0.5,0.5,29,0.29896907216494845,11,0.14473684210526316,18,0.8571428571428571,0.3793103448275862,10.0
F45,0.45,0.55,29,0.29896907216494845,11,0.14473684210526316,18,0.8571428571428571,0.3793103448275862,10.0
F40,0.4,0.6,28,0.28865979381443296,10,0.13157894736842105,18,0.8571428571428571,0.35714285714285715,20.0
F35,0.35,0.65,24,0.24742268041237114,7,0.09210526315789473,17,0.8095238095238095,0.2916666666666667,17.5
