local_date,partition,duration_regime,upstream_terminal,outcome,h2,H,L,R,leave_ts,signal_start,entry_ts,entry_px,entry_depth_R,minutes_leave_to_entry,minutes_entry_to_h2,post_entry_mae_R,signal_low_depth_R,pre_entry_max_depth_R,clean_f95
2020-02-27,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,19.423,18.537,0.8859999999999992,2020-02-27 15:20:00+00:00,2020-02-27 16:15:00+00:00,2020-02-27 16:20:00+00:00,19.398,0.028216704288937473,60.0,5.0,0.0,0.22799097065462567,0.4187358916478544,False
2020-06-04,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,17.579,17.05,0.5289999999999999,2020-06-04 18:15:00+00:00,2020-06-04 18:35:00+00:00,2020-06-04 18:40:00+00:00,17.57,0.017013232514178342,25.0,5.0,0.0,0.1701323251417767,0.26275992438563206,True
2020-09-01,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,23.8,22.978,0.8219999999999992,2020-09-01 15:20:00+00:00,2020-09-01 17:10:00+00:00,2020-09-01 17:15:00+00:00,23.765,0.04257907542579097,115.0,20.0,0.11192214111922433,0.1545012165450153,0.41970802919708367,False
2020-09-10,external,NORMAL_6H30,NO_H2_BY_END,NO_H2_BY_END,False,25.497,24.057,1.4400000000000013,2020-09-10 14:10:00+00:00,2020-09-10 14:15:00+00:00,2020-09-10 14:20:00+00:00,25.441,0.03888888888888951,10.0,,0.8986111111111107,0.08333333333333395,0.1277777777777784,True
2020-09-25,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,24.589,23.726,0.8629999999999995,2020-09-25 15:55:00+00:00,2020-09-25 17:40:00+00:00,2020-09-25 17:45:00+00:00,24.546,0.049826187717264526,110.0,5.0,0.0,0.18192352259559688,0.3348783314020835,False
2020-12-09,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,28.21,26.932,1.2780000000000022,2020-12-09 14:50:00+00:00,2020-12-09 20:40:00+00:00,2020-12-09 20:45:00+00:00,28.15,0.046948356807513435,355.0,10.0,0.05712050078247283,0.10250391236306729,0.2527386541471047,True
2021-01-13,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,38.85,38.004,0.8460000000000036,2021-01-13 14:40:00+00:00,2021-01-13 15:15:00+00:00,2021-01-13 15:20:00+00:00,38.812,0.04491725768321944,40.0,20.0,0.15484633569739914,0.2115839243498833,0.5236406619385379,False
2021-02-04,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,54.42,51.008,3.411999999999999,2021-02-04 14:40:00+00:00,2021-02-04 17:55:00+00:00,2021-02-04 18:00:00+00:00,54.297,0.036049237983588715,200.0,25.0,0.13188745603751553,0.0688745603751464,0.618112543962486,False
2021-04-13,external,NORMAL_6H30,NO_H2_BY_END,NO_H2_BY_END,False,581.0,533.5,47.5,2021-04-13 13:45:00+00:00,2021-04-13 14:40:00+00:00,2021-04-13 14:45:00+00:00,578.638,0.04972631578947297,60.0,,0.7578947368421053,0.1196631578947362,0.2567999999999996,True
2021-05-11,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,667.55,642.13,25.41999999999996,2021-05-11 16:10:00+00:00,2021-05-11 18:15:00+00:00,2021-05-11 18:20:00+00:00,667.28,0.010621557828480812,130.0,5.0,0.0,0.13296616837136116,0.47206923682140123,False
2021-05-27,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,385.0,355.48,29.519999999999982,2021-05-27 13:40:00+00:00,2021-05-27 14:00:00+00:00,2021-05-27 14:05:00+00:00,384.22,0.02642276422764137,25.0,5.0,0.0,0.14837398373983735,0.23238482384823908,True
2021-06-29,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,313.54,294.16,19.379999999999995,2021-06-29 13:40:00+00:00,2021-06-29 13:40:00+00:00,2021-06-29 13:45:00+00:00,312.72,0.04231166150670761,5.0,5.0,0.0,0.07946336429308673,0.07946336429308673,True
2021-08-06,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,337.3,330.95,6.350000000000023,2021-08-06 13:50:00+00:00,2021-08-06 15:00:00+00:00,2021-08-06 15:05:00+00:00,337.05,0.03937007874015734,75.0,5.0,0.0,0.18897637795275343,0.28976377952756305,False
2021-08-10,external,NORMAL_6H30,NO_H2_BY_END,NO_H2_BY_END,False,375.35,350.97,24.379999999999995,2021-08-10 13:45:00+00:00,2021-08-10 14:15:00+00:00,2021-08-10 14:20:00+00:00,374.34,0.04142739950779524,35.0,,0.5475799835931101,0.14191960623462005,0.38022969647252014,False
2021-09-03,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,494.5,482.8,11.699999999999989,2021-09-03 14:10:00+00:00,2021-09-03 14:25:00+00:00,2021-09-03 14:30:00+00:00,493.92,0.04957264957264826,20.0,5.0,0.0,0.10256410256410169,0.2555555555555566,True
2021-09-08,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,416.5,381.8,34.69999999999999,2021-09-08 13:40:00+00:00,2021-09-08 13:40:00+00:00,2021-09-08 13:45:00+00:00,415.2,0.037463976945245295,5.0,95.0,0.30057636887608097,0.09394812680115251,0.09394812680115251,True
2021-10-01,external,NORMAL_6H30,H2_ARRIVAL,H2_ARRIVAL,True,417.18,392.39,24.79000000000002,2021-10-01 16:55:00+00:00,2021-10-01 16:55:00+00:00,2021-10-01 17:00:00+00:00,416.93,0.010084711577248882,5.0,5.0,0.0,0.07503025413473223,0.07503025413473223,True
