entry_filter,management,scope,regime,trades_n
BASE,NO_ABORT,development,BULL,11
BASE,NO_ABORT,development,BEAR,21
BASE,NO_ABORT,development,SIDEWAYS,6
BASE,NO_ABORT,POOLED_MAJOR,BULL,37
BASE,NO_ABORT,POOLED_MAJOR,BEAR,43
BASE,NO_ABORT,POOLED_MAJOR,SIDEWAYS,16
NO_SIDEWAYS,NO_ABORT,development,BULL,11
NO_SIDEWAYS,NO_ABORT,development,BEAR,21
NO_SIDEWAYS,NO_ABORT,development,SIDEWAYS,0
NO_SIDEWAYS,NO_ABORT,POOLED_MAJOR,BULL,37
NO_SIDEWAYS,NO_ABORT,POOLED_MAJOR,BEAR,43
NO_SIDEWAYS,NO_ABORT,POOLED_MAJOR,SIDEWAYS,0
LOW_BAD_Q75,NO_ABORT,development,BULL,8
LOW_BAD_Q75,NO_ABORT,development,BEAR,17
LOW_BAD_Q75,NO_ABORT,development,SIDEWAYS,3
LOW_BAD_Q75,NO_ABORT,POOLED_MAJOR,BULL,33
LOW_BAD_Q75,NO_ABORT,POOLED_MAJOR,BEAR,38
LOW_BAD_Q75,NO_ABORT,POOLED_MAJOR,SIDEWAYS,8
LOW_BAD_Q65,NO_ABORT,development,BULL,7
LOW_BAD_Q65,NO_ABORT,development,BEAR,15
LOW_BAD_Q65,NO_ABORT,development,SIDEWAYS,3
LOW_BAD_Q65,NO_ABORT,POOLED_MAJOR,BULL,30
LOW_BAD_Q65,NO_ABORT,POOLED_MAJOR,BEAR,35
LOW_BAD_Q65,NO_ABORT,POOLED_MAJOR,SIDEWAYS,7
NO_SIDEWAYS_LOW_BAD_Q75,NO_ABORT,development,BULL,8
NO_SIDEWAYS_LOW_BAD_Q75,NO_ABORT,development,BEAR,17
NO_SIDEWAYS_LOW_BAD_Q75,NO_ABORT,development,SIDEWAYS,0
NO_SIDEWAYS_LOW_BAD_Q75,NO_ABORT,POOLED_MAJOR,BULL,33
NO_SIDEWAYS_LOW_BAD_Q75,NO_ABORT,POOLED_MAJOR,BEAR,38
NO_SIDEWAYS_LOW_BAD_Q75,NO_ABORT,POOLED_MAJOR,SIDEWAYS,0
BASE,REFINED_ABORT,development,BULL,11
BASE,REFINED_ABORT,development,BEAR,21
BASE,REFINED_ABORT,development,SIDEWAYS,6
BASE,REFINED_ABORT,POOLED_MAJOR,BULL,37
BASE,REFINED_ABORT,POOLED_MAJOR,BEAR,43
BASE,REFINED_ABORT,POOLED_MAJOR,SIDEWAYS,16
NO_SIDEWAYS,REFINED_ABORT,development,BULL,11
NO_SIDEWAYS,REFINED_ABORT,development,BEAR,21
NO_SIDEWAYS,REFINED_ABORT,development,SIDEWAYS,0
NO_SIDEWAYS,REFINED_ABORT,POOLED_MAJOR,BULL,37
NO_SIDEWAYS,REFINED_ABORT,POOLED_MAJOR,BEAR,43
NO_SIDEWAYS,REFINED_ABORT,POOLED_MAJOR,SIDEWAYS,0
LOW_BAD_Q75,REFINED_ABORT,development,BULL,8
LOW_BAD_Q75,REFINED_ABORT,development,BEAR,17
LOW_BAD_Q75,REFINED_ABORT,development,SIDEWAYS,3
LOW_BAD_Q75,REFINED_ABORT,POOLED_MAJOR,BULL,33
LOW_BAD_Q75,REFINED_ABORT,POOLED_MAJOR,BEAR,38
LOW_BAD_Q75,REFINED_ABORT,POOLED_MAJOR,SIDEWAYS,8
LOW_BAD_Q65,REFINED_ABORT,development,BULL,7
LOW_BAD_Q65,REFINED_ABORT,development,BEAR,15
LOW_BAD_Q65,REFINED_ABORT,development,SIDEWAYS,3
LOW_BAD_Q65,REFINED_ABORT,POOLED_MAJOR,BULL,30
LOW_BAD_Q65,REFINED_ABORT,POOLED_MAJOR,BEAR,35
LOW_BAD_Q65,REFINED_ABORT,POOLED_MAJOR,SIDEWAYS,7
NO_SIDEWAYS_LOW_BAD_Q75,REFINED_ABORT,development,BULL,8
NO_SIDEWAYS_LOW_BAD_Q75,REFINED_ABORT,development,BEAR,17
NO_SIDEWAYS_LOW_BAD_Q75,REFINED_ABORT,development,SIDEWAYS,0
NO_SIDEWAYS_LOW_BAD_Q75,REFINED_ABORT,POOLED_MAJOR,BULL,33
NO_SIDEWAYS_LOW_BAD_Q75,REFINED_ABORT,POOLED_MAJOR,BEAR,38
NO_SIDEWAYS_LOW_BAD_Q75,REFINED_ABORT,POOLED_MAJOR,SIDEWAYS,0
