population,variant,scope,name,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,median_hold_min,target_reach_n,target_floor_n,structural_n,high_sl_n,time_n,ratchet_total,l_lock_n,t5_lock_n,t10_lock_n
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,PARTITION,external,103,94,0.912621359223301,0.7340425531914894,0.9135552409948892,-0.1763524606233153,-16.577131298591638,2.5389633515848637,-7.6706241023178885,59.37357467533721,6,30.0,51,0,0,10,8,0,12,11,2
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,PARTITION,development,213,196,0.92018779342723,0.6479591836734694,0.7035652093575359,-0.29282295095789274,-57.39329838774698,1.0725872906312863,-2.80596933765102,77.28943246321927,6,40.0,102,0,0,21,16,0,20,18,19
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,PARTITION,reference_validation,103,90,0.8737864077669902,0.6555555555555556,0.6944822298040164,-0.3249795448987392,-29.248159040886527,1.126863172803194,-3.0881640721379022,53.18578303170224,4,50.0,49,0,0,12,8,0,4,10,7
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,POOL,POOLED_MAJOR,419,380,0.9069212410501193,0.6710526315789473,0.7854576588000765,-0.27162786507164505,-103.21858872722513,1.4819293504506565,-3.848884584737141,122.91498363415594,6,40.0,202,0,0,43,32,0,36,39,28
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,CLOCK_MAJOR,00-04,55,53,0.9636363636363636,0.6981132075471698,0.3888330067759801,-1.2638158618328705,-66.98224067714214,1.1517578458050595,-6.849830060745584,71.13426889850575,3,25.0,40,0,0,8,5,0,0,0,0
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,CLOCK_MAJOR,04-08,67,59,0.8805970149253731,0.6779661016949152,1.3710768007842558,0.39958135613110507,23.575300011735198,2.177685781575702,-3.3437963816469933,30.442060926319826,4,45.0,21,0,0,3,6,0,9,8,12
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,CLOCK_MAJOR,08-12,68,60,0.8823529411764706,0.6333333333333333,0.65245721170941,-0.3898136990409863,-23.388821942459177,1.1554961578902203,-3.05898527010398,33.528698184540886,3,27.5,29,0,0,9,1,0,3,8,10
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,CLOCK_MAJOR,12-16,92,85,0.9239130434782609,0.7058823529411765,0.9791362622455665,-0.020130565137480225,-1.711098036685819,1.3383652821430698,-3.2805205986108006,31.36366849565752,3,30.0,55,0,0,11,3,0,9,7,0
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,CLOCK_MAJOR,16-20,78,66,0.8461538461538461,0.696969696969697,0.6880715867568505,-0.4994120626084691,-32.96119613215896,1.5806067062029143,-5.28345523087465,41.02171704857067,3,55.0,31,0,0,6,8,0,8,13,0
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,CLOCK_MAJOR,20-00,59,57,0.9661016949152542,0.5964912280701754,0.9669719461157863,-0.030711086851126734,-1.7505319505142238,1.5073774527457504,-2.3044071888639017,22.535937615447054,8,70.0,26,0,0,6,9,0,7,3,6
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,REGIME_MAJOR,BEAR,312,284,0.9102564102564102,0.6619718309859155,0.7568169867549928,-0.31300658674825454,-88.89387063650429,1.471538412668263,-3.8077405439389342,101.27904045121312,6,40.0,154,0,0,31,22,0,26,27,24
FILTERED_BEAR_SIDEWAYS,FIXED_CLOCK_TP,REGIME_MAJOR,SIDEWAYS,107,96,0.897196261682243,0.6979166666666666,0.8760488851847684,-0.14921581344500875,-14.32471809072084,1.5110860116908056,-3.985085547379477,59.10650081295167,5,40.0,48,0,0,12,10,0,10,12,4
FILTERED_BEAR_SIDEWAYS,DYNAMIC_CLOCK_TP,PARTITION,external,103,94,0.912621359223301,0.6914893617021277,1.0800568305406795,0.1651201666743293,15.521295667386955,3.2215348274247733,-6.68546441776632,74.99962155633246,6,40.0,51,40,9,10,10,23,12,11,2
