clock_block,wib,candidate,rule,trades_n,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,abort_n,abort_rate,trades_per_week
00-04,07-11,BASE_H,NO_ABORT,101,0.6831683168316832,0.48249529745365394,-0.8004019742407218,-80.8405993983129,1.0923434744552116,-4.881634347991328,93.19473428463485,3,0,0.0,0.29882183047743166
00-04,07-11,BASE_H,GLOBAL_PLUS15_SAFE,101,0.6039603960396039,0.4689091594793186,-0.7423620043117011,-74.9785624354818,1.0852434645927764,-3.529460344391029,87.33269732180375,4,20,0.19801980198019803,0.29882183047743166
00-04,07-11,BASE_H,PERSIST_10_15,101,0.6237623762376238,0.44935344307500313,-0.8137845716663079,-82.1922417382971,1.0646464785654608,-3.9280255233663453,94.54637662461904,4,13,0.12871287128712872,0.29882183047743166
00-04,07-11,BASE_H,REFINED_BULL_IMPULSE,101,0.6237623762376238,0.46641391257740633,-0.7597270655408784,-76.73243361962872,1.0646464785654608,-3.7843463623487565,89.08656850595067,4,15,0.1485148514851485,0.29882183047743166
00-04,07-11,R100,NO_ABORT,101,0.43564356435643564,0.38134486315293037,-0.6281545182926651,-63.443606347559175,0.8888008527600376,-1.799137611736857,67.18759531135571,7,0,0.0,0.29882183047743166
00-04,07-11,R100,GLOBAL_PLUS15_SAFE,101,0.42574257425742573,0.37689476926694804,-0.6200819426272948,-62.62827620535678,0.8809691811414142,-1.7329301895592688,66.3722651691533,7,4,0.039603960396039604,0.29882183047743166
00-04,07-11,R100,PERSIST_10_15,101,0.42574257425742573,0.37689476926694804,-0.6200819426272948,-62.62827620535678,0.8809691811414142,-1.7329301895592688,66.3722651691533,7,4,0.039603960396039604,0.29882183047743166
00-04,07-11,R100,REFINED_BULL_IMPULSE,101,0.42574257425742573,0.37689476926694804,-0.6200819426272948,-62.62827620535678,0.8809691811414142,-1.7329301895592688,66.3722651691533,7,4,0.039603960396039604,0.29882183047743166
04-08,11-15,BASE_H,NO_ABORT,96,0.71875,1.2308115114823075,0.21575370087779225,20.712355284268057,1.6007167179601025,-3.3235962316658902,30.442060926319826,6,0,0.0,0.28669706423486124
04-08,11-15,BASE_H,GLOBAL_PLUS15_SAFE,96,0.6875,1.0918136318496594,0.08881619710866358,8.526354922431704,1.536246182481253,-3.095529770711033,30.442060926319826,6,5,0.052083333333333336,0.28669706423486124
04-08,11-15,BASE_H,PERSIST_10_15,96,0.71875,1.248959382517568,0.22933615223861317,22.016270614906865,1.6007167179601025,-3.275303071271859,30.442060926319826,6,1,0.010416666666666666,0.28669706423486124
04-08,11-15,BASE_H,REFINED_BULL_IMPULSE,96,0.71875,1.248959382517568,0.22933615223861317,22.016270614906865,1.6007167179601025,-3.275303071271859,30.442060926319826,6,1,0.010416666666666666,0.28669706423486124
04-08,11-15,R100,NO_ABORT,96,0.5833333333333334,1.1428440668176867,0.12256233624527113,11.765984279546029,1.680989530316637,-2.059235735454641,28.078239617227123,7,0,0.0,0.28669706423486124
04-08,11-15,R100,GLOBAL_PLUS15_SAFE,96,0.59375,1.256831040525633,0.2004136122096427,19.2397067721257,1.6517829538848536,-1.9208185025464353,21.957215065450562,7,4,0.041666666666666664,0.28669706423486124
04-08,11-15,R100,PERSIST_10_15,96,0.5833333333333334,1.1523094107911755,0.12961027492390984,12.442586392695345,1.680989530316637,-2.042320682625908,27.40163750407781,7,1,0.010416666666666666,0.28669706423486124
04-08,11-15,R100,REFINED_BULL_IMPULSE,96,0.5833333333333334,1.1523094107911755,0.12961027492390984,12.442586392695345,1.680989530316637,-2.042320682625908,27.40163750407781,7,1,0.010416666666666666,0.28669706423486124
08-12,15-19,BASE_H,NO_ABORT,114,0.6403508771929824,0.5332915327135856,-0.5719463199305518,-65.2018804720829,1.0206016574176329,-3.4074585722821973,73.7878766840335,4,0,0.0,0.33361155586393904
08-12,15-19,BASE_H,GLOBAL_PLUS15_SAFE,114,0.49122807017543857,0.5962609577023109,-0.34448834525396677,-39.27167135895221,1.0356833216626615,-1.677067885725194,39.48405355444302,7,34,0.2982456140350877,0.33361155586393904
08-12,15-19,BASE_H,PERSIST_10_15,114,0.5526315789473685,0.571443230326334,-0.4146070920782748,-47.26520849692333,1.000381751431114,-2.162534487001637,49.08280137039321,7,20,0.17543859649122806,0.33361155586393904
08-12,15-19,BASE_H,REFINED_BULL_IMPULSE,114,0.5526315789473685,0.596049209588916,-0.3746690376862224,-42.712270296229356,1.000381751431114,-2.073261188948814,44.52986316969923,7,21,0.18421052631578946,0.33361155586393904
08-12,15-19,R100,NO_ABORT,114,0.45614035087719296,0.4248347174333952,-0.5932519989693004,-67.63072788250024,0.9606563419061681,-1.8965299622842093,67.84311007799103,7,0,0.0,0.33361155586393904
08-12,15-19,R100,GLOBAL_PLUS15_SAFE,114,0.37719298245614036,0.44132853411778583,-0.5034010885106122,-57.38772409020979,1.0542802317759947,-1.4467855500926414,57.6001062857006,9,26,0.22807017543859648,0.33361155586393904
08-12,15-19,R100,PERSIST_10_15,114,0.41228070175438597,0.4301243456918558,-0.5422253656355835,-61.81369168245653,0.9926605092732919,-1.6189363525119589,62.02607387794733,9,17,0.14912280701754385,0.33361155586393904
08-12,15-19,R100,REFINED_BULL_IMPULSE,114,0.41228070175438597,0.4301243456918558,-0.5422253656355835,-61.81369168245653,0.9926605092732919,-1.6189363525119589,62.02607387794733,9,17,0.14912280701754385,0.33361155586393904
12-16,19-23,BASE_H,NO_ABORT,147,0.6802721088435374,0.6443472460415121,-0.46132027512126256,-67.8140804428256,1.2286089588743188,-4.056914390005478,88.31406735411944,4,0,0.0,0.4332561903244246
12-16,19-23,BASE_H,GLOBAL_PLUS15_SAFE,147,0.6054421768707483,0.5851024481413536,-0.4518844708160576,-66.42701720996047,1.0525573978379177,-2.7604245796126747,70.82781021696835,4,33,0.22448979591836735,0.4332561903244246
12-16,19-23,BASE_H,PERSIST_10_15,147,0.6258503401360545,0.5626500844392364,-0.5303135673593627,-77.95609440182632,1.0901131708806104,-3.2408455658698627,86.73854236667239,4,25,0.17006802721088435,0.4332561903244246
