partition,regime,clock_block,obs_start,obs_end,fill_ts,entry_fraction,entry_price,H,L,R4,stop_r4_fraction,target_r4_fraction,nominal_rr,stop_price,target_price,exit_ts,exit_price,exit_reason,gross_return,net_pnl_usd,win,structural_winner
development,BEAR,08-12,2022-01-06 08:00:00+00:00,2022-01-06 12:00:00+00:00,2022-01-06 09:50:00+00:00,0.1,42635.939000000006,43258.82,42566.73,692.0899999999965,0.3,0.3,1.0,42843.566000000006,42428.312000000005,2022-01-06 09:55:00+00:00,42428.312000000005,TP,0.004869764918277052,2.034882459138526,True,False
development,BEAR,00-04,2022-01-10 00:00:00+00:00,2022-01-10 04:00:00+00:00,2022-01-10 00:35:00+00:00,0.05,41805.9425,42773.85,41755.0,1018.8499999999984,0.2,0.2,1.0,42009.712499999994,41602.1725,2022-01-10 00:55:00+00:00,41602.1725,TP,0.0048741874435673065,2.0370937217836533,True,True
development,BEAR,00-04,2022-01-21 00:00:00+00:00,2022-01-21 04:00:00+00:00,2022-01-21 00:20:00+00:00,0.05,40671.265,42975.3,40550.0,2425.300000000003,0.2,0.2,1.0,41156.325,40186.205,2022-01-21 01:35:00+00:00,40186.205,TP,0.01192635635995088,5.56317817997544,True,True
development,BEAR,12-16,2022-01-24 12:00:00+00:00,2022-01-24 16:00:00+00:00,2022-01-24 14:05:00+00:00,0.05,33134.063500000004,35580.0,33005.33,2574.6699999999983,0.3,0.3,1.0,33906.4645,32361.662500000006,2022-01-24 14:35:00+00:00,33906.4645,STOP,-0.023311387690193745,-12.055693845096872,False,False
development,BULL,20-00,2022-01-25 20:00:00+00:00,2022-01-26 00:00:00+00:00,2022-01-25 21:45:00+00:00,0.05,36534.5455,37561.03,36480.52,1080.510000000002,0.15,0.15,1.0,36696.622,36372.469,2022-01-25 22:35:00+00:00,36696.622,STOP,-0.004436253353692407,-2.6181266768462037,False,False
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 08:30:00+00:00,0.1,41392.811,41752.46,41352.85,399.6100000000006,0.3,0.3,1.0,41512.694,41272.928,2022-02-05 08:30:00+00:00,41512.694,STOP_FILL_BAR,-0.002896227559901685,-1.8481137799508423,False,True
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:25:00+00:00,0.1,44217.042,45600.0,44063.38,1536.6200000000026,0.3,0.3,1.0,44678.028000000006,43756.056,2022-02-08 09:10:00+00:00,43756.056,TP,0.010425527786322848,4.812763893161423,True,True
development,BEAR,12-16,2022-02-12 12:00:00+00:00,2022-02-12 16:00:00+00:00,2022-02-12 14:50:00+00:00,0.05,41868.7825,42440.73,41838.68,602.0500000000029,0.3,0.3,1.0,42049.3975,41688.1675,2022-02-12 14:55:00+00:00,42049.3975,STOP,-0.004313834537701161,-2.5569172688505803,False,False
development,BULL,00-04,2022-02-16 00:00:00+00:00,2022-02-16 04:00:00+00:00,2022-02-16 01:50:00+00:00,0.05,43981.09,44777.0,43939.2,837.8000000000029,0.2,0.2,1.0,44148.649999999994,43813.53,2022-02-16 04:00:00+00:00,43970.9,TIME,0.00023169048334170555,-0.2841547583291473,False,True
development,BEAR,16-20,2022-02-17 16:00:00+00:00,2022-02-17 20:00:00+00:00,2022-02-17 17:10:00+00:00,0.05,41748.19,43347.8,41664.0,1683.800000000003,0.25,0.25,1.0,42169.14,41327.240000000005,2022-02-17 18:10:00+00:00,41327.240000000005,TP,0.010083071864911917,4.641535932455958,True,True
