architecture,scope,name,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,median_hold_min,tp_n,pre_t5_sl_n,high_sl_n,l_lock_n,t5_lock_n,t10_lock_n,time_n,target_reach_n,extension_used_n,median_nominal_rr
SELECTED,PARTITION,external,202,183,0.905940594059406,0.7103825136612022,0.7783457612568707,-0.41064935356091053,-75.14883170164663,2.0299035578342166,-6.396911211699903,114.11314880282254,4,30.0,98,0,23,18,16,11,17,98,52,
SELECTED,PARTITION,development,333,297,0.8918918918918919,0.6531986531986532,0.5723985902380415,-0.4731338908138803,-140.52076557172245,0.9696124970995945,-3.190539708825668,152.3019585579396,6,40.0,159,0,38,27,22,25,26,159,83,
SELECTED,PARTITION,reference_validation,194,172,0.8865979381443299,0.6395348837209303,0.6193524282944115,-0.36462976595904734,-62.71631974495614,0.9276895436058921,-2.65745434744523,82.30525776250491,4,40.0,91,0,17,14,15,16,19,91,56,
SELECTED,POOL,POOLED_REUSED_EXTVAL,396,355,0.8964646464646465,0.676056338028169,0.7263486069068004,-0.388352539286205,-137.86515144660277,1.5247221346462347,-4.380856206623471,154.02304418537233,4,40.0,189,0,40,32,31,27,36,189,108,
SELECTED,POOL,POOLED_MAJOR,729,652,0.8943758573388203,0.6656441717791411,0.665571993316047,-0.4269722653655295,-278.38591701832524,1.2765855685539576,-3.818458962251114,294.5438097570947,6,40.0,348,0,78,59,53,52,62,348,191,
SELECTED,CLOCK_MAJOR,00-04,112,101,0.9017857142857143,0.6831683168316832,0.48249529745365394,-0.8004019742407218,-80.8405993983129,1.0923434744552116,-4.881634347991328,93.19473428463483,3,25.0,76,0,13,0,0,0,12,76,27,
SELECTED,CLOCK_MAJOR,04-08,112,96,0.8571428571428571,0.71875,1.2308115114823075,0.21575370087779236,20.712355284268067,1.6007167179601025,-3.3235962316658902,30.442060926319826,6,42.5,36,0,5,14,9,24,8,36,27,
SELECTED,CLOCK_MAJOR,08-12,127,114,0.8976377952755905,0.6403508771929824,0.5332915327135856,-0.5719463199305518,-65.2018804720829,1.0206016574176329,-3.4074585722821973,73.7878766840335,4,32.5,55,0,17,7,11,18,6,55,38,
SELECTED,CLOCK_MAJOR,12-16,157,147,0.9363057324840764,0.6802721088435374,0.6443472460415121,-0.46132027512126256,-67.8140804428256,1.2286089588743188,-4.056914390005478,88.31406735411944,4,35.0,95,0,25,11,9,0,7,95,24,
SELECTED,CLOCK_MAJOR,16-20,122,106,0.8688524590163934,0.660377358490566,0.5855143634598963,-0.6471474780265339,-68.5976326708126,1.3843284883810942,-4.597239634930255,81.93365100064496,4,52.5,50,0,8,16,14,0,18,50,39,
SELECTED,CLOCK_MAJOR,20-00,99,88,0.8888888888888888,0.6022727272727273,0.8162768307688214,-0.18913726498362748,-16.644079318559218,1.3952674039653836,-2.5883786208207016,29.308561397941034,5,62.5,36,0,10,11,10,10,11,36,36,
BASE_H,PARTITION,external,202,183,0.905940594059406,0.7103825136612022,0.7783457612568707,-0.41064935356091053,-75.14883170164663,2.0299035578342166,-6.396911211699903,114.11314880282254,4,30.0,98,0,23,18,16,11,17,98,52,
BASE_H,PARTITION,development,333,297,0.8918918918918919,0.6531986531986532,0.5723985902380415,-0.4731338908138803,-140.52076557172245,0.9696124970995945,-3.190539708825668,152.3019585579396,6,40.0,159,0,38,27,22,25,26,159,83,
BASE_H,PARTITION,reference_validation,194,172,0.8865979381443299,0.6395348837209303,0.6193524282944115,-0.36462976595904734,-62.71631974495614,0.9276895436058921,-2.65745434744523,82.30525776250491,4,40.0,91,0,17,14,15,16,19,91,56,
BASE_H,POOL,POOLED_REUSED_EXTVAL,396,355,0.8964646464646465,0.676056338028169,0.7263486069068004,-0.388352539286205,-137.86515144660277,1.5247221346462347,-4.380856206623471,154.02304418537233,4,40.0,189,0,40,32,31,27,36,189,108,
BASE_H,POOL,POOLED_MAJOR,729,652,0.8943758573388203,0.6656441717791411,0.665571993316047,-0.4269722653655295,-278.38591701832524,1.2765855685539576,-3.818458962251114,294.5438097570947,6,40.0,348,0,78,59,53,52,62,348,191,
BASE_H,CLOCK_MAJOR,00-04,112,101,0.9017857142857143,0.6831683168316832,0.48249529745365394,-0.8004019742407218,-80.8405993983129,1.0923434744552116,-4.881634347991328,93.19473428463483,3,25.0,76,0,13,0,0,0,12,76,27,
BASE_H,CLOCK_MAJOR,04-08,112,96,0.8571428571428571,0.71875,1.2308115114823075,0.21575370087779236,20.712355284268067,1.6007167179601025,-3.3235962316658902,30.442060926319826,6,42.5,36,0,5,14,9,24,8,36,27,
BASE_H,CLOCK_MAJOR,08-12,127,114,0.8976377952755905,0.6403508771929824,0.5332915327135856,-0.5719463199305518,-65.2018804720829,1.0206016574176329,-3.4074585722821973,73.7878766840335,4,32.5,55,0,17,7,11,18,6,55,38,
BASE_H,CLOCK_MAJOR,12-16,157,147,0.9363057324840764,0.6802721088435374,0.6443472460415121,-0.46132027512126256,-67.8140804428256,1.2286089588743188,-4.056914390005478,88.31406735411944,4,35.0,95,0,25,11,9,0,7,95,24,
BASE_H,CLOCK_MAJOR,16-20,122,106,0.8688524590163934,0.660377358490566,0.5855143634598963,-0.6471474780265339,-68.5976326708126,1.3843284883810942,-4.597239634930255,81.93365100064496,4,52.5,50,0,8,16,14,0,18,50,39,
BASE_H,CLOCK_MAJOR,20-00,99,88,0.8888888888888888,0.6022727272727273,0.8162768307688214,-0.18913726498362748,-16.644079318559218,1.3952674039653836,-2.5883786208207016,29.308561397941034,5,62.5,36,0,10,11,10,10,11,36,36,
