scope,name,k1_n,direct_n,direct_rate,retest_n,retest_direct_rate,accepted_n,accepted_retest_rate,ext15_n,ext15_rate,reclaim_n,ambiguous_n,unresolved_n,median_min_break_to_retest,median_min_accept_to_ext15
PARTITION,external,862,420,0.4872389791183295,372,0.8857142857142857,170,0.45698924731182794,99,0.5823529411764706,59,11,1,0.0,0.0
PARTITION,development,1264,657,0.5197784810126582,602,0.9162861491628614,266,0.4418604651162791,129,0.4849624060150376,110,22,5,0.0,0.0
PARTITION,reference_validation,641,393,0.6131045241809673,361,0.9185750636132316,165,0.45706371191135736,93,0.5636363636363636,63,7,2,0.0,0.0
POOL,POOLED_OOS,1503,813,0.5409181636726547,733,0.9015990159901599,335,0.45702592087312416,192,0.573134328358209,122,18,3,0.0,0.0
POOL,POOLED_MAJOR,2767,1470,0.5312612938200216,1335,0.9081632653061225,601,0.450187265917603,321,0.5341098169717138,232,40,8,0.0,0.0
REGIME,BULL,1146,609,0.5314136125654451,558,0.916256157635468,245,0.4390681003584229,123,0.5020408163265306,100,20,2,0.0,0.0
REGIME,BEAR,1122,615,0.5481283422459893,566,0.9203252032520325,252,0.4452296819787986,140,0.5555555555555556,94,14,4,0.0,0.0
REGIME,SIDEWAYS,499,246,0.49298597194388777,211,0.8577235772357723,104,0.4928909952606635,58,0.5576923076923077,38,6,2,0.0,0.0
CLOCK,00-04,444,240,0.5405405405405406,215,0.8958333333333334,103,0.4790697674418605,67,0.6504854368932039,31,3,2,0.0,0.0
CLOCK,04-08,455,242,0.5318681318681319,214,0.8842975206611571,100,0.4672897196261682,47,0.47,46,5,2,0.0,0.0
CLOCK,08-12,476,250,0.5252100840336135,227,0.908,99,0.43612334801762115,51,0.5151515151515151,37,9,2,0.0,0.0
CLOCK,12-16,557,292,0.5242369838420108,273,0.934931506849315,115,0.42124542124542125,58,0.5043478260869565,45,12,0,0.0,0.0
CLOCK,16-20,461,251,0.544468546637744,225,0.896414342629482,102,0.4533333333333333,52,0.5098039215686274,44,5,1,0.0,0.0
CLOCK,20-00,374,195,0.5213903743315508,181,0.9282051282051282,82,0.4530386740331492,46,0.5609756097560976,29,6,1,0.0,0.0
