clock,candidate,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,median_hold_min,pre_t5_sl_n,high_sl_n,total_sl_n,l_lock_n,t5_lock_n,t10_lock_n,structural_n,time_original_n,time_extended_n,extension_used_n,t10_reach_n,qualifies_dev,selected,reused_confirmed
00-04,BASE_H,47,42,0.8936170212765957,0.38095238095238093,0.3260884358981177,-0.8323197213335023,-34.957428296007095,1.0571874081187138,-1.995093339457943,41.375744799392,5,45.0,0,7,7,6,2,18,4,0,5,12,22,False,True,
00-04,S05,47,42,0.8936170212765957,0.21428571428571427,0.28112151387660733,-0.5491847527948467,-23.065759617383563,1.0022218076134068,-0.9722956329061887,26.848785676582573,9,10.0,26,0,26,5,0,9,2,0,0,1,11,False,False,
00-04,S10,47,42,0.8936170212765957,0.21428571428571427,0.26400113504416695,-0.598726413522572,-25.146509367948028,1.0022218076134068,-1.0353486556505662,29.16970560487296,9,10.0,24,0,24,5,0,11,2,0,0,1,13,False,False,
00-04,S15,47,42,0.8936170212765957,0.2619047619047619,0.35781167805651354,-0.5119970822330201,-21.503877453786846,1.08922148245398,-1.0801714116380847,24.82563586822939,6,15.0,20,0,20,5,1,13,3,0,0,2,16,False,False,
04-08,BASE_H,43,38,0.8837209302325582,0.6052631578947368,0.6737544143831783,-0.23515099784748633,-8.935737918204481,0.802342073044075,-1.8259737065478803,16.81149587520922,3,60.0,0,1,1,4,4,21,3,0,5,14,24,False,True,
04-08,S05,43,38,0.8837209302325582,0.18421052631578946,0.07113338765797354,-0.7478069349238361,-28.416663527105772,0.31088171876217435,-0.9868656631755158,28.416663527105772,18,10.0,30,0,30,1,0,7,0,0,0,1,7,False,False,
04-08,S10,43,38,0.8837209302325582,0.34210526315789475,0.29362057216532333,-0.5352753052204442,-20.34046159837688,0.6503780717538545,-1.1518150612470794,21.091235140758215,6,15.0,23,0,23,1,2,11,1,0,0,2,12,False,False,
04-08,S15,43,38,0.8837209302325582,0.4473684210526316,0.341599296749081,-0.5272737296066992,-20.036401725054567,0.6115014498604863,-1.449139351080135,20.78717526743591,5,25.0,18,0,18,1,3,15,1,0,0,4,16,False,False,
08-12,BASE_H,58,50,0.8620689655172413,0.58,0.43725128617294057,-0.6037574399480891,-30.187871997404454,0.8088185190228703,-2.554457573765128,36.53717502106531,3,45.0,0,8,8,2,6,26,4,2,2,15,32,False,True,
08-12,S05,58,50,0.8620689655172413,0.24,0.4004713191183193,-0.40830851028301035,-20.415425514150517,1.136419413940039,-0.8961173284587103,20.415425514150513,8,10.0,29,1,30,2,2,11,3,2,0,0,16,False,False,
08-12,S10,58,50,0.8620689655172413,0.28,0.43373183630493667,-0.42430301941478155,-21.215150970739078,1.1606926816113634,-1.0406902364805044,24.577716120583478,8,15.0,27,1,28,2,3,12,3,2,0,0,17,False,False,
08-12,S15,58,50,0.8620689655172413,0.34,0.4759096456248816,-0.40007903412275814,-20.003951706137908,1.068526300529888,-1.1566332974286666,22.757125828967553,8,20.0,23,1,24,2,4,14,4,2,0,0,20,False,False,
12-16,BASE_H,82,76,0.926829268292683,0.5657894736842105,0.4586775788295174,-0.8818366886139651,-67.01958833466135,1.3206410608313093,-3.751731937891141,83.05853877112318,5,45.0,0,18,18,5,3,41,4,4,1,11,49,False,True,
12-16,S05,82,76,0.926829268292683,0.2236842105263158,0.22902103493392612,-0.7234637126934479,-54.98324216470204,0.9607585706847219,-1.2087480994295305,54.98324216470204,8,10.0,54,0,54,3,1,17,0,1,0,1,18,False,False,
12-16,S10,82,76,0.926829268292683,0.27631578947368424,0.22839248642694573,-0.8873074118429971,-67.43536330006778,0.9505036116642023,-1.5890170753639279,67.43536330006776,8,10.0,46,2,48,3,1,22,1,1,0,1,24,False,False,
12-16,S15,82,76,0.926829268292683,0.3026315789473684,0.262276542448138,-0.8545011111732799,-64.94208444916927,1.0038394170809273,-1.660950774377936,64.94208444916929,8,15.0,43,2,45,3,2,24,1,1,0,1,26,False,False,
