scope,name,source_n,trades_n,fill_rate,wr,pf,expectancy,total_net,avg_win,avg_loss,max_dd,max_loss_streak,tp_n,sl_n,time_n,median_hold_min,median_actual_rr
PARTITION,external,202,178,0.8811881188118812,0.449438202247191,0.6584125310030854,-0.4220313240445209,-75.12157567992472,1.8099678437269389,-2.244071461000815,98.6656722949286,9,78,92,8,15.0,0.863843620363632
PARTITION,development,333,280,0.8408408408408409,0.3357142857142857,0.31963206841341774,-0.6230957725649899,-174.46681631819717,0.8719498199078106,-1.378656448330814,176.3075379684851,18,105,157,18,15.0,0.8512102032551834
PARTITION,reference_validation,194,163,0.8402061855670103,0.4110429447852761,0.42394748586633585,-0.43271019179842357,-70.53176126314304,0.7747470189402996,-1.2754147034598242,72.95952858531729,6,73,81,9,15.0,0.86205607476632
POOL,POOLED_OOS,396,341,0.8611111111111112,0.4310850439882698,0.5745594076017856,-0.42713588546354186,-145.65333694306779,1.3381325018173822,-1.7647361583001182,147.87357870372702,9,151,173,17,15.0,0.863205932686892
POOL,POOLED_MAJOR,729,621,0.8518518518518519,0.38808373590982287,0.4653873080757554,-0.5154913901147583,-320.12015326126493,1.1563019121929021,-1.5757603002625111,322.3403950219242,18,256,330,35,15.0,0.86205607476632
CLOCK_OOS,00-04,65,59,0.9076923076923077,0.4745762711864407,0.3230255365255006,-0.7043387935875735,-41.55598882166684,0.7081742955092533,-1.9801570676105136,45.84525112636506,7,29,29,1,15.0,0.8350971198929354
CLOCK_MAJOR,00-04,112,100,0.8928571428571429,0.41,0.37742881984601273,-0.6037548031889619,-60.375480318896194,0.8927354662525568,-1.6436887192415424,64.66474262359438,10,44,51,5,15.0,0.7690011160440055
CLOCK_OOS,04-08,69,57,0.8260869565217391,0.5263157894736842,1.0916126814304252,0.0833474267809396,4.750803326513558,1.8869429709330332,-1.9206476222769424,15.966595618442037,8,31,26,0,20.0,0.8388409753675724
CLOCK_MAJOR,04-08,112,95,0.8482142857142857,0.4842105263157895,0.8691456584909681,-0.10520972763036307,-9.994924124884491,1.4431985994154122,-1.5588175448570092,24.914001186498098,8,49,43,3,20.0,0.8472527472526987
CLOCK_OOS,08-12,69,63,0.9130434782608695,0.42857142857142855,0.6954498533533876,-0.25883523945721076,-16.30662008580428,1.3791363197345117,-1.4873139088510028,16.906061495589153,5,29,32,2,15.0,0.8125183016105355
CLOCK_MAJOR,08-12,127,111,0.8740157480314961,0.36936936936936937,0.5488482712240871,-0.36105323502235154,-40.07690908748102,1.1891593019076234,-1.2690348637956226,40.676350497265865,10,49,60,2,15.0,0.7965180467090793
CLOCK_OOS,12-16,75,64,0.8533333333333334,0.375,0.43033023856534675,-0.5783771449183134,-37.016137274772056,1.1650875254539552,-1.6244559471416746,38.694761685528,6,24,36,4,10.0,0.8878407943950299
CLOCK_MAJOR,12-16,157,129,0.821656050955414,0.34108527131782945,0.3835004311339843,-0.57163360701852,-73.74073530538908,1.0425283329059598,-1.4071997876853097,75.41935971614505,8,46,78,5,10.0,1.0606356968215032
CLOCK_OOS,16-20,62,50,0.8064516129032258,0.4,0.4300103242627629,-0.7860429677631415,-39.30214838815708,1.4825119025844993,-2.2984128813282365,42.31924222196674,4,19,26,5,15.0,0.9935730134238019
CLOCK_MAJOR,16-20,122,102,0.8360655737704918,0.37254901960784315,0.3371971061620993,-0.8851174740306599,-90.28198235112731,1.2086955766665017,-2.1283189728820995,93.29907618493694,7,37,55,10,17.5,0.8569016433311067
CLOCK_OOS,20-00,56,48,0.8571428571428571,0.375,0.6104164698593963,-0.3379842853996055,-16.223245699181064,1.412182726082687,-1.388084492288981,17.822128268223857,6,19,24,5,17.5,0.8611148652908924
CLOCK_MAJOR,20-00,99,84,0.8484848484848485,0.36904761904761907,0.43483007164117854,-0.5434538342081771,-45.65012207348688,1.1329761680523776,-1.5240072317568032,46.934719284883066,8,31,43,10,15.0,0.8926997941227391
