partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,F05,T10,F25,filled,cancel_reason,fill_ts,entry_px,actual_reward_px,actual_risk_px,actual_rr,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes
external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,2020-01-08 08:20:00+00:00,8381.87,8280.0,101.8700000000008,8285.0935,8269.813,8305.4675,True,,2020-01-08 08:20:00+00:00,8304.29,34.47700000000077,1.1774999999997817,29.27983014862604,2020-01-08 08:25:00+00:00,8305.4675,SL_F25,-0.00014179418107987336,-0.4708970905399367,5.0
external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 06:20:00+00:00,8060.0,7932.0,128.0,7938.4,7919.2,7964.0,True,,2020-01-09 06:20:00+00:00,7938.4,19.199999999999818,25.600000000000364,0.7499999999999822,2020-01-09 06:40:00+00:00,7919.2,TP_T10,0.002418623400181374,0.809311700090687,20.0
external,BULL,08-12,2020-01-09 08:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 09:15:00+00:00,7980.73,7898.0,82.72999999999956,7902.1365,7889.727,7918.6825,True,,2020-01-09 09:15:00+00:00,7905.68,15.95300000000043,13.0024999999996,1.2269179004038393,2020-01-09 09:20:00+00:00,7885.79,TP_GAP_OPEN,0.002515912609668027,0.8579563048340134,5.0
external,BULL,04-08,2020-01-11 04:00:00+00:00,2020-01-11 08:00:00+00:00,2020-01-11 04:35:00+00:00,8261.33,8131.93,129.39999999999964,8138.400000000001,8118.990000000001,8164.280000000001,False,REBREAK_BEFORE_FILL,,,,,,,,NO_TRADE,,,
external,SIDEWAYS,12-16,2020-01-20 12:00:00+00:00,2020-01-20 16:00:00+00:00,2020-01-20 12:45:00+00:00,8686.0,8601.0,85.0,8605.25,8592.5,8622.25,True,,2020-01-20 12:45:00+00:00,8613.37,20.8700000000008,8.8799999999992,2.350225225225527,2020-01-20 12:55:00+00:00,8592.5,TP_T10,0.0024229773015673074,0.8114886507836537,10.0
external,BULL,08-12,2020-01-28 08:00:00+00:00,2020-01-28 12:00:00+00:00,2020-01-28 10:10:00+00:00,9149.09,8977.61,171.47999999999956,8986.184000000001,8960.462000000001,9020.48,True,,2020-01-28 10:10:00+00:00,8986.184000000001,25.721999999999753,34.29599999999846,0.7500000000000265,2020-01-28 10:25:00+00:00,9020.48,SL_F25,-0.0038165254573018373,-2.3082627286509187,15.0
external,BULL,00-04,2020-01-31 00:00:00+00:00,2020-01-31 04:00:00+00:00,2020-01-31 01:45:00+00:00,9599.0,9481.58,117.42000000000009,9487.451,9469.838,9510.935,True,,2020-01-31 01:45:00+00:00,9488.54,18.702000000001135,22.394999999998618,0.8350971198929354,2020-01-31 02:10:00+00:00,9469.838,TP_T10,0.001971009238513105,0.5855046192565524,25.0
external,BULL,00-04,2020-02-02 00:00:00+00:00,2020-02-02 04:00:00+00:00,2020-02-02 00:45:00+00:00,9421.4,9354.52,66.8799999999992,9357.864,9347.832,9371.24,True,,2020-02-02 00:45:00+00:00,9367.98,20.14799999999923,3.2600000000002183,6.1803680981588585,2020-02-02 00:55:00+00:00,9347.832,TP_T10,0.002150730466973588,0.675365233486794,10.0
external,SIDEWAYS,04-08,2020-02-04 04:00:00+00:00,2020-02-04 08:00:00+00:00,2020-02-04 05:15:00+00:00,9368.0,9271.18,96.81999999999972,9276.021,9261.498,9295.385,True,,2020-02-04 05:15:00+00:00,9279.39,17.891999999999825,15.9950000000008,1.1185995623631717,2020-02-04 05:45:00+00:00,9261.498,TP_T10,0.0019281439836023517,0.5640719918011758,30.0
external,BULL,04-08,2020-02-07 04:00:00+00:00,2020-02-07 08:00:00+00:00,2020-02-07 04:30:00+00:00,9867.3,9762.0,105.29999999999929,9767.265,9751.47,9788.325,True,,2020-02-07 04:30:00+00:00,9780.12,28.650000000001455,8.204999999999927,3.4917733089581606,2020-02-07 04:35:00+00:00,9788.325,SL_F25,-0.0008389467613894233,-0.8194733806947117,5.0
external,SIDEWAYS,00-04,2020-02-11 00:00:00+00:00,2020-02-11 04:00:00+00:00,2020-02-11 00:40:00+00:00,9908.0,9825.88,82.1200000000008,9829.985999999999,9817.668,9846.41,True,,2020-02-11 00:40:00+00:00,9834.2,16.532000000001062,12.209999999999127,1.3539721539723377,2020-02-11 00:45:00+00:00,9816.79,TP_GAP_OPEN,0.0017703524435134382,0.48517622175671904,5.0
external,SIDEWAYS,08-12,2020-02-16 08:00:00+00:00,2020-02-16 12:00:00+00:00,2020-02-16 11:15:00+00:00,10042.06,9942.0,100.05999999999948,9947.003,9931.994,9967.015,True,,2020-02-16 11:15:00+00:00,9947.003,15.009000000000015,20.011999999998807,0.7500000000000454,2020-02-16 11:20:00+00:00,9967.015,SL_F25,-0.0020118622664534037,-1.405931133226702,5.0
external,BEAR,12-16,2020-02-18 12:00:00+00:00,2020-02-18 16:00:00+00:00,2020-02-18 13:50:00+00:00,9802.59,9645.23,157.36000000000058,9653.098,9629.493999999999,9684.57,True,,2020-02-18 13:50:00+00:00,9654.01,24.51600000000144,30.55999999999949,0.8022251308901128,2020-02-18 14:50:00+00:00,9684.57,SL_F25,-0.0031655239636171383,-1.982761981808569,60.0
external,BULL,20-00,2020-02-23 20:00:00+00:00,2020-02-24 00:00:00+00:00,2020-02-23 21:00:00+00:00,9905.0,9860.0,45.0,9862.25,9855.5,9871.25,False,INVALIDATED_BEFORE_FILL,,,,,,,,NO_TRADE,,,
external,SIDEWAYS,00-04,2020-03-08 00:00:00+00:00,2020-03-08 04:00:00+00:00,2020-03-08 00:15:00+00:00,8932.31,8865.0,67.30999999999949,8868.3655,8858.269,8881.8275,True,,2020-03-08 00:15:00+00:00,8868.3655,10.09649999999965,13.461999999999534,0.75,2020-03-08 00:25:00+00:00,8858.269,TP_T10,0.0011384848763844534,0.16924243819222673,10.0
external,SIDEWAYS,12-16,2020-03-09 12:00:00+00:00,2020-03-09 16:00:00+00:00,2020-03-09 13:55:00+00:00,7996.28,7762.06,234.21999999999932,7773.771000000001,7738.638000000001,7820.615,True,,2020-03-09 13:55:00+00:00,7814.35,75.71199999999953,6.264999999999418,12.084916201118366,2020-03-09 14:00:00+00:00,7820.615,SL_F25,-0.0008017301503003343,-0.8008650751501671,5.0
external,SIDEWAYS,12-16,2020-03-11 12:00:00+00:00,2020-03-11 16:00:00+00:00,2020-03-11 15:55:00+00:00,7930.0,7758.18,171.8199999999997,7766.771000000001,7740.9980000000005,7801.135,True,,2020-03-11 15:55:00+00:00,7773.41,32.41199999999935,27.725000000000364,1.1690532010820172,2020-03-11 16:00:00+00:00,7785.52,TIME,-0.0015578748580096229,-1.1789374290048116,5.0
external,BULL,12-16,2020-03-24 12:00:00+00:00,2020-03-24 16:00:00+00:00,2020-03-24 15:45:00+00:00,6840.0,6564.21,275.79,6577.9995,6536.631,6633.1575,True,,2020-03-24 15:45:00+00:00,6595.38,58.748999999999796,37.777500000000146,1.5551320230295698,2020-03-24 16:00:00+00:00,6588.92,TIME,0.0009794735102450559,0.08973675512252793,15.0
external,BULL,00-04,2020-03-25 00:00:00+00:00,2020-03-25 04:00:00+00:00,2020-03-25 02:05:00+00:00,6790.75,6605.0,185.75,6614.2875,6586.425,6651.4375,True,,2020-03-25 02:05:00+00:00,6623.17,36.74499999999989,28.267499999999927,1.2999027151322184,2020-03-25 02:35:00+00:00,6586.425,TP_T10,0.005547947584011869,2.373973792005935,30.0
external,BULL,20-00,2020-03-25 20:00:00+00:00,2020-03-26 00:00:00+00:00,2020-03-25 21:55:00+00:00,6699.99,6569.0,130.98999999999978,6575.5495,6555.901,6601.7474999999995,True,,2020-03-25 21:55:00+00:00,6585.04,29.139000000000124,16.707499999999527,1.744067035762439,2020-03-25 22:05:00+00:00,6601.7474999999995,SL_F25,-0.0025371903587524947,-1.6685951793762475,10.0
external,BULL,16-20,2020-04-05 16:00:00+00:00,2020-04-05 20:00:00+00:00,2020-04-05 17:50:00+00:00,6819.12,6754.53,64.59000000000015,6757.7595,6748.071,6770.6775,False,INVALIDATED_BEFORE_FILL,,,,,,,,NO_TRADE,,,
external,BEAR,12-16,2020-04-11 12:00:00+00:00,2020-04-11 16:00:00+00:00,2020-04-11 14:25:00+00:00,6893.4,6828.19,65.21000000000004,6831.4505,6821.669,6844.492499999999,True,,2020-04-11 14:25:00+00:00,6834.02,12.351000000000568,10.472499999998945,1.1793745523993135,2020-04-11 14:35:00+00:00,6821.669,TP_T10,0.0018072818048528636,0.5036409024264318,10.0
external,BEAR,12-16,2020-04-13 12:00:00+00:00,2020-04-13 16:00:00+00:00,2020-04-13 14:05:00+00:00,6830.0,6651.0,179.0,6659.95,6633.1,6695.75,True,,2020-04-13 14:05:00+00:00,6687.98,54.8799999999992,7.770000000000437,7.063063063062563,2020-04-13 14:10:00+00:00,6695.75,SL_F25,-0.0011617857708905285,-0.9808928854452643,5.0
external,BEAR,00-04,2020-04-15 00:00:00+00:00,2020-04-15 04:00:00+00:00,2020-04-15 00:25:00+00:00,6925.95,6825.99,99.96000000000004,6830.987999999999,6815.994,6850.98,True,,2020-04-15 00:25:00+00:00,6830.987999999999,14.993999999999687,19.99200000000019,0.7499999999999772,2020-04-15 01:30:00+00:00,6850.98,SL_F25,-0.002926663024441002,-1.8633315122205012,65.0
external,BULL,12-16,2020-04-17 12:00:00+00:00,2020-04-17 16:00:00+00:00,2020-04-17 13:40:00+00:00,7122.64,7023.0,99.64000000000031,7027.982,7013.036,7047.91,True,,2020-04-17 13:40:00+00:00,7031.37,18.333999999999833,16.539999999999964,1.1084643288996296,2020-04-17 14:00:00+00:00,7047.91,SL_F25,-0.002352315409372564,-1.576157704686282,20.0
external,BULL,00-04,2020-04-19 00:00:00+00:00,2020-04-19 04:00:00+00:00,2020-04-19 00:30:00+00:00,7290.0,7192.01,97.98999999999978,7196.9095,7182.211,7216.5075,True,,2020-04-19 00:30:00+00:00,7204.8,22.588999999999942,11.707499999999527,1.9294469357250357,2020-04-19 00:50:00+00:00,7216.5075,SL_F25,-0.0016249583610925392,-1.2124791805462696,20.0
external,BULL,12-16,2020-04-24 12:00:00+00:00,2020-04-24 16:00:00+00:00,2020-04-24 14:55:00+00:00,7612.91,7471.47,141.4399999999996,7478.542,7457.326,7506.83,True,,2020-04-24 14:55:00+00:00,7485.0,27.673999999999978,21.829999999999927,1.2677049931287252,2020-04-24 15:00:00+00:00,7506.83,SL_F25,-0.002916499665998654,-1.8582498329993271,5.0
external,BULL,12-16,2020-05-01 12:00:00+00:00,2020-05-01 16:00:00+00:00,2020-05-01 14:15:00+00:00,9065.0,8755.0,310.0,8770.5,8724.0,8832.5,True,,2020-05-01 14:15:00+00:00,8770.5,46.5,62.0,0.75,2020-05-01 14:55:00+00:00,8832.5,SL_F25,-0.007069152271820307,-3.9345761359101536,40.0
external,BULL,04-08,2020-05-08 04:00:00+00:00,2020-05-08 08:00:00+00:00,2020-05-08 06:15:00+00:00,10045.03,9833.34,211.6900000000005,9843.924500000001,9812.171,9886.2625,True,,2020-05-08 06:15:00+00:00,9845.97,33.79899999999907,40.29250000000138,0.8388409753675724,2020-05-08 06:25:00+00:00,9812.171,TP_T10,0.003432775033846241,1.3163875169231205,10.0
external,BULL,08-12,2020-05-09 08:00:00+00:00,2020-05-09 12:00:00+00:00,2020-05-09 11:35:00+00:00,9888.0,9577.71,310.2900000000009,9593.224499999998,9546.680999999999,9655.2825,True,,2020-05-09 11:35:00+00:00,9593.36,46.679000000001906,61.92249999999876,0.7538293835036188,2020-05-09 12:00:00+00:00,9651.24,TIME,-0.006033339726644178,-3.416669863322089,25.0
external,BULL,20-00,2020-05-09 20:00:00+00:00,2020-05-10 00:00:00+00:00,2020-05-09 22:10:00+00:00,9804.9,9682.0,122.89999999999964,9688.145,9669.71,9712.725,False,REBREAK_BEFORE_FILL,,,,,,,,NO_TRADE,,,
external,SIDEWAYS,12-16,2020-05-10 12:00:00+00:00,2020-05-10 16:00:00+00:00,2020-05-10 15:15:00+00:00,8900.2,8656.55,243.65000000000143,8668.7325,8632.185,8717.4625,True,,2020-05-10 15:15:00+00:00,8668.7325,36.54750000000058,48.72999999999956,0.7500000000000187,2020-05-10 15:30:00+00:00,8717.4625,SL_F25,-0.005621352371872077,-3.2106761859360384,15.0
external,SIDEWAYS,04-08,2020-05-11 04:00:00+00:00,2020-05-11 08:00:00+00:00,2020-05-11 04:30:00+00:00,8800.0,8656.19,143.8099999999995,8663.380500000001,8641.809000000001,8692.1425,True,,2020-05-11 04:30:00+00:00,8678.5,36.690999999998894,13.642499999999927,2.6894630749495394,2020-05-11 04:35:00+00:00,8692.1425,SL_F25,-0.0015719882468168379,-1.185994123408419,5.0
external,SIDEWAYS,08-12,2020-05-11 08:00:00+00:00,2020-05-11 12:00:00+00:00,2020-05-11 08:35:00+00:00,8729.38,8610.42,118.95999999999913,8616.368,8598.524,8640.16,True,,2020-05-11 08:35:00+00:00,8616.368,17.84400000000096,23.79199999999946,0.7500000000000573,2020-05-11 08:45:00+00:00,8598.524,TP_T10,0.0020709421881703475,0.6354710940851737,10.0
external,SIDEWAYS,16-20,2020-05-24 16:00:00+00:00,2020-05-24 20:00:00+00:00,2020-05-24 19:25:00+00:00,9176.44,9006.0,170.4400000000005,9014.522,8988.956,9048.61,True,,2020-05-24 19:25:00+00:00,9020.01,31.054000000000087,28.600000000000364,1.085804195804185,2020-05-24 20:00:00+00:00,9015.44,TIME,0.0005066513230029356,-0.14667433849853223,35.0
external,BULL,20-00,2020-05-29 20:00:00+00:00,2020-05-30 00:00:00+00:00,2020-05-29 21:25:00+00:00,9450.0,9390.05,59.95000000000073,9393.047499999999,9384.054999999998,9405.037499999999,True,,2020-05-29 21:25:00+00:00,9403.8,19.7450000000008,1.2374999999992724,15.955555555565583,2020-05-29 21:55:00+00:00,9384.054999999998,TP_T10,0.0020996831068292397,0.6498415534146199,30.0
external,SIDEWAYS,04-08,2020-06-15 04:00:00+00:00,2020-06-15 08:00:00+00:00,2020-06-15 05:30:00+00:00,9368.32,9130.0,238.3199999999997,9141.916,9106.168,9189.58,True,,2020-06-15 05:30:00+00:00,9153.36,47.19200000000092,36.219999999999345,1.3029265599117,2020-06-15 05:40:00+00:00,9106.168,TP_T10,0.005155702386883168,2.177851193441584,10.0
external,BULL,00-04,2020-06-17 00:00:00+00:00,2020-06-17 04:00:00+00:00,2020-06-17 01:10:00+00:00,9533.8,9473.28,60.51999999999862,9476.306,9467.228000000001,9488.41,True,,2020-06-17 01:10:00+00:00,9479.51,12.281999999999243,8.899999999999636,1.3799999999999715,2020-06-17 01:35:00+00:00,9467.228000000001,TP_T10,0.0012956365888109453,0.24781829440547265,25.0
external,BULL,12-16,2020-06-30 12:00:00+00:00,2020-06-30 16:00:00+00:00,2020-06-30 12:45:00+00:00,9178.0,9119.2,58.79999999999927,9122.140000000001,9113.320000000002,9133.900000000001,True,,2020-06-30 12:45:00+00:00,9122.18,8.859999999998763,11.720000000001164,0.7559726962455532,2020-06-30 13:05:00+00:00,9113.320000000002,TP_T10,0.0009712590630746996,0.08562953153734976,20.0
external,BULL,04-08,2020-07-07 04:00:00+00:00,2020-07-07 08:00:00+00:00,2020-07-07 06:35:00+00:00,9380.0,9256.1,123.89999999999964,9262.295,9243.710000000001,9287.075,True,,2020-07-07 06:35:00+00:00,9266.32,22.609999999998763,20.75500000000102,1.0893760539627875,2020-07-07 07:35:00+00:00,9243.710000000001,TP_T10,0.002440019338852831,0.8200096694264155,60.0
external,BULL,00-04,2020-07-09 00:00:00+00:00,2020-07-09 04:00:00+00:00,2020-07-09 00:35:00+00:00,9466.0,9413.8,52.20000000000073,9416.41,9408.58,9426.849999999999,True,,2020-07-09 00:35:00+00:00,9416.41,7.829999999999927,10.43999999999869,0.7500000000000872,2020-07-09 00:50:00+00:00,9408.58,TP_T10,0.0008315270894109249,0.01576354470546243,15.0
external,BULL,08-12,2020-07-25 08:00:00+00:00,2020-07-25 12:00:00+00:00,2020-07-25 10:35:00+00:00,9630.37,9569.01,61.36000000000058,9572.078,9562.874,9584.35,True,,2020-07-25 10:35:00+00:00,9572.078,9.203999999999724,12.272000000000844,0.7499999999999258,2020-07-25 11:00:00+00:00,9584.35,SL_F25,-0.0012820622648499985,-1.0410311324249992,25.0
external,SIDEWAYS,08-12,2020-08-04 08:00:00+00:00,2020-08-04 12:00:00+00:00,2020-08-04 11:45:00+00:00,11337.0,11206.0,131.0,11212.55,11192.9,11238.75,True,,2020-08-04 11:45:00+00:00,11217.3,24.399999999999636,21.450000000000728,1.137529137529082,2020-08-04 11:50:00+00:00,11168.0,TP_GAP_OPEN,0.004394997013541519,1.7974985067707596,5.0
