episode_id,partition,origin_state,outcome,transition,resume,n_intervals,first_sideways_ts,age2_source_start,age2_source_end,frozen_boundary,path_class,first_break_pos,first_reclaim_pos,first_rebreak_pos,break_to_reclaim_min,reclaim_to_rebreak_min,confirmation_bar_start,confirmation_complete_ts,eligible_open_ts,exit_effective_ts,confirmation_to_exit_hours,eligible_before_exit,age2_final_4h_beyond
3,external,BULL,RESUME,False,True,2,2020-01-09 12:00:00+00:00,2020-01-09 12:00:00+00:00,2020-01-09 16:00:00+00:00,7870.11,NO_BREAK,,,,,,,,,2020-01-09 20:00:00+00:00,,False,False
5,external,BULL,RESUME,False,True,4,2020-01-10 00:00:00+00:00,2020-01-10 00:00:00+00:00,2020-01-10 04:00:00+00:00,7870.11,BREAK_NO_RECLAIM,1.0,,,,,,,,2020-01-10 16:00:00+00:00,,False,True
7,external,BULL,TRANSITION,True,False,32,2020-01-19 12:00:00+00:00,2020-01-19 12:00:00+00:00,2020-01-19 16:00:00+00:00,8816.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2020-01-24 20:00:00+00:00,,False,True
9,external,BEAR,TRANSITION,True,False,2,2020-01-26 12:00:00+00:00,2020-01-26 12:00:00+00:00,2020-01-26 16:00:00+00:00,8425.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2020-01-26 20:00:00+00:00,,False,True
15,external,BULL,RESUME,False,True,13,2020-02-03 12:00:00+00:00,2020-02-03 12:00:00+00:00,2020-02-03 16:00:00+00:00,9160.01,NO_BREAK,,,,,,,,,2020-02-05 16:00:00+00:00,,False,False
17,external,BULL,RESUME,False,True,7,2020-02-10 12:00:00+00:00,2020-02-10 12:00:00+00:00,2020-02-10 16:00:00+00:00,9680.55,NO_BREAK,,,,,,,,,2020-02-11 16:00:00+00:00,,False,False
25,external,BULL,TRANSITION,True,False,9,2020-02-15 16:00:00+00:00,2020-02-15 16:00:00+00:00,2020-02-15 20:00:00+00:00,10101.0,BREAK_NO_RECLAIM,1.0,,,,,,,,2020-02-17 04:00:00+00:00,,False,True
29,external,BULL,TRANSITION,True,False,2,2020-02-20 00:00:00+00:00,2020-02-20 00:00:00+00:00,2020-02-20 04:00:00+00:00,10026.08,BREAK_NO_RECLAIM,1.0,,,,,,,,2020-02-20 08:00:00+00:00,,False,True
31,external,BEAR,TRANSITION,True,False,6,2020-02-22 08:00:00+00:00,2020-02-22 08:00:00+00:00,2020-02-22 12:00:00+00:00,9759.59,NO_BREAK,,,,,,,,,2020-02-23 08:00:00+00:00,,False,False
33,external,BULL,RESUME,False,True,2,2020-02-24 04:00:00+00:00,2020-02-24 04:00:00+00:00,2020-02-24 08:00:00+00:00,9547.0,NO_BREAK,,,,,,,,,2020-02-24 12:00:00+00:00,,False,False
35,external,BULL,TRANSITION,True,False,17,2020-02-24 16:00:00+00:00,2020-02-24 16:00:00+00:00,2020-02-24 20:00:00+00:00,9547.0,FAILED_RECLAIM,25.0,29.0,30.0,20.0,5.0,2020-02-24 18:25:00+00:00,2020-02-24 18:30:00+00:00,2020-02-24 18:30:00+00:00,2020-02-27 12:00:00+00:00,65.5,True,False
37,external,BEAR,RESUME,False,True,4,2020-02-28 08:00:00+00:00,2020-02-28 08:00:00+00:00,2020-02-28 12:00:00+00:00,8978.0,NO_BREAK,,,,,,,,,2020-02-29 00:00:00+00:00,,False,False
39,external,BEAR,TRANSITION,True,False,2,2020-03-02 12:00:00+00:00,2020-03-02 12:00:00+00:00,2020-03-02 16:00:00+00:00,8809.05,FAILED_RECLAIM,17.0,18.0,19.0,5.0,5.0,2020-03-02 13:30:00+00:00,2020-03-02 13:35:00+00:00,2020-03-02 13:35:00+00:00,2020-03-02 20:00:00+00:00,6.416666666666667,True,True
41,external,BULL,RESUME,False,True,2,2020-03-03 16:00:00+00:00,2020-03-03 16:00:00+00:00,2020-03-03 20:00:00+00:00,8450.0,NO_BREAK,,,,,,,,,2020-03-04 00:00:00+00:00,,False,False
43,external,BULL,RESUME,False,True,4,2020-03-04 12:00:00+00:00,2020-03-04 12:00:00+00:00,2020-03-04 16:00:00+00:00,8657.41,NO_BREAK,,,,,,,,,2020-03-05 04:00:00+00:00,,False,False
45,external,BULL,TRANSITION,True,False,34,2020-03-07 20:00:00+00:00,2020-03-07 20:00:00+00:00,2020-03-08 00:00:00+00:00,8994.14,BREAK_NO_RECLAIM,1.0,,,,,,,,2020-03-13 12:00:00+00:00,,False,True
47,external,BEAR,RESUME,False,True,12,2020-03-14 20:00:00+00:00,2020-03-14 20:00:00+00:00,2020-03-15 00:00:00+00:00,5971.0,NO_BREAK,,,,,,,,,2020-03-16 20:00:00+00:00,,False,False
