partition,feature,direction,bad_n,good_n,bad_median,good_median,directional_auc
development,delta_bad_prob,1,6,6,0.25590033301400594,0.285303869432992,0.4722222222222222
development,max_bull_body_r4,1,6,6,0.14733605493916482,0.1561348042120947,0.5277777777777778
development,higher_close_streak,-1,6,6,1.5,2.0,0.5416666666666666
development,net_close_from_entry_r4,-1,6,6,0.17816171456490879,0.1877073903565828,0.5555555555555556
external,delta_bad_prob,1,2,3,0.5675122543837503,0.2870024999868716,1.0
external,max_bull_body_r4,1,2,3,0.2971061858219984,0.11253847732403001,1.0
external,higher_close_streak,-1,2,3,1.0,1.0,0.6666666666666667
external,net_close_from_entry_r4,-1,2,3,0.34315601235645343,0.009468421052630507,0.0
reference_validation,delta_bad_prob,1,4,6,0.400404849153287,0.2621820801950916,0.9583333333333334
reference_validation,max_bull_body_r4,1,4,6,0.2749289166482071,0.16130880726161967,0.7916666666666666
reference_validation,higher_close_streak,-1,4,6,1.5,2.0,0.625
reference_validation,net_close_from_entry_r4,-1,4,6,0.26234696213190695,0.24103611729323327,0.41666666666666663
POOLED_REUSED_EXTVAL,delta_bad_prob,1,6,9,0.4892085984549386,0.27225058012124537,0.962962962962963
POOLED_REUSED_EXTVAL,max_bull_body_r4,1,6,9,0.28049104147327647,0.13023684210526162,0.8703703703703705
POOLED_REUSED_EXTVAL,higher_close_streak,-1,6,9,1.0,2.0,0.6296296296296297
POOLED_REUSED_EXTVAL,net_close_from_entry_r4,-1,6,9,0.2878553676286635,0.16580135440180133,0.24074074074074073
POOLED_MAJOR,delta_bad_prob,1,12,15,0.34977722796836513,0.27225058012124537,0.6722222222222223
POOLED_MAJOR,max_bull_body_r4,1,12,15,0.21067115236005943,0.13023684210526162,0.711111111111111
POOLED_MAJOR,higher_close_streak,-1,12,15,1.0,2.0,0.5861111111111112
POOLED_MAJOR,net_close_from_entry_r4,-1,12,15,0.2394373351169031,0.16580135440180133,0.3611111111111111
