checkpoint,mode,regime,threshold,bad_total,bad_too_late,bad_eligible,bad_flagged,bad_capture_all,bad_recall_eligible,good_total,good_resolved_safe,good_eligible,good_flagged,good_sacrifice_all,good_fpr_eligible,flagged_n,flag_precision_bad
RECLAIM,SAFE,BULL,0.6534535825318841,35,0,35,13,0.37142857142857144,0.37142857142857144,146,0,146,19,0.13013698630136986,0.13013698630136986,32,0.40625
RECLAIM,SAFE,BEAR,0.6534535825318841,31,0,31,5,0.16129032258064516,0.16129032258064516,154,0,154,12,0.07792207792207792,0.07792207792207792,17,0.29411764705882354
RECLAIM,SAFE,SIDEWAYS,0.6534535825318841,12,0,12,5,0.4166666666666667,0.4166666666666667,48,0,48,11,0.22916666666666666,0.22916666666666666,16,0.3125
RECLAIM,AGGRESSIVE,BULL,0.580230323009824,35,0,35,16,0.45714285714285713,0.45714285714285713,146,0,146,39,0.2671232876712329,0.2671232876712329,55,0.2909090909090909
RECLAIM,AGGRESSIVE,BEAR,0.580230323009824,31,0,31,8,0.25806451612903225,0.25806451612903225,154,0,154,21,0.13636363636363635,0.13636363636363635,29,0.27586206896551724
RECLAIM,AGGRESSIVE,SIDEWAYS,0.580230323009824,12,0,12,8,0.6666666666666666,0.6666666666666666,48,0,48,16,0.3333333333333333,0.3333333333333333,24,0.3333333333333333
FILL,SAFE,BULL,0.6495502737932632,35,0,35,13,0.37142857142857144,0.37142857142857144,146,0,146,18,0.1232876712328767,0.1232876712328767,31,0.41935483870967744
FILL,SAFE,BEAR,0.6495502737932632,31,0,31,4,0.12903225806451613,0.12903225806451613,154,0,154,14,0.09090909090909091,0.09090909090909091,18,0.2222222222222222
FILL,SAFE,SIDEWAYS,0.6495502737932632,12,0,12,5,0.4166666666666667,0.4166666666666667,48,0,48,7,0.14583333333333334,0.14583333333333334,12,0.4166666666666667
FILL,AGGRESSIVE,BULL,0.5727423194846668,35,0,35,16,0.45714285714285713,0.45714285714285713,146,0,146,36,0.2465753424657534,0.2465753424657534,52,0.3076923076923077
FILL,AGGRESSIVE,BEAR,0.5727423194846668,31,0,31,8,0.25806451612903225,0.25806451612903225,154,0,154,23,0.14935064935064934,0.14935064935064934,31,0.25806451612903225
FILL,AGGRESSIVE,SIDEWAYS,0.5727423194846668,12,0,12,7,0.5833333333333334,0.5833333333333334,48,0,48,15,0.3125,0.3125,22,0.3181818181818182
PLUS5,SAFE,BULL,0.6782377735816619,35,1,34,14,0.4,0.4117647058823529,146,10,136,24,0.1643835616438356,0.17647058823529413,38,0.3684210526315789
PLUS5,SAFE,BEAR,0.6782377735816619,31,1,30,8,0.25806451612903225,0.26666666666666666,154,9,145,13,0.08441558441558442,0.0896551724137931,21,0.38095238095238093
PLUS5,SAFE,SIDEWAYS,0.6782377735816619,12,1,11,5,0.4166666666666667,0.45454545454545453,48,7,41,6,0.125,0.14634146341463414,11,0.45454545454545453
PLUS5,AGGRESSIVE,BULL,0.5631025017287984,35,1,34,22,0.6285714285714286,0.6470588235294118,146,10,136,44,0.3013698630136986,0.3235294117647059,66,0.3333333333333333
PLUS5,AGGRESSIVE,BEAR,0.5631025017287984,31,1,30,14,0.45161290322580644,0.4666666666666667,154,9,145,25,0.16233766233766234,0.1724137931034483,39,0.358974358974359
PLUS5,AGGRESSIVE,SIDEWAYS,0.5631025017287984,12,1,11,9,0.75,0.8181818181818182,48,7,41,13,0.2708333333333333,0.3170731707317073,22,0.4090909090909091
PLUS10,SAFE,BULL,0.5898635948838399,35,1,34,22,0.6285714285714286,0.6470588235294118,146,27,119,25,0.17123287671232876,0.21008403361344538,47,0.46808510638297873
PLUS10,SAFE,BEAR,0.5898635948838399,31,1,30,10,0.3225806451612903,0.3333333333333333,154,45,109,15,0.09740259740259741,0.13761467889908258,25,0.4
PLUS10,SAFE,SIDEWAYS,0.5898635948838399,12,1,11,7,0.5833333333333334,0.6363636363636364,48,15,33,7,0.14583333333333334,0.21212121212121213,14,0.5
PLUS10,AGGRESSIVE,BULL,0.5494693389519317,35,1,34,23,0.6571428571428571,0.6764705882352942,146,27,119,31,0.21232876712328766,0.2605042016806723,54,0.42592592592592593
PLUS10,AGGRESSIVE,BEAR,0.5494693389519317,31,1,30,11,0.3548387096774194,0.36666666666666664,154,45,109,18,0.11688311688311688,0.1651376146788991,29,0.3793103448275862
PLUS10,AGGRESSIVE,SIDEWAYS,0.5494693389519317,12,1,11,7,0.5833333333333334,0.6363636363636364,48,15,33,8,0.16666666666666666,0.24242424242424243,15,0.4666666666666667
PLUS15,SAFE,BULL,0.6079191233470493,35,2,33,22,0.6285714285714286,0.6666666666666666,146,43,103,19,0.13013698630136986,0.18446601941747573,41,0.5365853658536586
PLUS15,SAFE,BEAR,0.6079191233470493,31,2,29,13,0.41935483870967744,0.4482758620689655,154,69,85,12,0.07792207792207792,0.1411764705882353,25,0.52
PLUS15,SAFE,SIDEWAYS,0.6079191233470493,12,1,11,10,0.8333333333333334,0.9090909090909091,48,22,26,7,0.14583333333333334,0.2692307692307692,17,0.5882352941176471
PLUS15,AGGRESSIVE,BULL,0.4101988544354365,35,2,33,24,0.6857142857142857,0.7272727272727273,146,43,103,40,0.273972602739726,0.3883495145631068,64,0.375
PLUS15,AGGRESSIVE,BEAR,0.4101988544354365,31,2,29,20,0.6451612903225806,0.6896551724137931,154,69,85,25,0.16233766233766234,0.29411764705882354,45,0.4444444444444444
PLUS15,AGGRESSIVE,SIDEWAYS,0.4101988544354365,12,1,11,10,0.8333333333333334,0.9090909090909091,48,22,26,10,0.20833333333333334,0.38461538461538464,20,0.5
