partition,label,state,n,denom_alive15
development,BAD,BOTH,22,35
development,BAD,PLUS10_ONLY,2,35
development,BAD,PLUS15_ONLY,6,35
development,BAD,NEITHER,5,35
development,GOOD,BOTH,3,97
development,GOOD,PLUS10_ONLY,12,97
development,GOOD,PLUS15_ONLY,6,97
development,GOOD,NEITHER,76,97
external,BAD,BOTH,7,22
external,BAD,PLUS10_ONLY,1,22
external,BAD,PLUS15_ONLY,2,22
external,BAD,NEITHER,12,22
external,GOOD,BOTH,11,56
external,GOOD,PLUS10_ONLY,4,56
external,GOOD,PLUS15_ONLY,3,56
external,GOOD,NEITHER,38,56
reference_validation,BAD,BOTH,4,16
reference_validation,BAD,PLUS10_ONLY,1,16
reference_validation,BAD,PLUS15_ONLY,4,16
reference_validation,BAD,NEITHER,7,16
reference_validation,GOOD,BOTH,9,61
reference_validation,GOOD,PLUS10_ONLY,6,61
reference_validation,GOOD,PLUS15_ONLY,6,61
reference_validation,GOOD,NEITHER,40,61
POOLED_REUSED_EXTVAL,BAD,BOTH,11,38
POOLED_REUSED_EXTVAL,BAD,PLUS10_ONLY,2,38
POOLED_REUSED_EXTVAL,BAD,PLUS15_ONLY,6,38
POOLED_REUSED_EXTVAL,BAD,NEITHER,19,38
POOLED_REUSED_EXTVAL,GOOD,BOTH,20,117
POOLED_REUSED_EXTVAL,GOOD,PLUS10_ONLY,10,117
POOLED_REUSED_EXTVAL,GOOD,PLUS15_ONLY,9,117
POOLED_REUSED_EXTVAL,GOOD,NEITHER,78,117
POOLED_MAJOR,BAD,BOTH,33,73
POOLED_MAJOR,BAD,PLUS10_ONLY,4,73
POOLED_MAJOR,BAD,PLUS15_ONLY,12,73
POOLED_MAJOR,BAD,NEITHER,24,73
POOLED_MAJOR,GOOD,BOTH,23,214
POOLED_MAJOR,GOOD,PLUS10_ONLY,22,214
POOLED_MAJOR,GOOD,PLUS15_ONLY,15,214
POOLED_MAJOR,GOOD,NEITHER,154,214
