origin,feature,development_mean,development_std,coefficient_standardized,intercept
BULL,dir_ema_spread_atr,0.23570671621748382,0.17651093229262513,0.2158801651715423,-0.2019330901621332
BULL,dir_close_ema20_atr,-0.37971065991436165,0.3695499312358744,0.46008353691410514,-0.2019330901621332
BULL,dir_ema7_slope_atr,-0.20513912537728243,0.13065853435678504,0.33654806365028517,-0.2019330901621332
BULL,dir_ema20_slope_atr,-0.03996954314888018,0.03889999276167085,0.4600835369138581,-0.2019330901621332
BULL,dir_body_atr,-0.8535008903119464,0.6130324447541602,0.016809939572131546,-0.2019330901621332
BULL,bar_range_atr,1.4090936637772598,0.7518789273683614,0.15267726360705866,-0.2019330901621332
BEAR,dir_ema_spread_atr,0.22246998069016766,0.1642955575202371,0.41292702824421085,0.09322951673162298
BEAR,dir_close_ema20_atr,-0.30590469270113446,0.300191688277816,0.46203415934011854,0.09322951673162298
BEAR,dir_ema7_slope_atr,-0.17612489113043395,0.10931378831676494,0.2160652652784763,0.09322951673162298
BEAR,dir_ema20_slope_atr,-0.03220049396854036,0.031599125081875234,0.46203415934027875,0.09322951673162298
BEAR,dir_body_atr,-0.7118747945408942,0.4752401934082404,-0.025388725539840142,0.09322951673162298
BEAR,bar_range_atr,1.199942551497137,0.5848099446546048,-0.13832602245662556,0.09322951673162298
