scope,name,n,final_loc_p25,final_loc_p50,final_loc_p75,net_p50,net_p75_abs,close_span_p50,eff_p50,internal_up_rate,internal_down_rate,near10_rate,flat_chop_rate,mixed_rate
PARTITION,external,44,0.2729743845649857,0.43348315390711323,0.6120813956604682,0.29611114749091305,0.5081784162140166,0.4314202702133566,0.8334871078271764,0.8409090909090909,0.022727272727272728,0.13636363636363635,0.06818181818181818,0.06818181818181818
PARTITION,development,73,0.18812521685946337,0.29589371980676155,0.4553354188390673,0.23438077634011245,0.3517553006603991,0.3550796812748981,0.7461263612527735,0.726027397260274,0.0,0.273972602739726,0.2054794520547945,0.0684931506849315
PARTITION,reference_validation,52,0.17634180483530382,0.2772206301531352,0.5152816494050926,0.21979960586308395,0.4331054908416573,0.40570375283556825,0.6979763143941633,0.7692307692307693,0.038461538461538464,0.19230769230769232,0.1346153846153846,0.057692307692307696
POOL,POOLED_OOS,96,0.19282882798922046,0.36832732773824284,0.545226643330337,0.26946396150561214,0.4694154393586202,0.4105202564997419,0.7266408202153469,0.8020833333333334,0.03125,0.16666666666666666,0.10416666666666667,0.0625
POOL,POOLED_MAJOR,169,0.19207402560986853,0.3337075211756291,0.5122985581000808,0.24947963128161763,0.4243704877619288,0.3796881584492231,0.7430042382090869,0.7692307692307693,0.01775147928994083,0.21301775147928995,0.14792899408284024,0.0650887573964497
CLOCK,00-04,23,0.23971903481430357,0.37928236937233095,0.5286842035189677,0.28553240740740404,0.4810795446408217,0.40844766677620264,0.6652663084044088,0.782608695652174,0.0,0.21739130434782608,0.17391304347826086,0.043478260869565216
CLOCK,04-08,25,0.20187793427230466,0.3348124243646612,0.45729537366548045,0.2736883460123592,0.35597129677088046,0.3792270531400973,0.8142063920072808,0.76,0.04,0.2,0.08,0.12
CLOCK,08-12,36,0.2085747285811985,0.34229082036509073,0.5289643019804409,0.26376553884265064,0.3984053292592913,0.4168457051352905,0.7010155182968474,0.8611111111111112,0.0,0.1388888888888889,0.1388888888888889,0.0
CLOCK,12-16,21,0.15912000931207188,0.2587844159980913,0.3961303462321911,0.1797694650713756,0.2865600000000035,0.3802207012152487,0.6046900420369986,0.6666666666666666,0.047619047619047616,0.2857142857142857,0.19047619047619047,0.09523809523809523
CLOCK,16-20,35,0.19115866791256647,0.3771165338645314,0.5248510813772086,0.27078750549934943,0.44047296179256346,0.34895141690260706,0.777481389578166,0.7428571428571429,0.0,0.2571428571428571,0.11428571428571428,0.14285714285714285
CLOCK,20-00,29,0.17144785690178668,0.25066904549510016,0.5731258106355368,0.20790825715085534,0.5392130974386111,0.3372309086789022,0.8378378378379365,0.7586206896551724,0.034482758620689655,0.20689655172413793,0.20689655172413793,0.0
