partition,origin,mask,n,resume_n,resume_rate
external,BULL,---C,157,100,0.6369426751592356
external,BULL,--EC,6,4,0.6666666666666666
external,BEAR,---C,97,49,0.5051546391752577
external,BEAR,-L--,10,7,0.7
external,BEAR,-L-C,1,0,0.0
development,BULL,---C,219,105,0.4794520547945205
development,BEAR,---C,249,135,0.5421686746987951
reference_validation,BULL,---C,149,72,0.48322147651006714
reference_validation,BULL,--EC,1,0,0.0
reference_validation,BEAR,---C,133,54,0.40601503759398494
reference_validation,BEAR,-L-C,1,1,1.0
POOLED_MAJOR,BULL,---C,525,277,0.5276190476190477
POOLED_MAJOR,BULL,--EC,7,4,0.5714285714285714
POOLED_MAJOR,BEAR,---C,479,238,0.4968684759916493
POOLED_MAJOR,BEAR,-L--,10,7,0.7
POOLED_MAJOR,BEAR,-L-C,2,1,0.5
