partition,side,swing_level_ts,swing_level,retest_ts,entry_ts,entry_px,stop_px,target_px,risk_pct,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
external,SHORT,2020-01-01 08:00:00+00:00,7174.0,2020-01-01 20:00:00+00:00,2020-01-02 00:00:00+00:00,7197.57,7242.0,7108.709999999999,0.006172916692717166,True,2020-01-02 07:20:00+00:00,7108.709999999999,0.01234583338543438,5.772916692717189,TP_2R,440.0
external,SHORT,2020-01-02 04:00:00+00:00,7101.0,2020-01-02 12:00:00+00:00,2020-01-02 16:00:00+00:00,7126.25,7160.0,7058.75,0.004736011226100684,True,2020-01-02 16:45:00+00:00,7058.75,0.009472022452201356,4.336011226100678,TP_2R,45.0
external,SHORT,2020-01-02 16:00:00+00:00,6922.0,2020-01-03 00:00:00+00:00,2020-01-03 04:00:00+00:00,6947.44,6962.8,6916.719999999998,0.002210886312080505,True,2020-01-03 04:05:00+00:00,6962.8,-0.00221088631208044,-1.50544315604022,SL,5.0
external,LONG,2020-01-01 12:00:00+00:00,7260.43,2020-01-03 04:00:00+00:00,2020-01-03 08:00:00+00:00,7198.02,6945.84,7702.380000000001,0.035034634524494276,True,2020-01-06 22:35:00+00:00,7702.380000000001,0.07006926904898858,34.634634524494295,TP_2R,5195.0
external,LONG,2020-01-15 00:00:00+00:00,8918.5,2020-01-15 12:00:00+00:00,2020-01-15 16:00:00+00:00,8768.17,8727.0,8850.51,0.004695392539150139,True,2020-01-15 16:05:00+00:00,8727.0,-0.004695392539150189,-2.7476962695750946,SL,5.0
external,LONG,2020-01-19 00:00:00+00:00,9205.3,2020-01-28 12:00:00+00:00,2020-01-28 16:00:00+00:00,9030.0,8969.35,9151.3,0.006716500553709816,True,2020-01-28 17:15:00+00:00,8969.35,-0.00671650055370987,-3.758250276854935,SL,75.0
external,LONG,2020-01-29 00:00:00+00:00,9450.0,2020-01-29 08:00:00+00:00,2020-01-29 12:00:00+00:00,9312.42,9242.0,9453.26,0.0075619441562988,True,2020-01-29 21:20:00+00:00,9453.26,0.0151238883125977,7.1619441562988495,TP_2R,560.0
external,LONG,2020-01-30 20:00:00+00:00,9599.0,2020-02-03 00:00:00+00:00,2020-02-03 04:00:00+00:00,9396.68,9290.0,9610.04,0.011352945934095903,True,2020-02-03 15:55:00+00:00,9290.0,-0.01135294593409586,-6.0764729670479305,SL,715.0
external,LONG,2020-02-06 12:00:00+00:00,9884.0,2020-02-07 00:00:00+00:00,2020-02-07 04:00:00+00:00,9788.15,9762.0,9840.449999999999,0.0026715977993798253,True,2020-02-07 04:15:00+00:00,9762.0,-0.0026715977993798656,-1.7357988996899327,SL,15.0
external,LONG,2020-02-09 04:00:00+00:00,10184.34,2020-02-09 20:00:00+00:00,2020-02-10 00:00:00+00:00,10167.37,10070.0,10362.110000000002,0.009576714528929388,True,2020-02-10 04:20:00+00:00,10070.0,-0.009576714528929386,-5.188357264464694,SL,260.0
external,LONG,2020-02-11 16:00:00+00:00,10409.96,2020-02-12 04:00:00+00:00,2020-02-12 08:00:00+00:00,10371.76,10269.93,10575.42,0.009818005815792105,True,2020-02-12 08:40:00+00:00,10269.93,-0.009818005815792064,-5.309002907896032,SL,40.0
external,LONG,2020-10-31 08:00:00+00:00,14140.0,2020-11-04 16:00:00+00:00,2020-11-04 20:00:00+00:00,14097.25,13869.16,14553.43,0.01617975136994805,True,2020-11-05 08:00:00+00:00,14553.43,0.032359502739896184,15.779751369948093,TP_2R,720.0
external,LONG,2020-11-06 00:00:00+00:00,15984.2,2020-11-11 16:00:00+00:00,2020-11-11 20:00:00+00:00,15814.86,15637.71,16169.160000000003,0.011201490243985812,True,2020-11-11 20:25:00+00:00,15637.71,-0.011201490243985757,-6.000745121992878,SL,25.0
external,LONG,2020-11-12 08:00:00+00:00,16176.22,2020-11-12 16:00:00+00:00,2020-11-12 20:00:00+00:00,16058.82,15875.51,16425.44,0.011414910933680028,True,2020-11-13 00:45:00+00:00,16425.44,0.022829821867360156,11.014910933680078,TP_2R,285.0
external,LONG,2020-11-13 00:00:00+00:00,16479.99,2020-11-16 12:00:00+00:00,2020-11-16 16:00:00+00:00,16445.0,16231.0,16873.0,0.0130130738826391,True,2020-11-16 21:10:00+00:00,16873.0,0.026026147765278118,12.613073882639059,TP_2R,310.0
external,LONG,2020-11-20 16:00:00+00:00,18831.6,2020-11-21 00:00:00+00:00,2020-11-21 04:00:00+00:00,18669.97,18632.15,18745.61,0.0020257129497262025,True,2020-11-21 04:00:00+00:00,18632.15,-0.0020257129497261994,-1.4128564748630996,SL,0.0
external,LONG,2020-11-24 16:00:00+00:00,19440.0,2020-11-25 12:00:00+00:00,2020-11-25 16:00:00+00:00,19148.31,19108.0,19228.930000000004,0.0021051466160721915,True,2020-11-25 16:00:00+00:00,19108.0,-0.0021051466160721954,-1.4525733080360976,SL,0.0
external,LONG,2020-11-30 20:00:00+00:00,19775.34,2020-12-01 08:00:00+00:00,2020-12-01 12:00:00+00:00,19439.99,18896.03,20527.910000000007,0.02798149587525522,True,2020-12-01 12:25:00+00:00,18896.03,-0.027981495875255225,-14.390747937627612,SL,25.0
