partition,tolerance,tol_value,side,signal_ts,entry_ts,swing_level_ts,swing_level,prior_touches,touch_bucket,entry_px,stop_px,target_px,risk_pct,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
external,TOL_0.10,0.001,SHORT,2020-01-02 00:00:00+00:00,2020-01-02 04:00:00+00:00,2020-01-01 08:00:00+00:00,7174.0,1,1,7126.94,7209.59,6961.6399999999985,0.011596842403612287,True,2020-01-02 17:00:00+00:00,6961.6399999999985,0.023193684807224613,11.196842403612306,TP_2R,780.0
external,TOL_0.10,0.001,LONG,2020-01-03 08:00:00+00:00,2020-01-03 12:00:00+00:00,2020-01-01 12:00:00+00:00,7260.43,1,1,7338.4,7198.0,7619.199999999999,0.019132235909735045,True,2020-01-06 22:10:00+00:00,7619.199999999999,0.038264471819470014,18.73223590973501,TP_2R,4930.0
external,TOL_0.10,0.001,LONG,2020-01-07 16:00:00+00:00,2020-01-07 20:00:00+00:00,2020-01-07 00:00:00+00:00,8014.91,0,0,8077.71,7733.0,8767.130000000001,0.042674223263771544,True,2020-01-10 06:15:00+00:00,7733.0,-0.04267422326377157,-21.737111631885785,SL,3495.0
external,TOL_0.10,0.001,LONG,2020-01-14 00:00:00+00:00,2020-01-14 04:00:00+00:00,2020-01-08 00:00:00+00:00,8468.42,0,0,8469.54,8109.02,9190.580000000002,0.042566656512632375,True,2020-01-19 02:20:00+00:00,9190.580000000002,0.08513331302526472,42.166656512632365,TP_2R,7100.0
external,TOL_0.10,0.001,LONG,2020-01-28 20:00:00+00:00,2020-01-29 00:00:00+00:00,2020-01-19 00:00:00+00:00,9205.3,1,1,9399.72,9017.46,10164.24,0.040667168809283706,True,2020-02-09 07:40:00+00:00,10164.24,0.08133433761856734,40.267168809283675,TP_2R,16300.0
external,TOL_0.10,0.001,LONG,2020-02-11 12:00:00+00:00,2020-02-11 16:00:00+00:00,2020-02-09 04:00:00+00:00,10184.34,1,1,10204.89,9799.88,11014.91,0.03968783592963768,True,2020-02-15 15:50:00+00:00,9799.88,-0.03968783592963765,-20.243917964818824,SL,5750.0
external,TOL_0.10,0.001,SHORT,2020-03-12 08:00:00+00:00,2020-03-12 12:00:00+00:00,2020-01-02 16:00:00+00:00,6922.0,1,1,6046.39,7470.0,3199.170000000001,0.23544792843332957,True,2020-04-23 14:20:00+00:00,7470.0,-0.2354479284333295,-118.12396421666476,SL,60620.0
external,TOL_0.10,0.001,LONG,2020-07-27 16:00:00+00:00,2020-07-27 20:00:00+00:00,2020-02-11 16:00:00+00:00,10409.96,6,4+,10806.52,10304.1,11811.36,0.04649230279497933,True,2020-08-01 19:25:00+00:00,11811.36,0.09298460558995858,46.09230279497929,TP_2R,7165.0
external,TOL_0.10,0.001,LONG,2020-08-17 12:00:00+00:00,2020-08-17 16:00:00+00:00,2020-08-02 04:00:00+00:00,12154.25,0,0,12443.99,11799.26,13733.449999999999,0.05181055272464857,True,2020-08-19 04:15:00+00:00,11799.26,-0.05181055272464852,-26.305276362324257,SL,2175.0
external,TOL_0.10,0.001,LONG,2020-10-21 12:00:00+00:00,2020-10-21 16:00:00+00:00,2020-08-17 16:00:00+00:00,12499.42,0,0,12729.81,12265.0,13659.429999999998,0.03651350648595694,True,2020-10-27 16:00:00+00:00,13659.429999999998,0.07302701297191394,36.11350648595697,TP_2R,8640.0
external,TOL_0.10,0.001,LONG,2020-10-31 08:00:00+00:00,2020-10-31 12:00:00+00:00,2020-10-28 00:00:00+00:00,13863.0,0,0,13929.61,13500.02,14788.79,0.03084005941300583,True,2020-11-02 08:40:00+00:00,13500.02,-0.030840059413005827,-15.820029706502913,SL,2680.0
external,TOL_0.10,0.001,LONG,2020-11-05 00:00:00+00:00,2020-11-05 04:00:00+00:00,2020-10-31 08:00:00+00:00,14140.0,1,1,14300.55,14088.01,14725.629999999997,0.014862365433497247,True,2020-11-05 11:50:00+00:00,14725.629999999997,0.029724730866994564,14.46236543349728,TP_2R,470.0
external,TOL_0.10,0.001,LONG,2020-11-12 12:00:00+00:00,2020-11-12 16:00:00+00:00,2020-11-06 00:00:00+00:00,15984.2,2,2,16123.99,15747.0,16877.97,0.02338068927107991,True,2020-11-14 10:00:00+00:00,15747.0,-0.023380689271079946,-12.090344635539973,SL,2520.0
external,TOL_0.10,0.001,LONG,2020-11-16 16:00:00+00:00,2020-11-16 20:00:00+00:00,2020-11-13 00:00:00+00:00,16479.99,1,1,16776.69,16429.11,17471.849999999995,0.020718031983662937,True,2020-11-17 16:35:00+00:00,17471.849999999995,0.04143606396732591,20.318031983662955,TP_2R,1235.0
external,TOL_0.10,0.001,LONG,2020-11-18 00:00:00+00:00,2020-11-18 04:00:00+00:00,2020-11-17 16:00:00+00:00,17890.1,0,0,18071.58,17611.7,18991.340000000004,0.025447691900763573,True,2020-11-18 05:35:00+00:00,17611.7,-0.02544769190076357,-13.123845950381785,SL,95.0
external,TOL_0.10,0.001,LONG,2020-11-20 12:00:00+00:00,2020-11-20 16:00:00+00:00,2020-11-18 04:00:00+00:00,18520.0,0,0,18678.74,18154.45,19727.320000000003,0.02806880978053128,True,2020-11-22 10:40:00+00:00,18154.45,-0.02806880978053128,-14.43440489026564,SL,2560.0
external,TOL_0.10,0.001,LONG,2020-11-24 08:00:00+00:00,2020-11-24 12:00:00+00:00,2020-11-20 16:00:00+00:00,18831.6,2,2,19089.69,18381.99,20505.089999999993,0.037072367335456845,True,2020-11-26 02:50:00+00:00,18381.99,-0.037072367335456824,-18.93618366772841,SL,2330.0
external,TOL_0.10,0.001,LONG,2020-11-30 20:00:00+00:00,2020-12-01 00:00:00+00:00,2020-11-24 16:00:00+00:00,19440.0,2,2,19722.09,19185.0,20796.27,0.027232914969965157,True,2020-12-01 11:25:00+00:00,19185.0,-0.02723291496996516,-14.016457484982581,SL,685.0
external,TOL_0.10,0.001,LONG,2020-12-16 12:00:00+00:00,2020-12-16 16:00:00+00:00,2020-11-30 20:00:00+00:00,19775.34,2,2,20666.49,19691.5,22616.470000000005,0.04717733877402508,True,2020-12-17 08:00:00+00:00,22616.470000000005,0.09435467754805016,46.77733877402508,TP_2R,960.0
external,TOL_0.10,0.001,LONG,2020-12-20 12:00:00+00:00,2020-12-20 16:00:00+00:00,2020-12-17 08:00:00+00:00,23888.04,1,1,23899.94,23312.0,25075.819999999996,0.02460006175747716,True,2020-12-20 22:00:00+00:00,23312.0,-0.0246000617574772,-12.7000308787386,SL,360.0
external,TOL_0.10,0.001,LONG,2020-12-25 08:00:00+00:00,2020-12-25 12:00:00+00:00,2020-12-20 20:00:00+00:00,24376.0,0,0,24605.22,23610.0,26595.660000000003,0.040447514795640974,True,2020-12-26 21:00:00+00:00,26595.660000000003,0.08089502959128203,40.047514795641014,TP_2R,1980.0
external,TOL_0.10,0.001,LONG,2020-12-30 16:00:00+00:00,2020-12-30 20:00:00+00:00,2020-12-27 08:00:00+00:00,28459.84,1,1,28806.79,27921.27,30577.83,0.03073997484620815,True,2020-12-31 13:10:00+00:00,27921.27,-0.030739974846208162,-15.769987423104082,SL,1030.0
external,TOL_0.10,0.001,LONG,2021-01-02 04:00:00+00:00,2021-01-02 08:00:00+00:00,2020-12-31 00:00:00+00:00,29376.7,1,1,29778.77,29230.0,30876.31,0.018428229238480986,True,2021-01-02 12:45:00+00:00,30876.31,0.03685645847696195,18.028229238480975,TP_2R,285.0
external,TOL_0.10,0.001,LONG,2021-01-03 04:00:00+00:00,2021-01-03 08:00:00+00:00,2021-01-02 16:00:00+00:00,33480.0,0,0,34476.0,32472.0,38484.0,0.058127392969021925,True,2021-01-03 18:35:00+00:00,32472.0,-0.05812739296902192,-29.463696484510958,SL,635.0
external,TOL_0.10,0.001,LONG,2021-01-06 08:00:00+00:00,2021-01-06 12:00:00+00:00,2021-01-03 04:00:00+00:00,34832.25,1,1,34994.67,33650.0,37684.009999999995,0.03842499443486675,True,2021-01-07 03:25:00+00:00,37684.009999999995,0.0768499888697336,38.0249944348668,TP_2R,925.0
external,TOL_0.10,0.001,LONG,2021-01-07 08:00:00+00:00,2021-01-07 12:00:00+00:00,2021-01-07 00:00:00+00:00,37795.42,0,0,37919.72,36337.36,41084.44,0.041729211080672554,True,2021-01-08 10:45:00+00:00,41084.44,0.08345842216134503,41.329211080672515,TP_2R,1365.0
external,TOL_0.10,0.001,LONG,2021-02-08 12:00:00+00:00,2021-02-08 16:00:00+00:00,2021-01-08 12:00:00+00:00,42125.51,0,0,43785.81,39160.56,53036.31,0.10563353744055437,True,2021-02-19 09:20:00+00:00,53036.31,0.21126707488110874,105.23353744055436,TP_2R,15440.0
external,TOL_0.10,0.001,LONG,2021-02-20 16:00:00+00:00,2021-02-20 20:00:00+00:00,2021-02-20 00:00:00+00:00,56766.66,1,1,57063.18,56228.42,58732.700000000004,0.014628697524393173,True,2021-02-20 22:00:00+00:00,56228.42,-0.01462869752439322,-7.71434876219661,SL,120.0
external,TOL_0.10,0.001,LONG,2021-02-21 16:00:00+00:00,2021-02-21 20:00:00+00:00,2021-02-20 12:00:00+00:00,57699.0,1,1,58181.37,57100.0,60344.11000000001,0.01858619004674525,True,2021-02-21 22:35:00+00:00,57100.0,-0.01858619004674522,-9.693095023372612,SL,155.0
external,TOL_0.10,0.001,LONG,2021-03-13 08:00:00+00:00,2021-03-13 12:00:00+00:00,2021-02-21 16:00:00+00:00,58472.14,0,0,59914.58,57213.42,65316.90000000001,0.04508351723403558,True,2021-03-15 07:25:00+00:00,57213.42,-0.045083517234035586,-22.94175861701779,SL,2605.0
