partition,bull_cross_ts,signal_ts,entry_ts,entry_px,regime_at_cross,regime_at_signal,resolved,exit_reason,exit_ts,exit_px,gross_return,hold_minutes,gross_pnl_usd,net_pnl_usd
external,2020-01-17 16:15:00+00:00,2020-01-17 16:30:00+00:00,2020-01-17 16:45:00+00:00,8926.42,True,True,True,SL,2020-01-17 19:45:00+00:00,8837.1558,-0.01,180.0,-5.0,-5.4
external,2020-01-18 12:45:00+00:00,2020-01-18 13:00:00+00:00,2020-01-18 13:15:00+00:00,8925.0,True,True,True,TP,2020-01-19 01:00:00+00:00,9014.25,0.01,705.0,5.0,4.6
external,2020-01-28 20:30:00+00:00,2020-01-28 21:00:00+00:00,2020-01-28 21:15:00+00:00,9105.75,True,True,True,TP,2020-01-28 23:30:00+00:00,9196.8075,0.01,135.0,5.0,4.6
external,2020-01-30 06:30:00+00:00,2020-01-30 07:00:00+00:00,2020-01-30 07:15:00+00:00,9350.62,True,True,True,TP,2020-01-30 16:20:00+00:00,9444.1262,0.01,545.0,5.0,4.6
external,2020-01-31 22:00:00+00:00,2020-01-31 22:15:00+00:00,2020-01-31 22:30:00+00:00,9389.69,True,True,True,SL,2020-02-02 02:10:00+00:00,9295.7931,-0.01,1660.0,-5.0,-5.4
external,2020-02-07 23:30:00+00:00,2020-02-08 00:30:00+00:00,2020-02-08 00:45:00+00:00,9816.74,True,True,True,SL,2020-02-08 02:50:00+00:00,9718.5726,-0.01,125.0,-5.0,-5.4
external,2020-02-08 08:30:00+00:00,2020-02-08 09:30:00+00:00,2020-02-08 09:45:00+00:00,9823.58,True,True,True,TP,2020-02-08 21:45:00+00:00,9921.8158,0.01,720.0,5.0,4.6
external,2020-02-14 03:00:00+00:00,2020-02-14 03:15:00+00:00,2020-02-14 03:30:00+00:00,10298.57,True,True,True,SL,2020-02-14 05:25:00+00:00,10195.5843,-0.01,115.0,-5.0,-5.4
external,2020-03-25 06:45:00+00:00,2020-03-25 07:00:00+00:00,2020-03-25 07:15:00+00:00,6688.16,True,True,True,SL,2020-03-25 07:30:00+00:00,6621.2784,-0.01,15.0,-5.0,-5.4
external,2020-03-25 23:15:00+00:00,2020-03-25 23:30:00+00:00,2020-03-25 23:45:00+00:00,6666.31,True,True,True,TP,2020-03-26 00:00:00+00:00,6732.9731,0.01,15.0,5.0,4.6
external,2020-03-26 19:15:00+00:00,2020-03-26 19:45:00+00:00,2020-03-26 20:00:00+00:00,6653.06,True,True,True,TP,2020-03-26 20:10:00+00:00,6719.5906,0.01,10.0,5.0,4.6
external,2020-03-27 21:15:00+00:00,2020-03-27 21:45:00+00:00,2020-03-27 22:00:00+00:00,6669.99,True,True,True,SL,2020-03-27 23:35:00+00:00,6603.2901,-0.01,95.0,-5.0,-5.4
external,2020-03-31 14:15:00+00:00,2020-03-31 15:00:00+00:00,2020-03-31 15:15:00+00:00,6476.0,True,True,True,SL,2020-03-31 16:35:00+00:00,6411.24,-0.01,80.0,-5.0,-5.4
external,2020-04-04 09:30:00+00:00,2020-04-04 09:45:00+00:00,2020-04-04 10:00:00+00:00,6831.32,True,True,True,TP,2020-04-04 11:00:00+00:00,6899.6332,0.01,60.0,5.0,4.6
external,2020-04-04 17:00:00+00:00,2020-04-04 17:30:00+00:00,2020-04-04 17:45:00+00:00,6777.9,True,True,True,SL,2020-04-04 19:15:00+00:00,6710.120999999999,-0.01,90.0,-5.0,-5.4
external,2020-04-06 00:15:00+00:00,2020-04-06 00:30:00+00:00,2020-04-06 00:45:00+00:00,6836.9,True,True,True,TP,2020-04-06 04:15:00+00:00,6905.268999999999,0.01,210.0,5.0,4.6
