partition,bull_cross_ts,signal_ts,entry_ts,entry_px,config,tp,sl,resolved,exit_reason,exit_ts,gross_return,gross_pnl_usd,net_pnl_usd,hold_minutes
external,2020-01-17 16:15:00+00:00,2020-01-17 16:30:00+00:00,2020-01-17 16:45:00+00:00,8926.42,TP0.50_SL0.50,0.005,0.005,True,SL,2020-01-17 16:55:00+00:00,-0.005,-2.5,-2.9,10.0
external,2020-01-17 16:15:00+00:00,2020-01-17 16:30:00+00:00,2020-01-17 16:45:00+00:00,8926.42,TP0.75_SL0.75,0.0075,0.0075,True,SL,2020-01-17 19:45:00+00:00,-0.0075,-3.75,-4.15,180.0
external,2020-01-17 16:15:00+00:00,2020-01-17 16:30:00+00:00,2020-01-17 16:45:00+00:00,8926.42,TP1.00_SL0.50,0.01,0.005,True,SL,2020-01-17 16:55:00+00:00,-0.005,-2.5,-2.9,10.0
external,2020-01-17 16:15:00+00:00,2020-01-17 16:30:00+00:00,2020-01-17 16:45:00+00:00,8926.42,TP1.00_SL0.75,0.01,0.0075,True,SL,2020-01-17 19:45:00+00:00,-0.0075,-3.75,-4.15,180.0
external,2020-01-17 16:15:00+00:00,2020-01-17 16:30:00+00:00,2020-01-17 16:45:00+00:00,8926.42,TP1.50_SL1.00,0.015,0.01,True,SL,2020-01-17 19:45:00+00:00,-0.01,-5.0,-5.4,180.0
external,2020-01-17 16:15:00+00:00,2020-01-17 16:30:00+00:00,2020-01-17 16:45:00+00:00,8926.42,TP2.00_SL1.00,0.02,0.01,True,SL,2020-01-17 19:45:00+00:00,-0.01,-5.0,-5.4,180.0
external,2020-01-17 16:15:00+00:00,2020-01-17 16:30:00+00:00,2020-01-17 16:45:00+00:00,8926.42,TP2.00_SL1.50,0.02,0.015,True,TP,2020-01-19 01:00:00+00:00,0.02,10.0,9.6,1935.0
external,2020-01-18 12:45:00+00:00,2020-01-18 13:00:00+00:00,2020-01-18 13:15:00+00:00,8925.0,TP0.50_SL0.50,0.005,0.005,True,SL,2020-01-18 15:40:00+00:00,-0.005,-2.5,-2.9,145.0
external,2020-01-18 12:45:00+00:00,2020-01-18 13:00:00+00:00,2020-01-18 13:15:00+00:00,8925.0,TP0.75_SL0.75,0.0075,0.0075,True,SL,2020-01-18 16:30:00+00:00,-0.0075,-3.75,-4.15,195.0
external,2020-01-18 12:45:00+00:00,2020-01-18 13:00:00+00:00,2020-01-18 13:15:00+00:00,8925.0,TP1.00_SL0.50,0.01,0.005,True,SL,2020-01-18 15:40:00+00:00,-0.005,-2.5,-2.9,145.0
external,2020-01-18 12:45:00+00:00,2020-01-18 13:00:00+00:00,2020-01-18 13:15:00+00:00,8925.0,TP1.00_SL0.75,0.01,0.0075,True,SL,2020-01-18 16:30:00+00:00,-0.0075,-3.75,-4.15,195.0
external,2020-01-18 12:45:00+00:00,2020-01-18 13:00:00+00:00,2020-01-18 13:15:00+00:00,8925.0,TP1.50_SL1.00,0.015,0.01,True,TP,2020-01-19 01:00:00+00:00,0.015,7.5,7.1,705.0
external,2020-01-18 12:45:00+00:00,2020-01-18 13:00:00+00:00,2020-01-18 13:15:00+00:00,8925.0,TP2.00_SL1.00,0.02,0.01,True,TP,2020-01-19 01:00:00+00:00,0.02,10.0,9.6,705.0
external,2020-01-18 12:45:00+00:00,2020-01-18 13:00:00+00:00,2020-01-18 13:15:00+00:00,8925.0,TP2.00_SL1.50,0.02,0.015,True,TP,2020-01-19 01:00:00+00:00,0.02,10.0,9.6,705.0
external,2020-01-28 20:30:00+00:00,2020-01-28 21:00:00+00:00,2020-01-28 21:15:00+00:00,9105.75,TP0.50_SL0.50,0.005,0.005,True,SL,2020-01-28 21:30:00+00:00,-0.005,-2.5,-2.9,15.0
external,2020-01-28 20:30:00+00:00,2020-01-28 21:00:00+00:00,2020-01-28 21:15:00+00:00,9105.75,TP0.75_SL0.75,0.0075,0.0075,True,TP,2020-01-28 22:50:00+00:00,0.0075,3.75,3.35,95.0
external,2020-01-28 20:30:00+00:00,2020-01-28 21:00:00+00:00,2020-01-28 21:15:00+00:00,9105.75,TP1.00_SL0.50,0.01,0.005,True,SL,2020-01-28 21:30:00+00:00,-0.005,-2.5,-2.9,15.0
external,2020-01-28 20:30:00+00:00,2020-01-28 21:00:00+00:00,2020-01-28 21:15:00+00:00,9105.75,TP1.00_SL0.75,0.01,0.0075,True,TP,2020-01-28 23:30:00+00:00,0.01,5.0,4.6,135.0
external,2020-01-28 20:30:00+00:00,2020-01-28 21:00:00+00:00,2020-01-28 21:15:00+00:00,9105.75,TP1.50_SL1.00,0.015,0.01,True,TP,2020-01-28 23:35:00+00:00,0.015,7.5,7.1,140.0
external,2020-01-28 20:30:00+00:00,2020-01-28 21:00:00+00:00,2020-01-28 21:15:00+00:00,9105.75,TP2.00_SL1.00,0.02,0.01,True,TP,2020-01-28 23:35:00+00:00,0.02,10.0,9.6,140.0
external,2020-01-28 20:30:00+00:00,2020-01-28 21:00:00+00:00,2020-01-28 21:15:00+00:00,9105.75,TP2.00_SL1.50,0.02,0.015,True,TP,2020-01-28 23:35:00+00:00,0.02,10.0,9.6,140.0
external,2020-01-30 06:30:00+00:00,2020-01-30 07:00:00+00:00,2020-01-30 07:15:00+00:00,9350.62,TP0.50_SL0.50,0.005,0.005,True,TP,2020-01-30 07:40:00+00:00,0.005,2.5,2.1,25.0
external,2020-01-30 06:30:00+00:00,2020-01-30 07:00:00+00:00,2020-01-30 07:15:00+00:00,9350.62,TP0.75_SL0.75,0.0075,0.0075,True,TP,2020-01-30 14:00:00+00:00,0.0075,3.75,3.35,405.0
external,2020-01-30 06:30:00+00:00,2020-01-30 07:00:00+00:00,2020-01-30 07:15:00+00:00,9350.62,TP1.00_SL0.50,0.01,0.005,True,SL,2020-01-30 14:05:00+00:00,-0.005,-2.5,-2.9,410.0
external,2020-01-30 06:30:00+00:00,2020-01-30 07:00:00+00:00,2020-01-30 07:15:00+00:00,9350.62,TP1.00_SL0.75,0.01,0.0075,True,TP,2020-01-30 16:20:00+00:00,0.01,5.0,4.6,545.0
