partition,touch_bucket,long_n,short_n,entered,resolved,wins,losses,wr,net_pf,net_exp,total_net,med_risk,med_hold,repeatable_pass
external,ALL,139,91,230,229,77,152,0.33624454148471616,0.9406868574131936,-0.5993094909074161,-137.2418734177983,0.02355049562378691,925.0,False
external,0,107,66,173,172,56,116,0.32558139534883723,0.9009294724333234,-1.1059091468513298,-190.21637325842872,0.024538856381247538,987.5,False
external,1,32,25,57,57,21,36,0.3684210526315789,1.1345066506531116,0.9293771901864992,52.97449984063046,0.019792768252512846,740.0,False
external,2,0,0,0,0,0,0,,,,,,,False
external,3,0,0,0,0,0,0,,,,,,,False
external,4+,0,0,0,0,0,0,,,,,,,False
development,ALL,186,173,359,358,126,232,0.35195530726256985,1.0024995195472455,0.017605403821877048,6.302734568231983,0.016812390296661178,922.5,False
development,0,128,126,254,253,89,164,0.35177865612648224,0.9944912785819212,-0.04095122158547544,-10.360659061125286,0.017645226454191868,985.0,False
development,1,58,47,105,105,37,68,0.3523809523809524,1.026003860800118,0.15869898694625947,16.663393629357245,0.014968616089105971,795.0,False
development,2,0,0,0,0,0,0,,,,,,,False
development,3,0,0,0,0,0,0,,,,,,,False
development,4+,0,0,0,0,0,0,,,,,,,False
reference_validation,ALL,136,109,245,244,76,168,0.3114754098360656,0.8347887359360732,-0.9204191878558973,-224.58228183683894,0.013089117336369952,857.5,False
reference_validation,0,104,69,173,172,50,122,0.29069767441860467,0.7211967924006275,-1.6846476488389721,-289.7593956003032,0.013566769147781902,1087.5,False
reference_validation,1,32,40,72,72,26,46,0.3611111111111111,1.2036358346435228,0.9052376911592255,65.17711376346423,0.0099965021311751,507.5,False
reference_validation,2,0,0,0,0,0,0,,,,,,,False
reference_validation,3,0,0,0,0,0,0,,,,,,,False
reference_validation,4+,0,0,0,0,0,0,,,,,,,False
august,ALL,5,3,8,7,1,6,0.14285714285714285,0.42117625012550824,-2.479770149842952,-17.358391048900664,0.01118988494711992,1020.0,False
august,0,3,3,6,5,1,4,0.2,0.5253554895344106,-2.282297121102461,-11.411485605512306,0.011709139749012498,1385.0,False
august,1,2,0,2,2,0,2,0.0,0.0,-2.9734527216941804,-5.946905443388361,0.005146905443388407,562.5,False
august,2,0,0,0,0,0,0,,,,,,,False
august,3,0,0,0,0,0,0,,,,,,,False
august,4+,0,0,0,0,0,0,,,,,,,False
