partition,entry_tf,higher_tf,higher_state_at_entry,n,wr,pf,mean_ret,median_ret,median_mfe,median_mae,median_bars,max_losing_streak,mean_strong_frac,mean_healthy_frac
august,1h,4h,NEUTRAL,2,0.0,0.0,-0.0016638127140240488,-0.0016638127140240488,0.005427206380378746,-0.004459853787970147,14.5,2,0.7194444444444444,0.2
august,1h,4h,STRONG_BULL,3,0.0,0.0,-0.0026216064548650144,-0.0018245962946423777,0.0033999464138880775,-0.003512616415842218,9.0,3,0.21367521367521367,0.4031339031339032
august,5m,1h,NEUTRAL,29,0.3448275862068966,4.9606967795623715,0.00209051783548673,-0.00038415765202848284,0.0008517847330575812,-0.000583892638294059,7.0,5,0.46570268724884334,0.22466899329412468
august,5m,1h,STRONG_BEAR,2,1.0,inf,0.0007062948620669696,0.0007062948620669696,0.0022327421891732424,-0.000253828714491533,18.0,0,0.6393188854489165,0.304953560371517
august,5m,1h,STRONG_BULL,20,0.3,3.3401233382051103,0.0028444137428245255,-0.0010424548113334153,0.0016067911834531934,-0.0017626985519201277,9.5,8,0.5180014430014429,0.23722763347763345
development,1h,4h,NEUTRAL,139,0.3237410071942446,1.311366222838072,0.0016096209571191057,-0.00372085274169931,0.009486029665401796,-0.007345972352008179,8.0,13,0.5910223033488534,0.1742955814835417
development,1h,4h,STRONG_BULL,73,0.3698630136986301,2.4638362700075707,0.006655672040488271,-0.002143464105330617,0.009324941335382197,-0.00536623093889943,9.0,10,0.48649137126623765,0.2826015488071065
development,5m,1h,NEUTRAL,1789,0.24482951369480158,0.9773893273480955,-2.864178375273852e-05,-0.0008934355994899557,0.0014192020557435292,-0.0013855478013991007,6.0,24,0.5418034261469167,0.1857656868963686
development,5m,1h,STRONG_BEAR,304,0.2532894736842105,0.9898324192729743,-1.2266463778655276e-05,-0.0009617012052680618,0.0014963115245838488,-0.001433553436115509,6.0,20,0.5646461625436289,0.15870589593363196
development,5m,1h,STRONG_BULL,919,0.24374319912948858,0.946307503102589,-8.679543714958233e-05,-0.001142586629106379,0.0018308099154340507,-0.0016944613261091757,6.0,18,0.5218663778475888,0.19591189968403644
external,1h,4h,NEUTRAL,101,0.33663366336633666,1.5926713206022807,0.004444494111794777,-0.004971257358589387,0.011404537068182563,-0.008803549612684147,10.0,9,0.6037527985766892,0.20002711837220097
external,1h,4h,STRONG_BULL,64,0.21875,1.0072219703050829,7.05437320944885e-05,-0.0066751368951696866,0.009089271197498916,-0.011923497208240208,7.5,13,0.5637864616701038,0.21860720059682215
external,5m,1h,NEUTRAL,1180,0.2627118644067797,0.9439271681539848,-0.00010792481632159611,-0.0012766869561300354,0.0023666409060075777,-0.00215411878015237,7.0,17,0.546963143985479,0.19069248684227094
external,5m,1h,STRONG_BEAR,213,0.2535211267605634,0.6561112359437871,-0.0006580769513538279,-0.0011264127647450106,0.002738188691864485,-0.002060798906601935,7.0,14,0.5709291882501468,0.1657352935853376
external,5m,1h,STRONG_BULL,739,0.2598105548037889,1.1302400489179045,0.0002531855195428515,-0.0014279088510580351,0.002869525859987343,-0.0022208245460613174,7.0,15,0.5315225669412783,0.21664825960192755
reference_validation,1h,4h,NEUTRAL,68,0.2647058823529412,0.9358078360614634,-0.00027368230703896183,-0.002774257123730417,0.0057377906077107355,-0.005362850376154915,7.0,8,0.5863340015575462,0.16210561707636997
reference_validation,1h,4h,STRONG_BULL,45,0.26666666666666666,1.1456368897252767,0.0007873260817167438,-0.00445524003820974,0.008895658350480673,-0.006650932398548748,8.0,8,0.6156841703886141,0.21022794605714792
reference_validation,5m,1h,NEUTRAL,797,0.2986198243412798,1.1647912064564006,0.000183608848829213,-0.0007066708797118793,0.0015496545138535822,-0.0011546493673145752,8.0,15,0.5741589546231575,0.18318347753134598
reference_validation,5m,1h,STRONG_BEAR,178,0.25280898876404495,0.7793923921809329,-0.00026680617187340333,-0.0007658631283874451,0.001389200040100791,-0.00135116719044176,6.0,11,0.5353643302881345,0.16770449239132226
reference_validation,5m,1h,STRONG_BULL,454,0.2973568281938326,0.9844744133818908,-1.7953285587424798e-05,-0.0008254988665452601,0.0019633119794442155,-0.0013789001057297745,8.0,19,0.5559376842035016,0.20845596178218312
