partition,entry_tf,higher_tf,higher_state_at_entry,signal_ts,entry_ts,exit_ts,entry_px,exit_px,return,mfe,mae,bars_held,strong_bars,healthy_bars,strong_frac,healthy_frac,exit_reason
external,5m,1h,STRONG_BEAR,2020-01-09 13:45:00+00:00,2020-01-09 13:50:00+00:00,2020-01-09 13:55:00+00:00,7921.0,7902.9,-0.0022850650170433973,0.000504986744098046,-0.00239868703446533,1,0,0,0.0,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-01-10 11:50:00+00:00,2020-01-10 11:55:00+00:00,2020-01-10 14:00:00+00:00,7826.89,7868.0,0.005252405489281076,0.014821979100255511,-0.002372589879249709,25,18,6,0.72,0.24,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-02-04 16:50:00+00:00,2020-02-04 16:55:00+00:00,2020-02-04 17:10:00+00:00,9222.01,9212.12,-0.001072434317464399,0.000956407551065297,-0.0019561895942425966,3,1,1,0.3333333333333333,0.3333333333333333,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-02-10 21:05:00+00:00,2020-02-10 21:10:00+00:00,2020-02-10 21:15:00+00:00,9862.26,9858.19,-0.0004126843137374214,2.839105843910339e-05,-0.000739181485785334,1,0,0,0.0,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-02-10 21:30:00+00:00,2020-02-10 21:35:00+00:00,2020-02-10 22:10:00+00:00,9874.14,9863.69,-0.0010583200157177064,0.0009985679765529554,-0.0024143874808337795,7,4,2,0.5714285714285714,0.2857142857142857,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-02-11 09:20:00+00:00,2020-02-11 09:25:00+00:00,2020-02-11 10:10:00+00:00,9798.03,9781.69,-0.0016676821769273653,0.0017319808165519035,-0.00204837094803767,9,4,4,0.4444444444444444,0.4444444444444444,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-02-16 02:20:00+00:00,2020-02-16 02:25:00+00:00,2020-02-16 04:00:00+00:00,9961.9,10010.91,0.004919744225499123,0.009892691153294164,-0.0011945512402252723,19,14,4,0.7368421052631579,0.21052631578947367,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-02-20 07:40:00+00:00,2020-02-20 07:45:00+00:00,2020-02-20 08:05:00+00:00,9603.48,9598.01,-0.0005695851920345385,0.0017691503496648497,-0.0011860283980389408,4,3,0,0.75,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-02-24 23:40:00+00:00,2020-02-24 23:45:00+00:00,2020-02-25 00:10:00+00:00,9656.88,9635.19,-0.002246067052712575,0.002394148006395591,-0.0028021472773814837,5,4,0,0.8,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-02-27 04:30:00+00:00,2020-02-27 04:35:00+00:00,2020-02-27 04:40:00+00:00,8734.57,8684.35,-0.005749567523071986,0.0006949397623465803,-0.006707828776917446,1,0,0,0.0,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-02-28 15:25:00+00:00,2020-02-28 15:30:00+00:00,2020-02-28 16:40:00+00:00,8676.56,8673.26,-0.00038033506366574876,0.007534091852070546,-0.0009508376591644829,14,10,3,0.7142857142857143,0.21428571428571427,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-02-28 21:05:00+00:00,2020-02-28 21:10:00+00:00,2020-02-28 23:50:00+00:00,8668.0,8736.92,0.00795108444854642,0.016272496538993986,-0.003262574988463385,32,23,8,0.71875,0.25,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-03-01 11:35:00+00:00,2020-03-01 11:40:00+00:00,2020-03-01 12:45:00+00:00,8582.22,8620.03,0.004405619991098009,0.02097592464420628,-0.00025983952870001215,13,10,2,0.7692307692307693,0.15384615384615385,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-03-13 03:50:00+00:00,2020-03-13 03:55:00+00:00,2020-03-13 04:30:00+00:00,5038.8,4934.95,-0.020610065888703732,0.03141621020877983,-0.03623878701278094,7,4,2,0.5714285714285714,0.2857142857142857,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-03-13 07:10:00+00:00,2020-03-13 07:15:00+00:00,2020-03-13 08:35:00+00:00,5105.64,5190.5,0.016620834998158918,0.10592991280231256,-0.00698051566502933,16,15,0,0.9375,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-04-10 18:20:00+00:00,2020-04-10 18:25:00+00:00,2020-04-10 19:45:00+00:00,6873.88,6891.66,0.002586603199357551,0.010631550157989444,-0.0003520573533434268,16,14,1,0.875,0.0625,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-04-16 04:20:00+00:00,2020-04-16 04:25:00+00:00,2020-04-16 04:30:00+00:00,6642.9,6628.01,-0.0022414909151122764,3.0107332640971762e-05,-0.002694606271357314,1,0,0,0.0,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-04-16 05:30:00+00:00,2020-04-16 05:35:00+00:00,2020-04-16 05:50:00+00:00,6643.23,6622.0,-0.003195734605003775,0.00026643665807157824,-0.003304115618456671,3,1,1,0.3333333333333333,0.3333333333333333,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-04-20 16:00:00+00:00,2020-04-20 16:05:00+00:00,2020-04-20 16:15:00+00:00,7072.96,7058.53,-0.0020401642310998724,0.0009953399990951795,-0.0024869361625119435,2,1,0,0.5,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-04-21 06:25:00+00:00,2020-04-21 06:30:00+00:00,2020-04-21 07:00:00+00:00,6875.71,6871.93,-0.0005497614064583489,0.0020783308196534733,-0.0007402871848870562,6,4,1,0.6666666666666666,0.16666666666666666,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-05-04 12:15:00+00:00,2020-05-04 12:20:00+00:00,2020-05-04 15:00:00+00:00,8688.01,8785.16,0.011182077368695476,0.019911349089146935,-0.00027509176439710625,32,25,6,0.78125,0.1875,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-05-16 21:30:00+00:00,2020-05-16 21:35:00+00:00,2020-05-16 22:05:00+00:00,9360.02,9358.47,-0.00016559793675663403,0.002912386939344147,-0.00042948626178151983,6,4,1,0.6666666666666666,0.16666666666666666,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-05-16 22:35:00+00:00,2020-05-16 22:40:00+00:00,2020-05-16 23:40:00+00:00,9406.6,9392.0,-0.001552101715816545,0.0034443901090723816,-0.002118725150426326,12,8,3,0.6666666666666666,0.25,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-05-20 21:20:00+00:00,2020-05-20 21:25:00+00:00,2020-05-20 21:40:00+00:00,9557.8,9554.92,-0.00030132457260034773,0.001171817782334994,-0.0006225281968652574,3,2,0,0.6666666666666666,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-05-22 01:55:00+00:00,2020-05-22 02:00:00+00:00,2020-05-22 02:20:00+00:00,9084.54,9075.65,-0.0009785855970694257,0.004134496628337647,-0.0021079768485803285,4,3,0,0.75,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-05-24 21:10:00+00:00,2020-05-24 21:15:00+00:00,2020-05-24 22:10:00+00:00,9013.97,9031.0,0.0018892896248823288,0.008434685271861309,-0.0008841831068884254,11,9,1,0.8181818181818182,0.09090909090909091,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-05-24 22:35:00+00:00,2020-05-24 22:40:00+00:00,2020-05-24 22:50:00+00:00,9051.68,9030.0,-0.00239513548866066,0.00015024835168730988,-0.002756394393085171,2,0,1,0.0,0.5,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-05-25 08:20:00+00:00,2020-05-25 08:25:00+00:00,2020-05-25 09:00:00+00:00,8838.87,8816.6,-0.0025195528387679245,0.0007399135862389272,-0.0026892577897401626,7,2,4,0.2857142857142857,0.5714285714285714,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-06-03 06:40:00+00:00,2020-06-03 06:45:00+00:00,2020-06-03 06:55:00+00:00,9518.69,9504.74,-0.0014655377998443742,0.00013762397977035157,-0.001608414603270103,2,1,0,0.5,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-06-03 06:55:00+00:00,2020-06-03 07:00:00+00:00,2020-06-03 07:05:00+00:00,9513.08,9502.88,-0.001072207949475934,0.0010301605789080348,-0.0030568438402704956,1,0,0,0.0,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-06-03 08:05:00+00:00,2020-06-03 08:10:00+00:00,2020-06-03 08:50:00+00:00,9522.99,9512.0,-0.0011540493059427614,0.000421086234470458,-0.0015719852693323322,8,6,1,0.75,0.125,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-06-03 09:15:00+00:00,2020-06-03 09:20:00+00:00,2020-06-03 12:30:00+00:00,9521.7,9586.55,0.006810758583025933,0.012844345022422488,-0.0011237489103836928,38,27,10,0.7105263157894737,0.2631578947368421,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-06-07 19:20:00+00:00,2020-06-07 19:25:00+00:00,2020-06-07 23:20:00+00:00,9532.78,9733.42,0.021047375477038166,0.030458061551824178,-3.986245355513951e-05,47,18,28,0.3829787234042553,0.5957446808510638,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
