partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,case_status,k1_signal_ts,leave_ts,blind_filled,h2_after_fill,same_bar_confirmed,entry_executed,fixed_net_pnl_usd,fixed_exit_reason,fixed_e20_reached,window_status,H,L,range,F15,F65,E20_DOWN,blind_touch_bar_start,confirmation_bar_start,entry_start,entry_px,entry_fraction,fixed_exit_px,fixed_hold_minutes,fixed_h2_seen,fixed_breakdown_accepted
external,2020-01-01,1170,2020-01-01 19:30:00+00:00,2020-01-02 01:00:00+00:00,2020-01-02 01:00:00+00:00,2020-01-02 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-01,1180,2020-01-01 19:40:00+00:00,2020-01-02 01:10:00+00:00,2020-01-02 01:10:00+00:00,2020-01-02 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-01,1190,2020-01-01 19:50:00+00:00,2020-01-02 01:20:00+00:00,2020-01-02 01:20:00+00:00,2020-01-02 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-01,1200,2020-01-01 20:00:00+00:00,2020-01-02 01:30:00+00:00,2020-01-02 01:30:00+00:00,2020-01-02 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-01,1210,2020-01-01 20:10:00+00:00,2020-01-02 01:40:00+00:00,2020-01-02 01:40:00+00:00,2020-01-02 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-01,1220,2020-01-01 20:20:00+00:00,2020-01-02 01:50:00+00:00,2020-01-02 01:50:00+00:00,2020-01-02 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-01,1230,2020-01-01 20:30:00+00:00,2020-01-02 02:00:00+00:00,2020-01-02 02:00:00+00:00,2020-01-02 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-02,1170,2020-01-02 19:30:00+00:00,2020-01-03 01:00:00+00:00,2020-01-03 01:00:00+00:00,2020-01-03 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-02,1180,2020-01-02 19:40:00+00:00,2020-01-03 01:10:00+00:00,2020-01-03 01:10:00+00:00,2020-01-03 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-02,1190,2020-01-02 19:50:00+00:00,2020-01-03 01:20:00+00:00,2020-01-03 01:20:00+00:00,2020-01-03 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-02,1200,2020-01-02 20:00:00+00:00,2020-01-03 01:30:00+00:00,2020-01-03 01:30:00+00:00,2020-01-03 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-02,1210,2020-01-02 20:10:00+00:00,2020-01-03 01:40:00+00:00,2020-01-03 01:40:00+00:00,2020-01-03 08:10:00+00:00,NO_CONFIRMATION_PRE_H2,2020-01-03 02:00:00+00:00,2020-01-03 02:10:00+00:00,True,False,False,False,,NO_TRADE,False,OPPOSITE_BREAK_BEFORE_H2,6982.83,6880.0,102.82999999999993,6895.4245,6946.8395,6859.434,2020-01-03 02:10:00+00:00,,,,,,,False,False
external,2020-01-02,1220,2020-01-02 20:20:00+00:00,2020-01-03 01:50:00+00:00,2020-01-03 01:50:00+00:00,2020-01-03 08:20:00+00:00,NO_CONFIRMATION_PRE_H2,2020-01-03 02:00:00+00:00,2020-01-03 02:10:00+00:00,True,False,False,False,,NO_TRADE,False,OPPOSITE_BREAK_BEFORE_H2,6982.83,6880.0,102.82999999999993,6895.4245,6946.8395,6859.434,2020-01-03 02:10:00+00:00,,,,,,,False,False
external,2020-01-02,1230,2020-01-02 20:30:00+00:00,2020-01-03 02:00:00+00:00,2020-01-03 02:00:00+00:00,2020-01-03 08:30:00+00:00,NO_CONFIRMATION_PRE_H2,2020-01-03 02:05:00+00:00,2020-01-03 02:10:00+00:00,True,False,False,False,,NO_TRADE,False,OPPOSITE_BREAK_BEFORE_H2,6982.83,6872.78,110.05000000000018,6889.287499999999,6944.3125,6850.7699999999995,2020-01-03 02:10:00+00:00,,,,,,,False,False
external,2020-01-05,1170,2020-01-05 19:30:00+00:00,2020-01-06 01:00:00+00:00,2020-01-06 01:00:00+00:00,2020-01-06 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-05,1180,2020-01-05 19:40:00+00:00,2020-01-06 01:10:00+00:00,2020-01-06 01:10:00+00:00,2020-01-06 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-05,1190,2020-01-05 19:50:00+00:00,2020-01-06 01:20:00+00:00,2020-01-06 01:20:00+00:00,2020-01-06 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-05,1200,2020-01-05 20:00:00+00:00,2020-01-06 01:30:00+00:00,2020-01-06 01:30:00+00:00,2020-01-06 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-05,1210,2020-01-05 20:10:00+00:00,2020-01-06 01:40:00+00:00,2020-01-06 01:40:00+00:00,2020-01-06 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-05,1220,2020-01-05 20:20:00+00:00,2020-01-06 01:50:00+00:00,2020-01-06 01:50:00+00:00,2020-01-06 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-05,1230,2020-01-05 20:30:00+00:00,2020-01-06 02:00:00+00:00,2020-01-06 02:00:00+00:00,2020-01-06 08:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-06,1170,2020-01-06 19:30:00+00:00,2020-01-07 01:00:00+00:00,2020-01-07 01:00:00+00:00,2020-01-07 07:30:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-06,1180,2020-01-06 19:40:00+00:00,2020-01-07 01:10:00+00:00,2020-01-07 01:10:00+00:00,2020-01-07 07:40:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-06,1190,2020-01-06 19:50:00+00:00,2020-01-07 01:20:00+00:00,2020-01-07 01:20:00+00:00,2020-01-07 07:50:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-06,1200,2020-01-06 20:00:00+00:00,2020-01-07 01:30:00+00:00,2020-01-07 01:30:00+00:00,2020-01-07 08:00:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-06,1210,2020-01-06 20:10:00+00:00,2020-01-07 01:40:00+00:00,2020-01-07 01:40:00+00:00,2020-01-07 08:10:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
external,2020-01-06,1220,2020-01-06 20:20:00+00:00,2020-01-07 01:50:00+00:00,2020-01-07 01:50:00+00:00,2020-01-07 08:20:00+00:00,NO_K1_OPP0,,,False,False,False,False,,NO_K1_OPP0,False,,,,,,,,,,,,,,,,
