layer,field,actual,expected,pass
SHORT20_B27DS,n,56.0,56.0,True
SHORT20_B27DS,wins,43.0,43.0,True
SHORT20_B27DS,wr,0.7678571428571429,0.7678571428571429,True
SHORT20_B27DS,pf,2.8112565195612578,2.81,True
SHORT20_B27DS,net,77.72632233072011,77.73,True
LONG_B27DQ,accepted,227.0,227.0,True
LONG_B27DQ,wr,0.7224669603524229,0.722,True
LONG_B27DQ,pf,2.2537382795519254,2.25,True
LONG_B27DQ,total_net,289.75971313529084,289.76,True
LONG_B27DQ,max_loss_streak,3.0,3.0,True
PORTFOLIO20_B27DT,n,283.0,283.0,True
PORTFOLIO20_B27DT,net,367.48603546601095,367.49,True
PORTFOLIO6_B27DT,n,548.0,548.0,True
PORTFOLIO6_B27DT,net,478.8550546186328,478.86,True
