zone,filter,partition,raw_n,filtered_n,accepted_n,blocked_open,filter_retention,accepted_retention,zone_wins,zone_wr,zone_pf,zone_expectancy,zone_total_net,portfolio_candidates,portfolio_accepted,portfolio_skipped_open,portfolio_wr,portfolio_pf,portfolio_expectancy,portfolio_total_net
RAW_0530,BASE,external,21,21,17,4,1.0,0.8095238095238095,13,0.7647058823529411,3.0223654605522166,1.5515421796860036,26.37621705466206,68,63,5,0.7777777777777778,2.854748565554394,1.890301727050957,119.0890088042103
RAW_0530,BASE,development,46,46,40,6,1.0,0.8695652173913043,27,0.675,1.4482677968797921,0.5000920636943451,20.003682547773806,106,99,7,0.6868686868686869,1.4065294551642367,0.5205774770974585,51.53717023264839
RAW_0530,BASE,reference_validation,14,14,13,1,1.0,0.9285714285714286,11,0.8461538461538461,1.9431023323569263,0.8116816783805642,10.551861818947334,37,36,1,0.8611111111111112,2.4516416659540092,0.883311774773304,31.799223891838945
RAW_0530,BASE,august,1,1,0,1,1.0,0.0,0,,,,0.0,2,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_0530,TOUCH_FIRST_HALF,external,21,18,17,1,0.8571428571428571,0.8095238095238095,13,0.7647058823529411,3.0223654605522166,1.5515421796860036,26.37621705466206,65,63,2,0.7777777777777778,2.854748565554394,1.890301727050957,119.0890088042103
RAW_0530,TOUCH_FIRST_HALF,development,46,41,37,4,0.8913043478260869,0.8043478260869565,25,0.6756756756756757,1.4134097783669737,0.4868724181523816,18.01427947163812,101,96,5,0.6875,1.3940995339475015,0.516122574547007,49.54776715651268
RAW_0530,TOUCH_FIRST_HALF,reference_validation,14,11,11,0,0.7857142857142857,0.7857142857142857,9,0.8181818181818182,1.7332457366704708,0.7458081721093528,8.20388989320288,34,34,0,0.8529411764705882,2.344456223645914,0.8662132931204264,29.451251966094496
RAW_0530,TOUCH_FIRST_HALF,august,1,0,0,0,0.0,0.0,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_0530,TOUCH_SECOND_HALF,external,21,3,0,3,0.14285714285714285,0.0,0,,,,0.0,50,47,3,0.7659574468085106,2.7450548487530337,1.9460548425137687,91.46457759814713
RAW_0530,TOUCH_SECOND_HALF,development,46,5,3,2,0.10869565217391304,0.06521739130434782,2,0.6666666666666666,2.8955230173355697,0.6631343587118963,1.989403076135689,65,63,2,0.6984126984126984,1.423929375081179,0.5598468214704196,35.270349752636434
RAW_0530,TOUCH_SECOND_HALF,reference_validation,14,3,2,1,0.21428571428571427,0.14285714285714285,2,1.0,inf,1.1739859628722265,2.347971925744453,26,25,1,0.88,3.2016243329337817,0.9438133599454427,23.595333998636068
RAW_0530,TOUCH_SECOND_HALF,august,1,1,0,1,1.0,0.0,0,,,,0.0,2,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_0530,K1_FIRST_HALF,external,21,18,17,1,0.8571428571428571,0.8095238095238095,13,0.7647058823529411,3.0223654605522166,1.5515421796860036,26.37621705466206,65,63,2,0.7777777777777778,2.854748565554394,1.890301727050957,119.0890088042103
RAW_0530,K1_FIRST_HALF,development,46,42,38,4,0.9130434782608695,0.8260869565217391,25,0.6578947368421053,1.3801676056873737,0.44644084770960957,16.964752212965163,102,97,5,0.6804123711340206,1.382558121703068,0.49998185461690453,48.49823989783974
RAW_0530,K1_FIRST_HALF,reference_validation,14,12,12,0,0.8571428571428571,0.8571428571428571,10,0.8333333333333334,1.816608532481128,0.7613825933201364,9.136591119841636,35,35,0,0.8571428571428571,2.387034242753566,0.868112948363807,30.383953192733248
RAW_0530,K1_FIRST_HALF,august,1,0,0,0,0.0,0.0,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_0530,K1_SECOND_HALF,external,21,3,0,3,0.14285714285714285,0.0,0,,,,0.0,50,47,3,0.7659574468085106,2.7450548487530337,1.9460548425137687,91.46457759814713
RAW_0530,K1_SECOND_HALF,development,46,4,2,2,0.08695652173913043,0.043478260869565216,2,1.0,inf,1.5194651674043218,3.0389303348086436,64,62,2,0.7096774193548387,1.442121325614056,0.585804467924345,36.319877011309394
RAW_0530,K1_SECOND_HALF,reference_validation,14,2,1,1,0.14285714285714285,0.07142857142857142,1,1.0,inf,1.4152706991056978,1.4152706991056978,25,24,1,0.875,3.114596206269257,0.944276365499888,22.662632771997313
RAW_0530,K1_SECOND_HALF,august,1,1,0,1,1.0,0.0,0,,,,0.0,2,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_0530,RR_GE_050,external,21,18,16,2,0.8571428571428571,0.7619047619047619,13,0.8125,3.816070014650413,1.8180548327241297,29.088877323586075,65,62,3,0.7903225806451613,2.98067696428633,1.9645430495666827,121.80166907313432
RAW_0530,RR_GE_050,development,46,33,27,6,0.717391304347826,0.5869565217391305,18,0.6666666666666666,1.4345505184603216,0.4496428512846172,12.140356984684663,93,86,7,0.686046511627907,1.3967217124086004,0.5078354031344098,43.67384466955924
RAW_0530,RR_GE_050,reference_validation,14,13,13,0,0.9285714285714286,0.9285714285714286,11,0.8461538461538461,1.9431023323569263,0.8116816783805642,10.551861818947334,36,36,0,0.8611111111111112,2.4516416659540092,0.883311774773304,31.799223891838945
RAW_0530,RR_GE_050,august,1,1,0,1,1.0,0.0,0,,,,0.0,2,1,1,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_0530,TOUCH_FIRST_HALF__RR_GE_050,external,21,16,16,0,0.7619047619047619,0.7619047619047619,13,0.8125,3.816070014650413,1.8180548327241297,29.088877323586075,63,62,1,0.7903225806451613,2.98067696428633,1.9645430495666827,121.80166907313432
RAW_0530,TOUCH_FIRST_HALF__RR_GE_050,development,46,30,26,4,0.6521739130434783,0.5652173913043478,18,0.6923076923076923,1.4905453217962357,0.5073032401291391,13.189884243357616,90,85,5,0.6941176470588235,1.4101657097335665,0.5261573168027317,44.72337192823219
RAW_0530,TOUCH_FIRST_HALF__RR_GE_050,reference_validation,14,11,11,0,0.7857142857142857,0.7857142857142857,9,0.8181818181818182,1.7332457366704708,0.7458081721093528,8.20388989320288,34,34,0,0.8529411764705882,2.344456223645914,0.8662132931204264,29.451251966094496
RAW_0530,TOUCH_FIRST_HALF__RR_GE_050,august,1,0,0,0,0.0,0.0,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_0530,TOUCH_SECOND_HALF__RR_GE_050,external,21,2,0,2,0.09523809523809523,0.0,0,,,,0.0,49,47,2,0.7659574468085106,2.7450548487530337,1.9460548425137687,91.46457759814713
