variant,partition,candidates,accepted,blocked,n,wins,wr,pf,expectancy,total_net,max_loss_streak
FIXED_E20,external,81,74,7,74,57,0.7702702702702703,2.9068314349158606,1.8880655575793936,139.71685126087513,3
FIXED_E20,development,113,107,6,107,77,0.719626168224299,1.5216762442960847,0.5964988374421408,63.825375606309066,3
FIXED_E20,reference_validation,48,47,1,47,38,0.8085106382978723,2.2594751563624853,0.8361715572594063,39.300063191192095,2
FIXED_E20,august,2,1,1,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0
FIXED_E20,POOLED_MAJOR,242,228,14,228,172,0.7543859649122807,2.0706294548578668,1.0650977634139314,242.84229005837636,3
LIVE_EXEC_NPLUS2_E10_HYBRID,external,81,74,7,74,55,0.7432432432432432,2.7708602595465393,1.8117678172384326,134.07081847564402,3
LIVE_EXEC_NPLUS2_E10_HYBRID,development,113,106,7,106,71,0.6698113207547169,1.7525980125868028,0.8818434810971653,93.47540899629952,3
LIVE_EXEC_NPLUS2_E10_HYBRID,reference_validation,48,47,1,47,38,0.8085106382978723,2.993796783544633,1.3236911843265389,62.21348566334733,2
LIVE_EXEC_NPLUS2_E10_HYBRID,august,2,1,1,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0
LIVE_EXEC_NPLUS2_E10_HYBRID,POOLED_MAJOR,242,227,15,227,164,0.7224669603524229,2.2537382795519254,1.2764745072039243,289.75971313529084,3
