event_type,decision_bar_start,effective_bar_start,old_floor,new_floor,zone,partition,entry_bar_start,execution_end,active_open,active_low,classification,old_floor_protects_open
ARM,2020-02-12 14:00:00+00:00,2020-02-12 14:05:00+00:00,,10410.948,LONDON,external,2020-02-12 13:50:00+00:00,2020-02-12 20:00:00+00:00,10429.42,10396.78,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2020-03-18 13:50:00+00:00,2020-03-18 13:55:00+00:00,,5329.109,LONDON,external,2020-03-18 13:50:00+00:00,2020-03-18 20:00:00+00:00,5366.69,5315.0,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2020-04-22 14:30:00+00:00,2020-04-22 14:35:00+00:00,,7091.0,LONDON,external,2020-04-22 14:00:00+00:00,2020-04-22 20:00:00+00:00,7082.46,7082.46,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2020-05-13 15:35:00+00:00,2020-05-13 15:40:00+00:00,,9143.7,LONDON,external,2020-05-13 14:40:00+00:00,2020-05-13 20:00:00+00:00,9135.68,9130.0,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2020-06-04 15:55:00+00:00,2020-06-04 16:00:00+00:00,,9810.7,LONDON,external,2020-06-04 14:25:00+00:00,2020-06-04 20:00:00+00:00,9828.11,9750.63,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2020-06-10 18:00:00+00:00,2020-06-10 18:05:00+00:00,,9780.8,LONDON,external,2020-06-10 16:10:00+00:00,2020-06-10 20:00:00+00:00,9765.64,9765.64,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2020-07-22 17:40:00+00:00,2020-07-22 17:45:00+00:00,,9361.244,LONDON,external,2020-07-22 15:40:00+00:00,2020-07-22 20:00:00+00:00,9368.0,9356.43,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2020-07-24 16:50:00+00:00,2020-07-24 16:55:00+00:00,,9572.5,LONDON,external,2020-07-24 16:00:00+00:00,2020-07-24 20:00:00+00:00,9578.12,9574.57,NO_IMMEDIATE_CROSS,False
ARM,2020-10-15 16:20:00+00:00,2020-10-15 16:25:00+00:00,,11432.532000000001,LONDON,external,2020-10-15 14:15:00+00:00,2020-10-15 20:00:00+00:00,11458.79,11436.43,NO_IMMEDIATE_CROSS,False
ARM,2020-10-19 15:40:00+00:00,2020-10-19 15:45:00+00:00,,11725.738,LONDON,external,2020-10-19 15:35:00+00:00,2020-10-19 20:00:00+00:00,11734.02,11733.08,NO_IMMEDIATE_CROSS,False
