variant,partition,zone,accepted,n,wins,wr,pf,expectancy,total_net,armed,floor_exits,armed_time_exits
FIXED_E20,external,ALT_0330,20,20,16,0.8,3.556227003818883,2.7616988500863338,55.23397700172667,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,external,ALT_0330,20,20,15,0.75,2.7756338814392945,2.0253178320628846,40.50635664125769,16.0,16.0,0.0
FIXED_E20,external,RAW_0530,14,14,11,0.7857142857142857,3.234945981473182,1.6490070290890242,23.08609840724634,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,external,RAW_0530,14,14,11,0.7857142857142857,3.5536783500662246,1.884176881320384,26.378476338485378,10.0,10.0,0.0
FIXED_E20,external,LONDON,26,26,20,0.7692307692307693,2.2679860117573436,1.4414928749162144,37.47881474782157,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,external,LONDON,26,26,18,0.6923076923076923,1.6625053670273682,0.768325247303543,19.976456429892117,18.0,18.0,0.0
FIXED_E20,external,RAW_2330,14,14,10,0.7142857142857143,3.0309444683241167,1.7084257931486113,23.917961104080558,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,external,RAW_2330,14,14,9,0.6428571428571429,3.30894757796292,2.1574344203229003,30.204081884520605,8.0,7.0,1.0
FIXED_E20,development,ALT_0330,29,29,21,0.7241379310344828,1.7969649354236865,0.7713507477947398,22.369171686047455,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,development,ALT_0330,29,29,18,0.6206896551724138,1.169963175110896,0.18180703823572425,5.272404108836003,21.0,20.0,1.0
FIXED_E20,development,RAW_0530,31,31,23,0.7419354838709677,1.595922958708553,0.5991292837068394,18.57300779491202,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,development,RAW_0530,30,30,19,0.6333333333333333,1.5163917940730283,0.54359998155026,16.3079994465078,22.0,22.0,0.0
FIXED_E20,development,LONDON,30,30,20,0.6666666666666666,1.169454844550486,0.305477199960904,9.16431599882712,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,development,LONDON,30,30,19,0.6333333333333333,1.8060290015268685,1.4593481977263238,43.780445931789714,20.0,19.0,1.0
FIXED_E20,development,RAW_2330,17,17,13,0.7647058823529411,2.519120413116884,0.8069929486189691,13.718880126522475,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,development,RAW_2330,17,17,13,0.7647058823529411,3.240041731109721,1.1899635249511231,20.229379924169095,10.0,10.0,0.0
FIXED_E20,reference_validation,ALT_0330,12,12,10,0.8333333333333334,1.6385878171119057,0.403316445202674,4.839797342432088,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,reference_validation,ALT_0330,12,12,10,0.8333333333333334,2.0352599630510833,0.6538448698360394,7.846138438032472,10.0,10.0,0.0
FIXED_E20,reference_validation,RAW_0530,10,10,8,0.8,1.5026157395963813,0.5623495616848776,5.623495616848776,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,reference_validation,RAW_0530,10,10,8,0.8,2.4643845464576604,1.6384206521265543,16.384206521265543,8.0,8.0,0.0
FIXED_E20,reference_validation,LONDON,11,11,10,0.9090909090909091,6.228115566751987,1.4915967936781387,16.407564730459526,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,reference_validation,LONDON,11,11,10,0.9090909090909091,4.957067135974859,1.128962926895689,12.418592195852579,10.0,9.0,1.0
FIXED_E20,reference_validation,RAW_2330,14,14,10,0.7142857142857143,2.3367862058214075,0.8878003929608361,12.429205501451706,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,reference_validation,RAW_2330,14,14,10,0.7142857142857143,4.416449774785679,2.268968245914791,31.76555544280707,8.0,8.0,0.0
FIXED_E20,august,ALT_0330,0,0,0,,,,0.0,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,august,ALT_0330,0,0,0,,,,0.0,0.0,0.0,0.0
FIXED_E20,august,RAW_0530,0,0,0,,,,0.0,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,august,RAW_0530,0,0,0,,,,0.0,0.0,0.0,0.0
FIXED_E20,august,LONDON,1,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,august,LONDON,1,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,0.0,0.0,0.0
FIXED_E20,august,RAW_2330,0,0,0,,,,0.0,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,august,RAW_2330,0,0,0,,,,0.0,0.0,0.0,0.0
FIXED_E20,POOLED_MAJOR,ALT_0330,61,61,47,0.7704918032786885,2.4399389229148265,1.3515237054132163,82.4429460302062,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,POOLED_MAJOR,ALT_0330,61,61,43,0.7049180327868853,1.8731975585632732,0.8790967080020682,53.62489918812616,47.0,46.0,1.0
FIXED_E20,POOLED_MAJOR,RAW_0530,55,55,42,0.7636363636363637,1.8974610230252045,0.8596836694364934,47.28260181900714,,,
E20_TOUCH_E10_BREATHING_STEP10_RUNNER,POOLED_MAJOR,RAW_0530,54,54,38,0.7037037037037037,2.1124688267534713,1.0939015241899765,59.07068230625874,40.0,40.0,0.0
