partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,H,L,range,F85,F35,E20,k1_signal_bar_start,k1_signal_ts,leave_bar_start,leave_ts,h2_bar_start,opposite_break_bar_start,touch_bar_start,same_bar_confirmed,entry_executed,entry_bar_start,entry_px,entry_fraction,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,tp_hit,time_exit,case_status,entry_b,zone,touch_elapsed_min,primary_eligible,expanded_eligible,k1_elapsed_min,h_formation_ts,l_formation_ts,range_completion_ts,range_completion_elapsed_min,range_completion_age_min,range_completed_second_half,tie_order,accepted,decision,blocked_by_zone,portfolio,evaluation_stage
development,2022-01-05,210,2022-01-05 03:30:00+00:00,2022-01-05 09:00:00+00:00,2022-01-05 09:00:00+00:00,2022-01-05 15:30:00+00:00,46677.0,46243.1,433.9000000000015,46611.915,46394.965,46763.78,2022-01-05 09:00:00+00:00,2022-01-05 09:05:00+00:00,2022-01-05 09:05:00+00:00,2022-01-05 09:10:00+00:00,2022-01-05 09:15:00+00:00,,2022-01-05 09:10:00+00:00,True,True,2022-01-05 09:15:00+00:00,46625.97,0.882392256280252,0.5965671738706734,2022-01-05 09:20:00+00:00,2022-01-05 09:20:00+00:00,46763.78,TP_E20,0.002955648965587,1.077824482793544,True,False,TRADE_EXECUTED,True,ALT_0330,10.0,True,True,5.0,2022-01-05 08:50:00+00:00,2022-01-05 05:35:00+00:00,2022-01-05 08:50:00+00:00,320.0,10.0,True,1,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-01-26,330,2022-01-26 05:30:00+00:00,2022-01-26 11:00:00+00:00,2022-01-26 11:00:00+00:00,2022-01-26 17:30:00+00:00,38200.0,37125.0,1075.0,38038.75,37501.25,38415.0,2022-01-26 11:00:00+00:00,2022-01-26 11:05:00+00:00,2022-01-26 11:05:00+00:00,2022-01-26 11:10:00+00:00,2022-01-26 13:50:00+00:00,,2022-01-26 11:55:00+00:00,True,True,2022-01-26 12:00:00+00:00,38045.92,0.8566697674418589,0.6776213119870801,2022-01-26 14:00:00+00:00,2022-01-26 14:00:00+00:00,38415.0,TP_E20,0.009700908796528,4.4504543982640365,True,False,TRADE_EXECUTED,True,RAW_0530,55.0,False,True,5.0,2022-01-26 10:55:00+00:00,2022-01-26 07:25:00+00:00,2022-01-26 10:55:00+00:00,325.0,5.0,True,2,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-01-28,480,2022-01-28 08:00:00+00:00,2022-01-28 13:30:00+00:00,2022-01-28 13:30:00+00:00,2022-01-28 20:00:00+00:00,36884.88,36149.02,735.8600000000006,36774.501,36406.571,37032.052,2022-01-28 13:35:00+00:00,2022-01-28 13:40:00+00:00,2022-01-28 13:45:00+00:00,2022-01-28 13:50:00+00:00,2022-01-28 13:55:00+00:00,,2022-01-28 13:50:00+00:00,True,True,2022-01-28 13:55:00+00:00,36791.75,0.8734406001141558,0.6238709794666732,2022-01-28 14:05:00+00:00,2022-01-28 14:05:00+00:00,37032.052,TP_E20,0.0065314098948812,2.8657049474406064,True,False,TRADE_EXECUTED,True,LONDON,20.0,True,True,10.0,2022-01-28 08:00:00+00:00,2022-01-28 12:40:00+00:00,2022-01-28 12:40:00+00:00,280.0,50.0,True,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-01-31,330,2022-01-31 05:30:00+00:00,2022-01-31 11:00:00+00:00,2022-01-31 11:00:00+00:00,2022-01-31 17:30:00+00:00,37338.33,36852.0,486.33000000000175,37265.3805,37022.2155,37435.596000000005,2022-01-31 12:00:00+00:00,2022-01-31 12:05:00+00:00,2022-01-31 12:05:00+00:00,2022-01-31 12:10:00+00:00,2022-01-31 14:10:00+00:00,,2022-01-31 13:40:00+00:00,True,True,2022-01-31 13:45:00+00:00,37279.52,0.8790738798757948,0.6065809187169645,2022-01-31 14:30:00+00:00,2022-01-31 14:30:00+00:00,37435.596000000005,TP_E20,0.0041866418880931,1.6933209440465729,True,False,TRADE_EXECUTED,True,RAW_0530,160.0,False,True,65.0,2022-01-31 10:55:00+00:00,2022-01-31 07:00:00+00:00,2022-01-31 10:55:00+00:00,325.0,5.0,True,2,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-02-01,480,2022-02-01 08:00:00+00:00,2022-02-01 13:30:00+00:00,2022-02-01 13:30:00+00:00,2022-02-01 20:00:00+00:00,39100.0,37969.0,1131.0,38930.35,38364.85,39326.2,2022-02-01 16:55:00+00:00,2022-02-01 17:00:00+00:00,2022-02-01 17:05:00+00:00,2022-02-01 17:10:00+00:00,,,2022-02-01 17:10:00+00:00,True,True,2022-02-01 17:15:00+00:00,38930.17,0.8498408488063645,0.7005412863510915,2022-02-01 19:50:00+00:00,2022-02-01 19:55:00+00:00,38363.01,CLOSE_INVALIDATION_F35,-0.0145686494561928,-7.684324728096426,False,False,TRADE_EXECUTED,True,LONDON,220.0,True,True,210.0,2022-02-01 09:05:00+00:00,2022-02-01 10:15:00+00:00,2022-02-01 10:15:00+00:00,135.0,195.0,False,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-02-01,330,2022-02-01 05:30:00+00:00,2022-02-01 11:00:00+00:00,2022-02-01 11:00:00+00:00,2022-02-01 17:30:00+00:00,39100.0,37969.0,1131.0,38930.35,38364.85,39326.2,2022-02-01 16:55:00+00:00,2022-02-01 17:00:00+00:00,2022-02-01 17:05:00+00:00,2022-02-01 17:10:00+00:00,,,2022-02-01 17:10:00+00:00,True,True,2022-02-01 17:15:00+00:00,38930.17,0.8498408488063645,0.7005412863510915,2022-02-01 17:30:00+00:00,2022-02-01 17:30:00+00:00,38782.96,TIME_EXIT_EXEC_END,-0.003781386004736,-2.290693002368049,False,True,TRADE_EXECUTED,True,RAW_0530,370.0,False,True,360.0,2022-02-01 09:05:00+00:00,2022-02-01 10:15:00+00:00,2022-02-01 10:15:00+00:00,285.0,45.0,True,2,False,SKIP_OPEN_POSITION,LONDON,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-03-04,330,2022-03-04 05:30:00+00:00,2022-03-04 11:00:00+00:00,2022-03-04 11:00:00+00:00,2022-03-04 17:30:00+00:00,41850.0,40800.0,1050.0,41692.5,41167.5,42060.0,2022-03-04 11:50:00+00:00,2022-03-04 11:55:00+00:00,2022-03-04 11:55:00+00:00,2022-03-04 12:00:00+00:00,,2022-03-04 14:45:00+00:00,2022-03-04 12:00:00+00:00,True,True,2022-03-04 12:05:00+00:00,41718.3,0.8745714285714313,0.6203703703703618,2022-03-04 14:05:00+00:00,2022-03-04 14:10:00+00:00,41161.5,CLOSE_INVALIDATION_F35,-0.0133466608179144,-7.073330408957235,False,False,TRADE_EXECUTED,True,RAW_0530,60.0,False,True,55.0,2022-03-04 09:00:00+00:00,2022-03-04 08:30:00+00:00,2022-03-04 09:00:00+00:00,210.0,120.0,True,2,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-03-14,210,2022-03-14 03:30:00+00:00,2022-03-14 09:00:00+00:00,2022-03-14 09:00:00+00:00,2022-03-14 15:30:00+00:00,39225.7,38035.0,1190.699999999997,39047.095,38451.745,39463.84,2022-03-14 09:55:00+00:00,2022-03-14 10:00:00+00:00,2022-03-14 10:00:00+00:00,2022-03-14 10:05:00+00:00,,,2022-03-14 10:10:00+00:00,True,True,2022-03-14 10:15:00+00:00,39063.4,0.8636936255983908,0.6546827868651299,2022-03-14 15:30:00+00:00,2022-03-14 15:30:00+00:00,38985.7,TIME_EXIT_EXEC_END,-0.0019890741717312,-1.39453708586561,False,True,TRADE_EXECUTED,True,ALT_0330,70.0,True,True,60.0,2022-03-14 08:05:00+00:00,2022-03-14 03:30:00+00:00,2022-03-14 08:05:00+00:00,275.0,55.0,True,1,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-03-16,480,2022-03-16 08:00:00+00:00,2022-03-16 13:30:00+00:00,2022-03-16 13:30:00+00:00,2022-03-16 20:00:00+00:00,40760.0,39538.0,1222.0,40576.7,39965.7,41004.4,2022-03-16 14:00:00+00:00,2022-03-16 14:05:00+00:00,2022-03-16 14:05:00+00:00,2022-03-16 14:10:00+00:00,2022-03-16 14:15:00+00:00,,2022-03-16 14:10:00+00:00,True,True,2022-03-16 14:15:00+00:00,40676.0,0.9312602291325696,0.4623398563987049,2022-03-16 14:15:00+00:00,2022-03-16 14:15:00+00:00,41004.4,TP_E20,0.008073556888583,3.636778444291511,True,False,TRADE_EXECUTED,True,LONDON,40.0,True,True,35.0,2022-03-16 09:05:00+00:00,2022-03-16 08:00:00+00:00,2022-03-16 09:05:00+00:00,65.0,265.0,False,0,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
development,2022-03-16,330,2022-03-16 05:30:00+00:00,2022-03-16 11:00:00+00:00,2022-03-16 11:00:00+00:00,2022-03-16 17:30:00+00:00,40760.0,38984.9,1775.0999999999983,40493.735,39606.185,41115.02,2022-03-16 14:00:00+00:00,2022-03-16 14:05:00+00:00,2022-03-16 14:05:00+00:00,2022-03-16 14:10:00+00:00,2022-03-16 14:15:00+00:00,,2022-03-16 14:10:00+00:00,True,True,2022-03-16 14:15:00+00:00,40676.0,0.9526787223255028,0.4103700172459685,2022-03-16 14:15:00+00:00,2022-03-16 14:15:00+00:00,41115.02,TP_E20,0.0107930966663387,4.996548333169382,True,False,TRADE_EXECUTED,True,RAW_0530,190.0,False,True,185.0,2022-03-16 09:05:00+00:00,2022-03-16 05:30:00+00:00,2022-03-16 09:05:00+00:00,215.0,115.0,True,2,True,ACCEPT,,B27DJ_RAW_0530_development_FILTER,DEVELOPMENT
