portfolio,partition,candidates,accepted,skipped_open,n,wins,wr,pf,expectancy,total_net,zone
PRIMARY_2ZONE,external,47,47,0,47,36,0.7659574468085106,2.7450548487530337,1.9460548425137687,91.46457759814713,
PRIMARY_2ZONE,external,20,20,0,20,16,0.8,3.556227003818883,2.7616988500863338,55.23397700172667,ALT_0330
PRIMARY_2ZONE,external,27,27,0,27,20,0.7407407407407407,2.1760904251256123,1.34187409616372,36.230600596420445,LONDON
PRIMARY_2ZONE,development,60,60,0,60,42,0.7,1.4051284716003711,0.5546824446083458,33.28094667650075,
PRIMARY_2ZONE,development,30,30,0,30,22,0.7333333333333333,1.8592230986656246,0.8038876892557872,24.116630677673616,ALT_0330
PRIMARY_2ZONE,development,30,30,0,30,20,0.6666666666666666,1.169454844550486,0.305477199960904,9.16431599882712,LONDON
PRIMARY_2ZONE,reference_validation,23,23,0,23,20,0.8695652173913043,2.982540673212619,0.923798350995288,21.247362072891622,
PRIMARY_2ZONE,reference_validation,12,12,0,12,10,0.8333333333333334,1.6385878171119057,0.403316445202674,4.839797342432088,ALT_0330
PRIMARY_2ZONE,reference_validation,11,11,0,11,10,0.9090909090909091,6.228115566751987,1.4915967936781387,16.407564730459526,LONDON
PRIMARY_2ZONE,august,1,1,0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,
PRIMARY_2ZONE,august,1,1,0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,LONDON
PRIMARY_2ZONE,POOLED_MAJOR,130,130,0,130,98,0.7538461538461538,2.0049073948150262,1.1230222026733805,145.99288634753947,
PRIMARY_2ZONE,POOLED_MAJOR,62,62,0,62,48,0.7741935483870968,2.4704598387651413,1.357909758416651,84.19040502183236,ALT_0330
PRIMARY_2ZONE,POOLED_MAJOR,68,68,0,68,50,0.7352941176470589,1.7020977463284006,0.9088600194956925,61.80248132570709,LONDON
EXPANDED_5ZONE,external,109,95,14,95,68,0.7157894736842105,2.214425858661751,1.4405329167948049,136.85062709550647,
EXPANDED_5ZONE,external,20,20,0,20,16,0.8,3.556227003818883,2.7616988500863338,55.23397700172667,ALT_0330
EXPANDED_5ZONE,external,27,25,2,25,19,0.76,2.20340525960092,1.4227981183681473,35.56995295920368,LONDON
EXPANDED_5ZONE,external,21,17,4,17,13,0.7647058823529411,3.0223654605522166,1.5515421796860036,26.37621705466206,RAW_0530
EXPANDED_5ZONE,external,21,15,6,15,6,0.4,0.571750136196601,-1.047873560923229,-15.718103413848436,RAW_0930
EXPANDED_5ZONE,external,20,18,2,18,14,0.7777777777777778,4.00494877367374,1.9660324163201384,35.38858349376249,RAW_2330
EXPANDED_5ZONE,development,174,160,14,160,108,0.675,1.3828189252243335,0.4634609148463409,74.15374637541454,
EXPANDED_5ZONE,development,30,29,1,29,21,0.7241379310344828,1.7969649354236865,0.7713507477947398,22.369171686047455,ALT_0330
EXPANDED_5ZONE,development,30,30,0,30,20,0.6666666666666666,1.169454844550486,0.305477199960904,9.16431599882712,LONDON
EXPANDED_5ZONE,development,46,40,6,40,27,0.675,1.4482677968797921,0.5000920636943451,20.003682547773806,RAW_0530
EXPANDED_5ZONE,development,37,31,6,31,20,0.6451612903225806,1.2674588005749565,0.4054235194240615,12.568129102145907,RAW_0930
EXPANDED_5ZONE,development,31,30,1,30,20,0.6666666666666666,1.5039322251721263,0.33494823468734186,10.048447040620255,RAW_2330
EXPANDED_5ZONE,reference_validation,76,73,3,73,57,0.7808219178082192,2.0211649097908224,0.6808338732762408,49.700872749165576,
EXPANDED_5ZONE,reference_validation,12,12,0,12,10,0.8333333333333334,1.6385878171119057,0.403316445202674,4.839797342432088,ALT_0330
EXPANDED_5ZONE,reference_validation,11,11,0,11,10,0.9090909090909091,6.228115566751987,1.4915967936781387,16.407564730459526,LONDON
EXPANDED_5ZONE,reference_validation,14,13,1,13,11,0.8461538461538461,1.9431023323569263,0.8116816783805642,10.551861818947334,RAW_0530
EXPANDED_5ZONE,reference_validation,20,18,2,18,12,0.6666666666666666,1.3889251377437055,0.29806567122783645,5.365182082101056,RAW_0930
EXPANDED_5ZONE,reference_validation,19,19,0,19,14,0.7368421052631579,1.9665617927185992,0.6598140408013458,12.53646677522557,RAW_2330
EXPANDED_5ZONE,august,4,3,1,3,2,0.6666666666666666,4.299476546536018,1.0289419609390305,3.0868258828170916,
EXPANDED_5ZONE,august,1,1,0,1,1,1.0,inf,2.6529477668266304,2.6529477668266304,LONDON
EXPANDED_5ZONE,august,1,0,1,0,0,,,,0.0,RAW_0530
EXPANDED_5ZONE,august,2,2,0,2,1,0.5,1.4637678709818527,0.21693905799523056,0.4338781159904611,RAW_0930
EXPANDED_5ZONE,POOLED_MAJOR,359,328,31,328,233,0.7103658536585366,1.7342511560082334,0.7948330677441664,260.70524622008656,
EXPANDED_5ZONE,POOLED_MAJOR,62,61,1,61,47,0.7704918032786885,2.4399389229148265,1.3515237054132163,82.4429460302062,ALT_0330
EXPANDED_5ZONE,POOLED_MAJOR,68,66,2,66,49,0.7424242424242424,1.7045836594072783,0.926391419522581,61.141833688490344,LONDON
EXPANDED_5ZONE,POOLED_MAJOR,81,70,11,70,51,0.7285714285714285,1.8268340809634207,0.8133108774483316,56.931761421383214,RAW_0530
EXPANDED_5ZONE,POOLED_MAJOR,78,64,14,64,38,0.59375,1.0227226647530503,0.03461262141247698,2.2152077703985267,RAW_0930
EXPANDED_5ZONE,POOLED_MAJOR,70,67,3,67,48,0.7164179104477612,2.2973232600677544,0.8652760792478853,57.97349730960831,RAW_2330
