partition,anchor_date_utc,clock_min,reference_start,reference_end,execution_start,execution_end,H,L,range,F85,F35,E20,k1_signal_bar_start,k1_signal_ts,leave_bar_start,leave_ts,h2_bar_start,opposite_break_bar_start,touch_bar_start,same_bar_confirmed,entry_executed,entry_bar_start,entry_px,entry_fraction,nominal_rr,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,tp_hit,time_exit,case_status,entry_executed_b,tp_hit_b,time_exit_b,zone,trade_key,regime_available_ts,regime_at_signal,touch_elapsed_min,no_bear,touch_first_half,rr_ge_050
external,2020-02-12,480,2020-02-12 08:00:00+00:00,2020-02-12 13:30:00+00:00,2020-02-12 13:30:00+00:00,2020-02-12 20:00:00+00:00,10395.0,10235.52,159.47999999999956,10371.078,10291.338,10426.896,2020-02-12 13:30:00+00:00,2020-02-12 13:35:00+00:00,2020-02-12 13:40:00+00:00,2020-02-12 13:45:00+00:00,2020-02-12 14:00:00+00:00,,2020-02-12 13:45:00+00:00,True,True,2020-02-12 13:50:00+00:00,10374.79,0.8732756458490144,0.6243828787806052,2020-02-12 14:00:00+00:00,2020-02-12 14:00:00+00:00,10426.896,TP_E20,0.0050223667177842,2.1111833588921107,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-02-12 13:50:00+00:00,2020-02-12 12:00:00+00:00,BULL,15.0,True,True,True
external,2020-02-17,210,2020-02-17 03:30:00+00:00,2020-02-17 09:00:00+00:00,2020-02-17 09:00:00+00:00,2020-02-17 15:30:00+00:00,9841.0,9720.23,120.77000000000044,9822.8845,9762.4995,9865.154,2020-02-17 09:00:00+00:00,2020-02-17 09:05:00+00:00,2020-02-17 09:05:00+00:00,2020-02-17 09:10:00+00:00,2020-02-17 09:15:00+00:00,,2020-02-17 09:10:00+00:00,True,True,2020-02-17 09:15:00+00:00,9832.0,0.925478181667633,0.4770325393342552,2020-02-17 10:15:00+00:00,2020-02-17 10:20:00+00:00,9744.73,CLOSE_INVALIDATION_F35,-0.0088761187957689,-4.838059397884498,False,False,TRADE_EXECUTED,True,False,False,ALT_0330,ALT_0330|external|2020-02-17 09:15:00+00:00,2020-02-17 08:00:00+00:00,BEAR,10.0,False,True,False
external,2020-03-13,210,2020-03-13 03:30:00+00:00,2020-03-13 09:00:00+00:00,2020-03-13 09:00:00+00:00,2020-03-13 15:30:00+00:00,5646.48,4520.62,1125.8599999999997,5477.601,4914.670999999999,5871.651999999999,2020-03-13 09:50:00+00:00,2020-03-13 09:55:00+00:00,2020-03-13 10:05:00+00:00,2020-03-13 10:10:00+00:00,2020-03-13 12:40:00+00:00,,2020-03-13 10:10:00+00:00,True,True,2020-03-13 10:15:00+00:00,5503.9,0.873359032206491,0.6241240672132555,2020-03-13 13:30:00+00:00,2020-03-13 13:30:00+00:00,5871.651999999999,TP_E20,0.0668166209415142,33.008310470757095,True,False,TRADE_EXECUTED,True,True,False,ALT_0330,ALT_0330|external|2020-03-13 10:15:00+00:00,2020-03-13 08:00:00+00:00,SIDEWAYS,70.0,True,True,True
external,2020-03-18,480,2020-03-18 08:00:00+00:00,2020-03-18 13:30:00+00:00,2020-03-18 13:30:00+00:00,2020-03-18 20:00:00+00:00,5249.18,4982.75,266.4300000000003,5209.2155,5076.0005,5302.466,2020-03-18 13:30:00+00:00,2020-03-18 13:35:00+00:00,2020-03-18 13:40:00+00:00,2020-03-18 13:45:00+00:00,2020-03-18 13:50:00+00:00,,2020-03-18 13:45:00+00:00,True,True,2020-03-18 13:50:00+00:00,5240.89,0.9688848853357356,0.3734379690641304,2020-03-18 13:50:00+00:00,2020-03-18 13:50:00+00:00,5302.466,TP_E20,0.0117491494765202,5.474574738260141,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-03-18 13:50:00+00:00,2020-03-18 12:00:00+00:00,BEAR,15.0,False,True,False
external,2020-04-02,210,2020-04-02 03:30:00+00:00,2020-04-02 09:00:00+00:00,2020-04-02 09:00:00+00:00,2020-04-02 15:30:00+00:00,6675.54,6558.93,116.60999999999969,6658.0485,6599.7435000000005,6698.862,2020-04-02 10:10:00+00:00,2020-04-02 10:15:00+00:00,2020-04-02 10:15:00+00:00,2020-04-02 10:20:00+00:00,2020-04-02 11:35:00+00:00,,2020-04-02 11:20:00+00:00,True,True,2020-04-02 11:25:00+00:00,6660.72,0.8729096989966577,0.6255196674128554,2020-04-02 12:00:00+00:00,2020-04-02 12:00:00+00:00,6698.862,TP_E20,0.0057264079558967,2.46320397794837,True,False,TRADE_EXECUTED,True,True,False,ALT_0330,ALT_0330|external|2020-04-02 11:25:00+00:00,2020-04-02 08:00:00+00:00,BULL,140.0,True,True,True
external,2020-04-22,210,2020-04-22 03:30:00+00:00,2020-04-22 09:00:00+00:00,2020-04-22 09:00:00+00:00,2020-04-22 15:30:00+00:00,6959.0,6837.87,121.13000000000012,6940.8305,6880.2655,6983.226,2020-04-22 09:00:00+00:00,2020-04-22 09:05:00+00:00,2020-04-22 09:15:00+00:00,2020-04-22 09:20:00+00:00,2020-04-22 12:00:00+00:00,,2020-04-22 09:20:00+00:00,True,True,2020-04-22 09:25:00+00:00,6942.01,0.859737472137375,0.6675250427163387,2020-04-22 13:15:00+00:00,2020-04-22 13:15:00+00:00,6983.226,TP_E20,0.0059371853396925,2.5685926698462818,True,False,TRADE_EXECUTED,True,True,False,ALT_0330,ALT_0330|external|2020-04-22 09:25:00+00:00,2020-04-22 08:00:00+00:00,BEAR,20.0,False,True,True
external,2020-04-22,480,2020-04-22 08:00:00+00:00,2020-04-22 13:30:00+00:00,2020-04-22 13:30:00+00:00,2020-04-22 20:00:00+00:00,7075.0,6915.0,160.0,7051.0,6971.0,7107.0,2020-04-22 13:45:00+00:00,2020-04-22 13:50:00+00:00,2020-04-22 13:50:00+00:00,2020-04-22 13:55:00+00:00,2020-04-22 14:25:00+00:00,,2020-04-22 13:55:00+00:00,True,True,2020-04-22 14:00:00+00:00,7056.24,0.8827499999999986,0.5954950727358088,2020-04-22 14:30:00+00:00,2020-04-22 14:30:00+00:00,7107.0,TP_E20,0.0071936328696302,3.196816434815131,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-04-22 14:00:00+00:00,2020-04-22 12:00:00+00:00,SIDEWAYS,25.0,True,True,True
external,2020-05-13,480,2020-05-13 08:00:00+00:00,2020-05-13 13:30:00+00:00,2020-05-13 13:30:00+00:00,2020-05-13 20:00:00+00:00,9115.0,8828.0,287.0,9071.95,8928.45,9172.4,2020-05-13 14:05:00+00:00,2020-05-13 14:10:00+00:00,2020-05-13 14:25:00+00:00,2020-05-13 14:30:00+00:00,2020-05-13 15:10:00+00:00,,2020-05-13 14:35:00+00:00,True,True,2020-05-13 14:40:00+00:00,9080.62,0.8802090592334523,0.6031412236314568,2020-05-13 15:35:00+00:00,2020-05-13 15:35:00+00:00,9172.4,TP_E20,0.0101072393735228,4.653619686761434,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-05-13 14:40:00+00:00,2020-05-13 12:00:00+00:00,SIDEWAYS,65.0,True,True,True
external,2020-06-04,480,2020-06-04 08:00:00+00:00,2020-06-04 13:30:00+00:00,2020-06-04 13:30:00+00:00,2020-06-04 20:00:00+00:00,9777.0,9440.0,337.0,9726.45,9557.95,9844.4,2020-06-04 13:45:00+00:00,2020-06-04 13:50:00+00:00,2020-06-04 13:50:00+00:00,2020-06-04 13:55:00+00:00,2020-06-04 15:55:00+00:00,,2020-06-04 14:20:00+00:00,True,True,2020-06-04 14:25:00+00:00,9757.08,0.9408902077151332,0.438507507658314,2020-06-04 15:55:00+00:00,2020-06-04 15:55:00+00:00,9844.4,TP_E20,0.0089493987955413,4.074699397770676,True,False,TRADE_EXECUTED,True,True,False,LONDON,LONDON|external|2020-06-04 14:25:00+00:00,2020-06-04 12:00:00+00:00,SIDEWAYS,50.0,True,True,False
external,2020-06-08,210,2020-06-08 03:30:00+00:00,2020-06-08 09:00:00+00:00,2020-06-08 09:00:00+00:00,2020-06-08 15:30:00+00:00,9757.09,9631.0,126.09000000000016,9738.1765,9675.1315,9782.308,2020-06-08 09:20:00+00:00,2020-06-08 09:25:00+00:00,2020-06-08 09:25:00+00:00,2020-06-08 09:30:00+00:00,2020-06-08 09:40:00+00:00,,2020-06-08 09:30:00+00:00,True,True,2020-06-08 09:35:00+00:00,9750.65,0.9489253707669084,0.4192085383051995,2020-06-08 14:50:00+00:00,2020-06-08 14:55:00+00:00,9672.69,CLOSE_INVALIDATION_F35,-0.0079953644116032,-4.3976822058016,False,False,TRADE_EXECUTED,True,False,False,ALT_0330,ALT_0330|external|2020-06-08 09:35:00+00:00,2020-06-08 08:00:00+00:00,BULL,30.0,True,True,False
