signal_ts,friday_wib,entry_ts,archetype,two_color,signal_body,signal_dominance,range_state,prior4_trend,range_location,trend_relation,signal_color,cont_pnl,cont_win,cont_reason,rev_pnl,rev_win,rev_reason,period
2023-12-07 17:00:00+00:00,2023-12-08,2023-12-07 17:15:00+00:00,GR|MEDIUM|LOWER|NORMAL|UP|INSIDE|AGAINST,GR,MEDIUM,LOWER,NORMAL,UP,INSIDE,AGAINST,R,3.9327701100169983,1,TIME,-5.432770110016998,0,TIME,discovery
2023-12-07 17:15:00+00:00,2023-12-08,2023-12-07 17:30:00+00:00,RR|SMALL|UPPER|NORMAL|DOWN|INSIDE|WITH,RR,SMALL,UPPER,NORMAL,DOWN,INSIDE,WITH,R,3.0725002407693,1,TIME,-4.572500240769299,0,TIME,discovery
2023-12-07 17:30:00+00:00,2023-12-08,2023-12-07 17:45:00+00:00,RR|LARGE|BODY_BALANCED|EXPANDED|DOWN|BREAK_LOW|WITH,RR,LARGE,BODY_BALANCED,EXPANDED,DOWN,BREAK_LOW,WITH,R,-0.06293186728059609,0,TIME,-1.437068132719404,0,TIME,discovery
2023-12-07 17:45:00+00:00,2023-12-08,2023-12-07 18:00:00+00:00,RG|MEDIUM|LOWER|EXPANDED|DOWN|INSIDE|AGAINST,RG,MEDIUM,LOWER,EXPANDED,DOWN,INSIDE,AGAINST,G,-2.508391486070987,0,TIME,1.008391486070987,1,TIME,discovery
2023-12-07 18:00:00+00:00,2023-12-08,2023-12-07 18:15:00+00:00,GG|SMALL|LOWER|NORMAL|DOWN|INSIDE|AGAINST,GG,SMALL,LOWER,NORMAL,DOWN,INSIDE,AGAINST,G,-1.5773897063054148,0,TIME,0.07738970630541474,1,TIME,discovery
2023-12-07 18:15:00+00:00,2023-12-08,2023-12-07 18:30:00+00:00,GG|SMALL|LOWER|NORMAL|DOWN|INSIDE|AGAINST,GG,SMALL,LOWER,NORMAL,DOWN,INSIDE,AGAINST,G,-1.6045219507481994,0,TIME,0.10452195074819935,1,TIME,discovery
2023-12-07 18:30:00+00:00,2023-12-08,2023-12-07 18:45:00+00:00,GR|LARGE|BODY_BALANCED|EXPANDED|DOWN|INSIDE|WITH,GR,LARGE,BODY_BALANCED,EXPANDED,DOWN,INSIDE,WITH,R,-1.1412923034304905,0,TIME,-0.3587076965695095,0,TIME,discovery
2023-12-07 18:45:00+00:00,2023-12-08,2023-12-07 19:00:00+00:00,RG|SMALL|UPPER|EXPANDED|DOWN|INSIDE|AGAINST,RG,SMALL,UPPER,EXPANDED,DOWN,INSIDE,AGAINST,G,0.37746206788305603,1,TIME,-1.877462067883056,0,TIME,discovery
2023-12-07 19:00:00+00:00,2023-12-08,2023-12-07 19:15:00+00:00,GR|MEDIUM|BODY_BALANCED|NORMAL|DOWN|BREAK_LOW|WITH,GR,MEDIUM,BODY_BALANCED,NORMAL,DOWN,BREAK_LOW,WITH,R,-1.7671458425319857,0,TIME,0.2671458425319857,1,TIME,discovery
2023-12-07 19:15:00+00:00,2023-12-08,2023-12-07 19:30:00+00:00,RR|MEDIUM|BODY_BALANCED|NORMAL|DOWN|BREAK_LOW|WITH,RR,MEDIUM,BODY_BALANCED,NORMAL,DOWN,BREAK_LOW,WITH,R,-3.66932920302318,0,TIME,2.16932920302318,1,TIME,discovery
2023-12-07 19:30:00+00:00,2023-12-08,2023-12-07 19:45:00+00:00,RR|MEDIUM|UPPER|EXPANDED|DOWN|BREAK_LOW|WITH,RR,MEDIUM,UPPER,EXPANDED,DOWN,BREAK_LOW,WITH,R,-4.692242321444689,0,TIME,3.192242321444689,1,TIME,discovery
2023-12-07 19:45:00+00:00,2023-12-08,2023-12-07 20:00:00+00:00,RG|LARGE|BODY_BALANCED|EXPANDED|DOWN|INSIDE|AGAINST,RG,LARGE,BODY_BALANCED,EXPANDED,DOWN,INSIDE,AGAINST,G,1.455174933856413,1,TIME,-2.955174933856413,0,TIME,discovery
2023-12-07 20:00:00+00:00,2023-12-08,2023-12-07 20:15:00+00:00,GG|LARGE|BODY_BALANCED|NORMAL|DOWN|INSIDE|AGAINST,GG,LARGE,BODY_BALANCED,NORMAL,DOWN,INSIDE,AGAINST,G,1.0634709048666098,1,TIME,-2.56347090486661,0,TIME,discovery
2023-12-07 20:15:00+00:00,2023-12-08,2023-12-07 20:30:00+00:00,GR|LARGE|BODY_BALANCED|NORMAL|UP|INSIDE|AGAINST,GR,LARGE,BODY_BALANCED,NORMAL,UP,INSIDE,AGAINST,R,-3.5214533371858696,0,TIME,2.0214533371858696,1,TIME,discovery
2023-12-07 20:30:00+00:00,2023-12-08,2023-12-07 20:45:00+00:00,RR|MEDIUM|BODY_BALANCED|EXPANDED|UP|INSIDE|AGAINST,RR,MEDIUM,BODY_BALANCED,EXPANDED,UP,INSIDE,AGAINST,R,-4.82340936722056,0,TIME,3.3234093672205596,1,TIME,discovery
2023-12-07 20:45:00+00:00,2023-12-08,2023-12-07 21:00:00+00:00,RG|MEDIUM|BODY_BALANCED|EXPANDED|UP|INSIDE|WITH,RG,MEDIUM,BODY_BALANCED,EXPANDED,UP,INSIDE,WITH,G,2.224560229644374,1,TIME,-3.724560229644374,0,TIME,discovery
2023-12-07 21:00:00+00:00,2023-12-08,2023-12-07 21:15:00+00:00,GG|MEDIUM|BODY_BALANCED|NORMAL|UP|INSIDE|WITH,GG,MEDIUM,BODY_BALANCED,NORMAL,UP,INSIDE,WITH,G,0.4568488093039953,1,TIME,-1.956848809303995,0,TIME,discovery
2023-12-07 21:15:00+00:00,2023-12-08,2023-12-07 21:30:00+00:00,GG|SMALL|LOWER|NORMAL|DOWN|INSIDE|AGAINST,GG,SMALL,LOWER,NORMAL,DOWN,INSIDE,AGAINST,G,0.2471365466107107,1,TIME,-1.7471365466107107,0,TIME,discovery
2023-12-07 21:30:00+00:00,2023-12-08,2023-12-07 21:45:00+00:00,GR|SMALL|UPPER|EXPANDED|UP|INSIDE|AGAINST,GR,SMALL,UPPER,EXPANDED,UP,INSIDE,AGAINST,R,-2.010500325215963,0,TIME,0.510500325215963,1,TIME,discovery
2023-12-07 21:45:00+00:00,2023-12-08,2023-12-07 22:00:00+00:00,RG|MEDIUM|LOWER|NORMAL|UP|INSIDE|WITH,RG,MEDIUM,LOWER,NORMAL,UP,INSIDE,WITH,G,-0.684327408974255,0,TIME,-0.815672591025745,0,TIME,discovery
2023-12-07 22:00:00+00:00,2023-12-08,2023-12-07 22:15:00+00:00,GG|LARGE|BODY_BALANCED|NORMAL|UP|INSIDE|WITH,GG,LARGE,BODY_BALANCED,NORMAL,UP,INSIDE,WITH,G,0.3446636585478231,1,TIME,-1.844663658547823,0,TIME,discovery
2023-12-07 22:15:00+00:00,2023-12-08,2023-12-07 22:30:00+00:00,GR|MEDIUM|BODY_BALANCED|NORMAL|UP|INSIDE|AGAINST,GR,MEDIUM,BODY_BALANCED,NORMAL,UP,INSIDE,AGAINST,R,-2.782201694000979,0,TIME,1.282201694000979,1,TIME,discovery
