i,date,period,parent_pnl,win,rel_last_red,rel_last_upper_gt_lower,rel_upper_gt_prev1,rel_upper_gt_prev2max,rel_upper_localmax4,rel_body_lt_prev1,rel_body_contract3median,rel_upper_share_gt_prev3median,rel_rejection_expansion_composite,rel_wick_dominant,rel_f636_morphology,balance_gate
0,2023-12-08,discovery,4.048006696831725,True,True,True,False,False,False,False,False,True,False,False,False,False
1,2023-12-15,discovery,-4.25,False,False,False,False,False,False,True,False,False,False,False,False,False
2,2023-12-22,discovery,0.6279978905855694,True,True,False,False,False,False,True,True,False,False,True,True,True
3,2023-12-29,discovery,5.7548623994139465,True,True,False,False,False,False,True,True,False,False,True,True,True
4,2024-01-05,discovery,-4.25,False,True,True,True,True,False,True,True,False,False,True,True,True
5,2024-01-12,discovery,-4.25,False,False,True,True,True,True,False,False,True,False,False,False,True
6,2024-01-19,discovery,0.6464958008230166,True,True,False,False,False,False,False,False,False,False,True,True,True
7,2024-01-26,discovery,9.25,True,False,True,True,True,True,True,True,True,True,True,True,True
8,2024-02-02,discovery,-4.25,False,True,True,True,False,False,True,False,True,False,False,False,True
9,2024-02-09,discovery,9.25,True,True,False,False,False,False,False,False,False,False,False,False,False
10,2024-02-16,discovery,6.08866806729172,True,False,False,True,True,False,True,True,True,False,True,True,True
11,2024-02-23,discovery,0.5796750097639976,True,True,True,True,True,True,True,True,True,True,True,True,True
12,2024-03-01,discovery,9.25,True,True,False,False,False,False,False,False,False,False,False,False,False
13,2024-03-08,discovery,3.1752100403366352,True,True,True,True,True,True,True,True,False,True,True,True,True
14,2024-03-15,discovery,-4.25,False,True,True,False,False,False,False,False,True,False,False,False,False
15,2024-03-22,discovery,-4.25,False,False,True,False,False,False,False,False,True,False,False,False,False
16,2024-03-29,discovery,3.8466250379353424,True,True,True,True,True,True,True,True,True,True,True,True,True
17,2024-04-05,discovery,-4.25,False,False,False,False,False,False,False,False,False,False,True,True,False
18,2024-04-12,discovery,-4.25,False,False,False,False,False,False,False,False,True,False,False,False,False
19,2024-04-19,discovery,1.973207712397091,True,True,True,True,True,True,True,True,True,True,True,True,True
20,2024-04-26,discovery,-4.25,False,True,False,True,False,False,True,True,False,False,True,True,True
21,2024-05-03,discovery,9.25,True,False,True,True,True,True,False,False,True,False,True,True,True
22,2024-05-10,discovery,-1.3542458979474974,False,True,True,False,False,False,False,False,True,False,False,False,True
23,2024-05-17,discovery,-4.25,False,False,True,True,False,False,False,False,True,False,False,False,True
24,2024-05-24,discovery,-4.25,False,False,False,True,False,False,False,False,True,False,False,False,False
25,2024-05-31,discovery,-1.5370876584068487,False,False,False,True,False,False,False,False,True,False,False,False,False
26,2024-06-07,discovery,2.2641437765556223,True,False,True,True,True,True,True,False,True,False,False,False,True
27,2024-06-14,discovery,0.44420742142373193,True,True,True,False,False,False,False,False,False,False,False,False,False
28,2024-06-21,discovery,-4.25,False,True,True,True,True,True,False,False,True,False,False,False,True
29,2024-06-28,discovery,-1.060675494960666,False,True,True,True,True,True,True,True,True,True,True,True,True
