friday_wib,freeze_utc,touch_utc,cluster_id,level,side,sources,families,confluence_count,prior_resolved,prior_hold,prior_break,prior_ambiguous,prior_unresolved,outcome
2023-12-08,2023-12-07 17:00:00+00:00,2023-12-08 14:50:00+00:00,2023-12-08-4,44066.7,RESISTANCE,SWING_H,SWING,1,3,3,0,2,0,AMBIGUOUS_TOUCH_BAR
2023-12-29,2023-12-28 17:00:00+00:00,2023-12-28 19:15:00+00:00,2023-12-29-3,42726.6,RESISTANCE,SWING_L,SWING,1,3,3,0,1,0,HOLD
2024-01-26,2024-01-25 17:00:00+00:00,2024-01-26 02:25:00+00:00,2024-01-26-3,40171.3,RESISTANCE,SWING_H,SWING,1,4,4,0,1,0,HOLD
2024-02-16,2024-02-15 17:00:00+00:00,2024-02-15 20:15:00+00:00,2024-02-16-4,51651.0,SUPPORT,SWING_L,SWING,1,2,2,0,1,0,HOLD
2024-03-01,2024-02-29 17:00:00+00:00,2024-03-01 13:20:00+00:00,2024-03-01-4,62710.0,RESISTANCE,SWING_H,SWING,1,2,2,0,1,0,HOLD
2024-04-19,2024-04-18 17:00:00+00:00,2024-04-19 01:45:00+00:00,2024-04-19-2,60763.8,SUPPORT,SWING_L,SWING,1,2,2,0,2,0,AMBIGUOUS_TOUCH_BAR
2024-04-19,2024-04-18 17:00:00+00:00,2024-04-19 01:30:00+00:00,2024-04-19-3,61680.0,SUPPORT,SWING_L,SWING,1,2,2,0,4,0,AMBIGUOUS_TOUCH_BAR
2024-04-19,2024-04-18 17:00:00+00:00,2024-04-19 06:50:00+00:00,2024-04-19-7,64483.3,RESISTANCE,SWING_H,SWING,1,4,4,0,1,0,AMBIGUOUS_TOUCH_BAR
2024-05-10,2024-05-09 17:00:00+00:00,2024-05-09 17:00:00+00:00,2024-05-10-3,61757.85,SUPPORT,SWING_H|SWING_L,SWING,2,2,2,0,2,0,HOLD
2024-06-07,2024-06-06 17:00:00+00:00,2024-06-06 20:00:00+00:00,2024-06-07-1,70423.6,SUPPORT,SWING_L,SWING,1,2,2,0,0,0,AMBIGUOUS_TOUCH_BAR
2024-06-21,2024-06-20 17:00:00+00:00,2024-06-21 03:55:00+00:00,2024-06-21-1,64526.0,SUPPORT,PDL,PDAY,1,2,2,0,0,0,AMBIGUOUS_TOUCH_BAR
2024-06-21,2024-06-20 17:00:00+00:00,2024-06-20 17:00:00+00:00,2024-06-21-3,64708.2,SUPPORT,SWING_L,SWING,1,3,3,0,1,0,HOLD
2024-06-21,2024-06-20 17:00:00+00:00,2024-06-20 17:00:00+00:00,2024-06-21-4,64777.1,SUPPORT,SWING_L,SWING,1,4,4,0,1,0,HOLD
2024-06-28,2024-06-27 17:00:00+00:00,2024-06-28 16:40:00+00:00,2024-06-28-2,60696.0,SUPPORT,SWING_L,SWING,1,3,3,0,1,0,AMBIGUOUS_TOUCH_BAR
2024-06-28,2024-06-27 17:00:00+00:00,2024-06-28 15:10:00+00:00,2024-06-28-3,60752.2,SUPPORT,SWING_L,SWING,1,4,4,0,1,0,HOLD
2024-06-28,2024-06-27 17:00:00+00:00,2024-06-27 17:25:00+00:00,2024-06-28-5,61959.4,RESISTANCE,SWING_H,SWING,1,3,3,0,2,0,HOLD
2024-07-19,2024-07-18 17:00:00+00:00,2024-07-18 19:20:00+00:00,2024-07-19-1,63272.0,SUPPORT,PDL,PDAY,1,3,3,0,0,0,HOLD
2024-08-02,2024-08-01 17:00:00+00:00,2024-08-01 21:40:00+00:00,2024-08-02-2,64927.2,RESISTANCE,SWING_H,SWING,1,3,3,0,0,0,BREAK
2024-08-09,2024-08-08 17:00:00+00:00,2024-08-08 17:25:00+00:00,2024-08-09-6,59835.8,RESISTANCE,PDH,PDAY,1,2,2,0,0,0,HOLD
2024-08-30,2024-08-29 17:00:00+00:00,2024-08-30 14:55:00+00:00,2024-08-30-2,58475.2,SUPPORT,SWING_L,SWING,1,2,2,0,1,0,AMBIGUOUS_TOUCH_BAR
2024-08-30,2024-08-29 17:00:00+00:00,2024-08-30 14:55:00+00:00,2024-08-30-3,58561.0,SUPPORT,PDL,PDAY,1,2,2,0,1,0,BREAK
