friday_wib,freeze_utc,touch_utc,cluster_id,level,sources,families,confluence_count,prior_resolved,prior_hold,prior_break,prior_ambiguous,prior_unresolved,outcome
2022-02-11,2022-02-10 17:00:00+00:00,2022-02-11 00:20:00+00:00,2022-02-11-1,43113.020000000004,PDL|SWING_L,PDAY|SWING,2,2,2,0,1,0,BREAK
2022-02-11,2022-02-10 17:00:00+00:00,2022-02-10 19:50:00+00:00,2022-02-11-4,44436.44,SWING_H,SWING,1,2,2,0,1,0,BREAK
2022-04-15,2022-04-14 17:00:00+00:00,2022-04-14 17:20:00+00:00,2022-04-15-3,39831.1,SWING_L,SWING,1,2,2,0,3,0,HOLD
2022-04-22,2022-04-21 17:00:00+00:00,2022-04-21 17:00:00+00:00,2022-04-22-5,41768.0,SWING_H,SWING,1,2,2,0,0,0,BREAK
2022-08-12,2022-08-11 17:00:00+00:00,2022-08-11 18:10:00+00:00,2022-08-12-3,24235.2,SWING_H,SWING,1,2,2,0,0,0,BREAK
2022-08-19,2022-08-18 17:00:00+00:00,2022-08-18 17:50:00+00:00,2022-08-19-1,23315.9,SWING_L,SWING,2,2,2,0,1,0,BREAK
2022-09-23,2022-09-22 17:00:00+00:00,2022-09-23 13:50:00+00:00,2022-09-23-1,18780.9,SWING_L,SWING,2,3,3,0,3,0,AMBIGUOUS_TOUCH_BAR
2023-03-17,2023-03-16 17:00:00+00:00,2023-03-16 17:15:00+00:00,2023-03-17-4,24645.4,SWING_H,SWING,1,3,3,0,3,0,HOLD
2023-06-09,2023-06-08 17:00:00+00:00,2023-06-09 02:20:00+00:00,2023-06-09-3,26283.4,SWING_L,SWING,1,2,2,0,4,0,AMBIGUOUS_TOUCH_BAR
2023-06-30,2023-06-29 17:00:00+00:00,2023-06-30 13:40:00+00:00,2023-06-30-1,29992.5,SWING_L,SWING,1,2,2,0,5,0,AMBIGUOUS_TOUCH_BAR
2023-06-30,2023-06-29 17:00:00+00:00,2023-06-29 17:00:00+00:00,2023-06-30-4,30485.0,SWING_H,SWING,1,5,5,0,5,0,HOLD
2023-07-28,2023-07-27 17:00:00+00:00,2023-07-27 17:00:00+00:00,2023-07-28-2,29260.0,SWING_L,SWING,1,2,2,0,4,0,BREAK
2023-08-25,2023-08-24 17:00:00+00:00,2023-08-25 14:55:00+00:00,2023-08-25-1,25800.0,SWING_L,SWING,1,3,3,0,4,0,HOLD
2023-09-08,2023-09-07 17:00:00+00:00,2023-09-08 10:05:00+00:00,2023-09-08-3,25660.0,SWING_L,SWING,1,3,3,0,5,0,AMBIGUOUS_TOUCH_BAR
2023-10-06,2023-10-05 17:00:00+00:00,2023-10-05 17:20:00+00:00,2023-10-06-2,27342.9,PDL|SWING_L,PDAY|SWING,2,3,3,0,2,0,HOLD
2023-11-17,2023-11-16 17:00:00+00:00,2023-11-16 18:05:00+00:00,2023-11-17-2,36251.0,PDL,PDAY,1,2,2,0,3,0,HOLD
