partition,event_hour_utc,event_hour_wib,control_n,control_positive1h,control_positive3h,control_mean_ret3h,bull_n,bull_positive1h,bull_positive3h,bull_mean_ret3h,bull_median_ret3h,bull_lift_3h
external,4,11:00,129,0.5891472868217055,0.5581395348837209,0.001691290813368289,60,0.6,0.55,0.0008775158423990107,0.0006976419360600339,-0.008139534883720878
external,8,15:00,109,0.5412844036697247,0.5229357798165137,-0.0013429603653566482,52,0.5384615384615384,0.5192307692307693,4.585329025437991e-05,0.0002360323196430869,-0.0037050105857444615
external,18,01:00,84,0.47619047619047616,0.5833333333333334,0.0022560688157694693,43,0.46511627906976744,0.5813953488372093,0.0007263370614842214,0.0005761696439401387,-0.0019379844961240345
external,19,02:00,90,0.5111111111111111,0.6,0.0010211476240298315,47,0.44680851063829785,0.6170212765957447,0.002163463938796269,0.002951163038740434,0.017021276595744705
external,ALL4,ALL4,412,0.5364077669902912,0.5631067961165048,0.0008572983053105702,202,0.5198019801980198,0.5643564356435643,0.0009304486158634384,0.000648349866428366,0.0012496395270594762
development,4,11:00,117,0.5726495726495726,0.6581196581196581,0.0014055390641696424,48,0.6041666666666666,0.7083333333333334,0.0007658305011707158,0.0014806253171266714,0.05021367521367526
development,8,15:00,150,0.54,0.62,0.0009590635820478366,66,0.5151515151515151,0.6212121212121212,0.0017982727784851616,0.0010376760290835563,0.00121212121212122
development,18,01:00,139,0.5899280575539568,0.5899280575539568,9.24696915405821e-05,55,0.6,0.6545454545454545,0.001821780040296961,0.002015778518097422,0.06461739699149771
development,19,02:00,126,0.5158730158730159,0.6111111111111112,0.0009770144358222856,44,0.45454545454545453,0.5,-0.0006488170179653423,-0.00013906291494636402,-0.11111111111111116
development,ALL4,ALL4,532,0.5545112781954887,0.618421052631579,0.0008350840485954372,213,0.5446009389671361,0.6244131455399061,0.0010661775627327362,0.0012767172458802989,0.00599209290832714
reference_validation,4,11:00,63,0.5238095238095238,0.5396825396825397,0.0007176757888548523,22,0.5,0.5,0.0007057737822387035,0.00022818972938776216,-0.03968253968253965
reference_validation,8,15:00,70,0.5714285714285714,0.5857142857142857,0.00040341140796511205,31,0.5806451612903226,0.5161290322580645,-0.00033640750002929666,8.440599282555361e-05,-0.06958525345622124
reference_validation,18,01:00,71,0.6901408450704225,0.647887323943662,0.0009329955315773344,33,0.6666666666666666,0.5757575757575758,-4.2801889085708815e-05,0.0013339532011080735,-0.0721297481860862
reference_validation,19,02:00,74,0.5405405405405406,0.581081081081081,0.0010123613991460502,28,0.32142857142857145,0.39285714285714285,-0.0024800224863746295,-0.0014061849274742966,-0.18822393822393818
reference_validation,ALL4,ALL4,278,0.5827338129496403,0.5899280575539568,0.0007719776961662302,114,0.5263157894736842,0.5,-0.0005767956249997783,4.2202996412776805e-05,-0.08992805755395683
POOLED_OOS,4,11:00,192,0.5677083333333334,0.5520833333333334,0.0013718233834498176,82,0.573170731707317,0.5365853658536586,0.000831438704307221,0.0005035414395565541,-0.015497967479674801
POOLED_OOS,8,15:00,179,0.553072625698324,0.547486033519553,-0.0006600216830520492,83,0.5542168674698795,0.5180722891566265,-9.691881214072821e-05,0.00011855333919918998,-0.02941374436292654
POOLED_OOS,18,01:00,155,0.5741935483870968,0.6129032258064516,0.0016500158920427495,76,0.5526315789473685,0.5789473684210527,0.0003923688329472781,0.0007962937271305259,-0.03395585738539897
POOLED_OOS,19,02:00,164,0.524390243902439,0.5914634146341463,0.0010171831079237351,75,0.4,0.5333333333333333,0.0004298956733991336,0.0005388123988709914,-0.058130081300812986
POOLED_OOS,ALL4,ALL4,690,0.5550724637681159,0.5739130434782609,0.0008229227555393723,316,0.5221518987341772,0.5411392405063291,0.0003866959466912653,0.0005447579096042876,-0.032773802971931776
POOLED_MAJOR,4,11:00,309,0.56957928802589,0.5922330097087378,0.0013845895149845085,130,0.5846153846153846,0.6,0.0008072141369952806,0.0008620737170955683,0.007766990291262155
POOLED_MAJOR,8,15:00,329,0.547112462006079,0.5805471124620061,7.816308827008718e-05,149,0.5369127516778524,0.5637583892617449,0.0007425620266600015,0.0007205300889165933,-0.016788723200261146
POOLED_MAJOR,18,01:00,294,0.5816326530612245,0.6020408163265306,0.0009136250013291396,131,0.5725190839694656,0.6106870229007634,0.0009925033093154654,0.0017386893146291715,0.008646206574232762
POOLED_MAJOR,19,02:00,290,0.5206896551724138,0.6,0.0009997305124589675,119,0.42016806722689076,0.5210084033613446,3.104392197025175e-05,0.00023053509662895877,-0.0789915966386554
POOLED_MAJOR,ALL4,ALL4,1222,0.5548281505728314,0.5932896890343698,0.0008282171973608343,529,0.5311909262759924,0.5746691871455577,0.0006602868431314038,0.0007443014420840388,-0.018620501888812147
