partition,entry_tf,regime,exit_type,n,win_rate,mean_return,median_return,profit_factor,median_hold_h,median_mfe,median_mae,p90_adverse,max_losing_streak
external,5m,R4,X_ENTRY_STRUCT50,567,0.2328042328042328,9.40896252213373e-05,-0.0021110949974391113,1.0345606996878691,0.8333333333333334,0.0030535252785510725,-0.0032294766322421564,-0.00805199141556634,23
development,5m,R4,X_ENTRY_STRUCT50,656,0.22865853658536586,0.00012220039581900712,-0.0014991422167111579,1.0608465206511135,1.0,0.00242242374680679,-0.0021995222281215865,-0.005855181949291799,29
reference_validation,5m,R4,X_ENTRY_STRUCT50,275,0.31636363636363635,0.0005644648518584667,-0.0012252819075461163,1.3855595272469345,1.4166666666666667,0.002816820086442906,-0.00183207716455136,-0.004172875971076762,13
august,5m,R4,X_ENTRY_STRUCT50,11,0.36363636363636365,0.008793589463427676,-0.0002283598210153226,9.823279419445852,1.25,0.0028363140536822318,-0.0009628016908039827,-0.0030489692530163426,3
external,5m,R4,X_1H_WEAK,283,0.30742049469964666,0.0014763655308841772,-0.003330245743686455,1.2630959857105926,4.416666666666667,0.0051577742410420235,-0.007203451768970193,-0.02019725719794254,13
development,5m,R4,X_1H_WEAK,340,0.28823529411764703,0.000714841542723685,-0.0022983715637120983,1.167908897100861,4.958333333333334,0.005417104502231318,-0.005370852172883078,-0.013911554936781879,10
reference_validation,5m,R4,X_1H_WEAK,150,0.30666666666666664,-0.00010175594844979763,-0.0024573530178955694,0.9741177755508303,6.583333333333333,0.005547962183223953,-0.004605149805665898,-0.012543466144715642,10
august,5m,R4,X_1H_WEAK,5,0.2,0.02452755217422602,-0.002521062526644413,11.052679142398032,9.75,0.0005254989558962642,-0.004207904849825028,-0.009538132393698117,4
external,5m,R4,X_4H_WEAK,92,0.358695652173913,0.01378289144602867,-0.01043127843183711,1.9394921142423893,37.91666666666667,0.023445691354056275,-0.018148885853045194,-0.051040771126548534,9
development,5m,R4,X_4H_WEAK,113,0.3274336283185841,0.007062174287113279,-0.00868137457732987,1.6252769786704242,43.25,0.022717151910103484,-0.015668945743929852,-0.03705084406678627,14
reference_validation,5m,R4,X_4H_WEAK,59,0.3728813559322034,-0.0018110332478902126,-0.006975327776540197,0.8319802577807566,42.083333333333336,0.012918061614419551,-0.014798565579777434,-0.031032509873768398,7
august,5m,R4,X_4H_WEAK,2,0.5,0.06356564064021691,0.06356564064021691,17.497722700290126,77.83333333333333,0.07543310150191385,-0.005551821640920773,-0.009223037601014205,1
external,5m,R4,X_COMPOSITE,582,0.25257731958762886,0.00017203047883230065,-0.001814123676714574,1.0679563060762878,0.75,0.00254606680398739,-0.0030020619785166014,-0.007746514499640166,23
development,5m,R4,X_COMPOSITE,677,0.25406203840472674,9.220869609430783e-05,-0.0013624644799488106,1.047668595308005,0.8333333333333334,0.002107003295190868,-0.0021013478409064312,-0.005808978884708171,29
reference_validation,5m,R4,X_COMPOSITE,280,0.32857142857142857,0.0005341210850291044,-0.001060390137114231,1.3804147103701818,1.3333333333333333,0.002564286509636249,-0.0017203532281530598,-0.004169368484111058,13
august,5m,R4,X_COMPOSITE,11,0.36363636363636365,0.008811544043949763,-8.02868091861475e-05,10.003494380398857,1.25,0.0028363140536822318,-0.0009628016908039827,-0.0030489692530163426,3
external,5m,R1H4,X_ENTRY_STRUCT50,287,0.2682926829268293,0.00019936419906783323,-0.002197469647710726,1.0683539663468005,0.9166666666666666,0.003542533156235761,-0.0033679230982998076,-0.009101865999686275,25
