rule,partition,date_utc,signal_ts,entry_start,entry_px,H,L,range,F35,E20,session_end,baseline_net_pnl_usd,baseline_exit_reason,baseline_exit_px,h2_seen,breakout_accepted,acceptance_bar_start,acceptance_ts,acceptance_close,last_confirmed_pivot,trail_at_exit,trail_updates,ever_e20,exit_bar_start,exit_ts,exit_px,runner_exit_reason,gross_return,runner_net_pnl_usd,hold_minutes,session_peak_high_after_accept,session_peak_extension_r,realized_exit_extension_r,giveback_from_peak_r,capture_ratio,exit_above_e20
BLIND_F85,august,2026-08-04,2026-08-04 13:40:00+00:00,2026-08-04 14:30:00+00:00,63943.475000000006,64034.3,63428.8,605.5,63640.725000000006,64155.4,2026-08-04 20:00:00+00:00,1.2571276428126723,TP_E20,64155.4,True,True,2026-08-04 14:40:00+00:00,2026-08-04 14:45:00+00:00,64098.6,63967.1,63967.1,1,True,2026-08-04 15:25:00+00:00,2026-08-04 15:30:00+00:00,63923.6,RUNNER_STRUCTURE_CLOSE_BREAK,-0.00031082139342608617,-0.5554106967130431,60.0,64388.0,0.584145334434347,-0.1828241123038883,0.7669694467382353,0.0,False
BLIND_F85,august,2026-08-17,2026-08-17 13:45:00+00:00,2026-08-17 13:50:00+00:00,63678.3,63753.0,63255.0,498.0,63429.3,63852.6,2026-08-17 20:00:00+00:00,0.9685980938561436,TP_E20,63852.6,True,True,2026-08-17 14:55:00+00:00,2026-08-17 15:00:00+00:00,63871.7,64035.3,64044.4,3,True,2026-08-17 17:05:00+00:00,2026-08-17 17:10:00+00:00,64040.3,RUNNER_STRUCTURE_CLOSE_BREAK,0.0056848251288115215,2.442412564405761,200.0,64600.8,1.7024096385542227,0.5769076305220942,1.1255020080321285,0.33887709365416596,True
BLIND_F85,august,2026-08-20,2026-08-20 15:05:00+00:00,2026-08-20 15:15:00+00:00,72080.145,72487.5,69771.8,2715.699999999997,70722.295,73030.64,2026-08-20 20:00:00+00:00,3.5515389432138726,TIME_EXIT_SESSION_END,72649.8,True,True,2026-08-20 16:40:00+00:00,2026-08-20 16:45:00+00:00,72590.9,72628.6,72628.6,3,False,2026-08-20 18:00:00+00:00,2026-08-20 18:05:00+00:00,72575.2,RUNNER_STRUCTURE_CLOSE_BREAK,0.006868118814133739,3.0340594070668696,170.0,72945.3,0.1685753212799659,0.03229369959862915,0.13628162168133676,0.19156837046744546,False
BLIND_F85,development,2022-01-28,2022-01-28 13:40:00+00:00,2022-01-28 13:50:00+00:00,36774.501,36884.88,36149.02,735.8600000000006,36406.571,37032.052,2022-01-28 20:00:00+00:00,3.1017606357187204,TP_E20,37032.052,True,True,2022-01-28 13:55:00+00:00,2022-01-28 14:00:00+00:00,36890.17,37038.02,37070.6,4,True,2022-01-28 16:50:00+00:00,2022-01-28 16:55:00+00:00,37034.08,RUNNER_STRUCTURE_CLOSE_BREAK,0.00705866817880163,3.1293340894008153,185.0,37359.0,0.6443073410703153,0.20275595901394863,0.4415513820563667,0.3146882645743768,True
BLIND_F85,development,2022-02-01,2022-02-01 17:00:00+00:00,2022-02-01 17:10:00+00:00,38930.35,39100.0,37969.0,1131.0,38364.85,39326.2,2022-02-01 20:00:00+00:00,-7.686602868969816,CLOSE_INVALIDATION,38363.01,False,False,,,,38332.25,38364.85,0,False,2022-02-01 19:50:00+00:00,2022-02-01 19:55:00+00:00,38363.01,PREBREAK_CLOSE_INVALIDATION_F35,-0.014573205737939632,-7.686602868969816,165.0,,,,,,False
BLIND_F85,development,2022-02-03,2022-02-03 16:15:00+00:00,2022-02-03 16:20:00+00:00,36952.5805,37084.63,36204.3,880.3299999999945,36512.4155,37260.696,2022-02-03 20:00:00+00:00,-6.360212981607594,CLOSE_INVALIDATION,36512.09,False,False,,,,36620.0,36512.4155,0,False,2022-02-03 19:40:00+00:00,2022-02-03 19:45:00+00:00,36512.09,PREBREAK_CLOSE_INVALIDATION_F35,-0.011920425963215187,-6.360212981607594,205.0,,,,,,False
BLIND_F85,development,2022-02-22,2022-02-22 14:00:00+00:00,2022-02-22 14:10:00+00:00,37696.865,37868.0,36727.1,1140.9000000000017,37126.415,38096.18,2022-02-22 20:00:00+00:00,4.896395336853665,TP_E20,38096.18,True,True,2022-02-22 14:50:00+00:00,2022-02-22 14:55:00+00:00,38179.1,37947.7,37947.7,2,True,2022-02-22 15:35:00+00:00,2022-02-22 15:40:00+00:00,37921.3,RUNNER_STRUCTURE_CLOSE_BREAK,0.005953678110898641,2.576839055449321,90.0,38318.0,0.39442545358927106,0.04671750372513177,0.3477079498641393,0.11844444444445092,False
BLIND_F85,development,2022-02-24,2022-02-24 14:35:00+00:00,2022-02-24 14:50:00+00:00,35703.98,35870.0,34763.2,1106.800000000003,35150.58,36091.36,2022-02-24 20:00:00+00:00,5.024885404932356,TP_E20,36091.36,True,True,2022-02-24 15:50:00+00:00,2022-02-24 15:55:00+00:00,35934.0,35818.3,35960.8,1,True,2022-02-24 17:05:00+00:00,2022-02-24 17:10:00+00:00,35934.1,RUNNER_STRUCTURE_CLOSE_BREAK,0.0064452198326347965,2.8226099163173983,140.0,37365.1,1.350831225153591,0.057914709071194774,1.2929165160823963,0.04287338639555789,False
BLIND_F85,development,2022-03-16,2022-03-16 14:05:00+00:00,2022-03-16 14:10:00+00:00,40576.7,40760.0,39538.0,1222.0,39965.7,41004.4,2022-03-16 20:00:00+00:00,4.8702659407986015,TP_E20,41004.4,True,True,2022-03-16 14:15:00+00:00,2022-03-16 14:20:00+00:00,40861.3,40673.0,40678.4,2,True,2022-03-16 15:35:00+00:00,2022-03-16 15:40:00+00:00,40545.1,RUNNER_STRUCTURE_CLOSE_BREAK,-0.0007787720539126353,-0.7893860269563177,90.0,41188.0,0.3502454991816694,-0.17585924713584408,0.5261047463175135,0.0,False
BLIND_F85,development,2022-03-18,2022-03-18 14:15:00+00:00,2022-03-18 14:20:00+00:00,40650.13,40750.0,40084.2,665.8000000000029,40317.23,40883.16,2022-03-18 20:00:00+00:00,2.466288496494396,TP_E20,40883.16,True,True,2022-03-18 15:35:00+00:00,2022-03-18 15:40:00+00:00,40796.7,41686.0,41686.0,9,True,2022-03-18 20:00:00+00:00,2022-03-18 20:00:00+00:00,42020.3,TIME_EXIT_SESSION_END,0.033706411271009706,16.453205635504855,340.0,42091.8,2.0153199158906534,1.9079303094022189,0.10738960648843454,0.946713370099866,True
BLIND_F85,development,2022-04-18,2022-04-18 13:35:00+00:00,2022-04-18 14:00:00+00:00,39382.65,39489.0,38780.0,709.0,39028.15,39630.8,2022-04-18 20:00:00+00:00,2.750499014159758,TP_E20,39630.8,True,True,2022-04-18 14:20:00+00:00,2022-04-18 14:25:00+00:00,39505.9,39350.0,39350.0,0,False,2022-04-18 14:35:00+00:00,2022-04-18 14:40:00+00:00,39335.1,RUNNER_STRUCTURE_CLOSE_BREAK,-0.001207384470064965,-1.0036922350324824,40.0,41310.0,2.568406205923836,-0.21706629055007257,2.7854724964739086,0.0,False
BLIND_F85,development,2022-05-10,2022-05-10 13:35:00+00:00,2022-05-10 14:05:00+00:00,32171.27,32337.2,31231.0,1106.2000000000007,31618.17,32558.44,2022-05-10 20:00:00+00:00,-10.256154264348329,CLOSE_INVALIDATION,31537.1,False,False,,,,31673.3,31618.17,0,False,2022-05-10 14:30:00+00:00,2022-05-10 14:35:00+00:00,31537.1,PREBREAK_CLOSE_INVALIDATION_F35,-0.019712308528696654,-10.256154264348327,30.0,,,,,,False
