partition,date_utc,signal_ts,window_status,filled,target_hit,entry_ts,entry_px,entry_fraction,H,L,range,h2_bar_start,opposite_break_bar_start,path_class,pre_h2_min_low,pre_h2_min_frac,pre_h2_required_distance,to_h2_conservative_min_low,to_h2_conservative_min_frac,to_h2_required_distance,next_bar_pre_h2_min_frac,next_bar_pre_h2_required_distance,failure_terminal_min_low,failure_terminal_min_frac,failure_required_distance
august,2026-08-03,2026-08-03 13:50:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,False,False,,,0.85,62979.5,62268.2,711.3000000000029,,,NO_FILL,,,,,,,,,,,
august,2026-08-04,2026-08-04 13:40:00+00:00,H2_ARRIVAL,True,True,2026-08-04 14:30:00+00:00,63943.475000000006,0.85,64034.3,63428.8,605.5,2026-08-04 14:40:00+00:00,,F85_H2_WINNER,63829.3,0.6614368290668868,0.18856317093311314,63829.3,0.6614368290668868,0.18856317093311314,0.740710156895128,0.109289843104872,,,
august,2026-08-17,2026-08-17 13:45:00+00:00,H2_ARRIVAL,True,True,2026-08-17 13:50:00+00:00,63678.3,0.85,63753.0,63255.0,498.0,2026-08-17 14:50:00+00:00,,F85_H2_WINNER,63561.3,0.6150602409638612,0.23493975903613873,63561.3,0.6150602409638612,0.23493975903613873,0.6150602409638612,0.23493975903613873,,,
august,2026-08-20,2026-08-20 15:05:00+00:00,H2_ARRIVAL,True,True,2026-08-20 15:15:00+00:00,72080.145,0.85,72487.5,69771.8,2715.699999999997,2026-08-20 15:30:00+00:00,,F85_H2_WINNER,71937.7,0.7975475936222692,0.05245240637773074,71937.7,0.7975475936222692,0.05245240637773074,0.7975475936222692,0.05245240637773074,,,
development,2022-01-19,2022-01-19 14:35:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,False,False,,,0.85,42338.38,41115.64,1222.739999999998,,,NO_FILL,,,,,,,,,,,
development,2022-01-25,2022-01-25 14:25:00+00:00,H2_ARRIVAL,False,False,,,0.85,36793.85,35993.84,800.010000000002,2022-01-25 14:35:00+00:00,,NO_FILL,,,,,,,,,,,
development,2022-01-26,2022-01-26 13:55:00+00:00,H2_ARRIVAL,False,False,,,0.85,38239.99,37311.81,928.1800000000003,2022-01-26 14:00:00+00:00,,NO_FILL,,,,,,,,,,,
development,2022-01-28,2022-01-28 13:40:00+00:00,H2_ARRIVAL,True,True,2022-01-28 13:50:00+00:00,36774.501,0.85,36884.88,36149.02,735.8600000000006,2022-01-28 13:55:00+00:00,,F85_H2_WINNER,36709.39,0.7615171364118204,0.08848286358817958,36709.39,0.7615171364118204,0.08848286358817958,,,,,
development,2022-02-01,2022-02-01 17:00:00+00:00,NO_H2_BY_SESSION_END,True,False,2022-02-01 17:10:00+00:00,38930.35,0.85,39100.0,37969.0,1131.0,,,F85_NON_H2_FILL,,,,,,,,,38322.0,0.3121131741821397,0.5378868258178603
development,2022-02-03,2022-02-03 16:15:00+00:00,NO_H2_BY_SESSION_END,True,False,2022-02-03 16:20:00+00:00,36952.5805,0.85,37084.63,36204.3,880.3299999999945,,,F85_NON_H2_FILL,,,,,,,,,36431.79,0.2584144582145325,0.5915855417854674
development,2022-02-07,2022-02-07 14:25:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,False,False,,,0.85,42913.09,42201.68,711.4099999999962,,,NO_FILL,,,,,,,,,,,
development,2022-02-09,2022-02-09 19:10:00+00:00,H2_ARRIVAL,False,False,,,0.85,44436.44,43164.79,1271.6500000000015,2022-02-09 19:20:00+00:00,,NO_FILL,,,,,,,,,,,
development,2022-02-11,2022-02-11 13:45:00+00:00,H2_ARRIVAL,False,False,,,0.85,43748.13,42811.42,936.7099999999991,2022-02-11 13:50:00+00:00,,NO_FILL,,,,,,,,,,,
development,2022-02-15,2022-02-15 14:40:00+00:00,NO_H2_BY_SESSION_END,False,False,,,0.85,44442.3,43579.4,862.9000000000015,,,NO_FILL,,,,,,,,,,,
development,2022-02-22,2022-02-22 14:00:00+00:00,H2_ARRIVAL,True,True,2022-02-22 14:10:00+00:00,37696.865,0.85,37868.0,36727.1,1140.9000000000015,2022-02-22 14:45:00+00:00,,F85_H2_WINNER,37384.5,0.5762117626435276,0.2737882373564724,37384.5,0.5762117626435276,0.2737882373564724,0.5762117626435276,0.2737882373564724,,,
