partition,k,entry_method,exit_reason,n
august,1,F50,RANGE_BROKE_BEFORE_FILL,3
august,1,F50,TP_RANGE_EDGE,1
august,1,F55,RANGE_BROKE_BEFORE_FILL,3
august,1,F55,TP_RANGE_EDGE,1
august,1,F60,RANGE_BROKE_BEFORE_FILL,3
august,1,F60,TP_RANGE_EDGE,1
august,1,F65,RANGE_BROKE_BEFORE_FILL,2
august,1,F65,TP_RANGE_EDGE,2
august,1,F70,RANGE_BROKE_BEFORE_FILL,2
august,1,F70,TP_RANGE_EDGE,2
august,1,F75,RANGE_BROKE_BEFORE_FILL,2
august,1,F75,TP_RANGE_EDGE,2
august,1,F80,RANGE_BROKE_BEFORE_FILL,1
august,1,F80,TP_RANGE_EDGE,3
august,1,NEXT_OPEN,TP_RANGE_EDGE,4
august,1,SIG_LOW,RANGE_BROKE_BEFORE_FILL,2
august,1,SIG_LOW,TP_RANGE_EDGE,2
august,1,SIG_MID,RANGE_BROKE_BEFORE_FILL,1
august,1,SIG_MID,TP_RANGE_EDGE,3
august,2,F50,RANGE_BROKE_BEFORE_FILL,2
august,2,F55,RANGE_BROKE_BEFORE_FILL,2
august,2,F60,RANGE_BROKE_BEFORE_FILL,2
august,2,F65,RANGE_BROKE_BEFORE_FILL,2
august,2,F70,RANGE_BROKE_BEFORE_FILL,2
august,2,F75,RANGE_BROKE_BEFORE_FILL,2
august,2,F80,RANGE_BROKE_BEFORE_FILL,2
august,2,NEXT_OPEN,TP_RANGE_EDGE,2
august,2,SIG_LOW,RANGE_BROKE_BEFORE_FILL,1
august,2,SIG_LOW,TP_RANGE_EDGE,1
august,2,SIG_MID,PLANNED_PRICE_OUTSIDE_RANGE,2
development,1,F50,NO_FILL,5
development,1,F50,RANGE_BROKE_BEFORE_FILL,97
development,1,F50,SL_RANGE_EDGE,31
development,1,F50,SL_SAME_5M_CONSERVATIVE,1
development,1,F50,TIME_EXIT_SESSION_END,10
development,1,F50,TP_RANGE_EDGE,20
development,1,F55,NO_FILL,4
development,1,F55,RANGE_BROKE_BEFORE_FILL,92
development,1,F55,SL_RANGE_EDGE,31
development,1,F55,SL_SAME_5M_CONSERVATIVE,1
development,1,F55,TIME_EXIT_SESSION_END,10
development,1,F55,TP_RANGE_EDGE,26
development,1,F60,NO_FILL,4
development,1,F60,RANGE_BROKE_BEFORE_FILL,85
development,1,F60,SL_RANGE_EDGE,30
development,1,F60,SL_SAME_5M_CONSERVATIVE,1
development,1,F60,TIME_EXIT_SESSION_END,10
development,1,F60,TP_RANGE_EDGE,34
development,1,F65,NO_FILL,3
development,1,F65,RANGE_BROKE_BEFORE_FILL,79
development,1,F65,SL_RANGE_EDGE,29
development,1,F65,SL_SAME_5M_CONSERVATIVE,1
development,1,F65,TIME_EXIT_SESSION_END,10
development,1,F65,TP_RANGE_EDGE,42
development,1,F70,NO_FILL,3
development,1,F70,RANGE_BROKE_BEFORE_FILL,75
development,1,F70,SL_RANGE_EDGE,28
development,1,F70,SL_SAME_5M_CONSERVATIVE,1
development,1,F70,TIME_EXIT_SESSION_END,9
development,1,F70,TP_RANGE_EDGE,48
development,1,F75,NO_FILL,3
development,1,F75,RANGE_BROKE_BEFORE_FILL,62
development,1,F75,SL_RANGE_EDGE,28
development,1,F75,SL_SAME_5M_CONSERVATIVE,1
development,1,F75,TIME_EXIT_SESSION_END,9
development,1,F75,TP_RANGE_EDGE,61
development,1,F80,NO_FILL,1
development,1,F80,RANGE_BROKE_BEFORE_FILL,53
development,1,F80,SL_RANGE_EDGE,24
development,1,F80,SL_SAME_5M_CONSERVATIVE,1
development,1,F80,TIME_EXIT_SESSION_END,10
development,1,F80,TP_RANGE_EDGE,75
development,1,NEXT_OPEN,SL_RANGE_EDGE,21
development,1,NEXT_OPEN,SL_SAME_5M_CONSERVATIVE,1
development,1,NEXT_OPEN,TIME_EXIT_SESSION_END,5
development,1,NEXT_OPEN,TP_RANGE_EDGE,137
development,1,SIG_LOW,NO_FILL,1
development,1,SIG_LOW,RANGE_BROKE_BEFORE_FILL,57
