partition,k,entry_fraction,ttl,exit_reason,n
august,1,F50,FULL,RANGE_BROKE_BEFORE_FILL,3
august,1,F50,FULL,TP_RANGE_EDGE,1
august,1,F50,T15,RANGE_BROKE_BEFORE_FILL,1
august,1,F50,T15,TTL_EXPIRED,3
august,1,F50,T30,RANGE_BROKE_BEFORE_FILL,1
august,1,F50,T30,TP_RANGE_EDGE,1
august,1,F50,T30,TTL_EXPIRED,2
august,1,F50,T45,RANGE_BROKE_BEFORE_FILL,1
august,1,F50,T45,TP_RANGE_EDGE,1
august,1,F50,T45,TTL_EXPIRED,2
august,1,F50,T60,RANGE_BROKE_BEFORE_FILL,1
august,1,F50,T60,TP_RANGE_EDGE,1
august,1,F50,T60,TTL_EXPIRED,2
august,1,F50,T90,RANGE_BROKE_BEFORE_FILL,2
august,1,F50,T90,TP_RANGE_EDGE,1
august,1,F50,T90,TTL_EXPIRED,1
august,1,F60,FULL,RANGE_BROKE_BEFORE_FILL,3
august,1,F60,FULL,TP_RANGE_EDGE,1
august,1,F60,T15,RANGE_BROKE_BEFORE_FILL,1
august,1,F60,T15,TP_RANGE_EDGE,1
august,1,F60,T15,TTL_EXPIRED,2
august,1,F60,T30,RANGE_BROKE_BEFORE_FILL,1
august,1,F60,T30,TP_RANGE_EDGE,1
august,1,F60,T30,TTL_EXPIRED,2
august,1,F60,T45,RANGE_BROKE_BEFORE_FILL,1
august,1,F60,T45,TP_RANGE_EDGE,1
august,1,F60,T45,TTL_EXPIRED,2
august,1,F60,T60,RANGE_BROKE_BEFORE_FILL,1
august,1,F60,T60,TP_RANGE_EDGE,1
august,1,F60,T60,TTL_EXPIRED,2
august,1,F60,T90,RANGE_BROKE_BEFORE_FILL,2
august,1,F60,T90,TP_RANGE_EDGE,1
august,1,F60,T90,TTL_EXPIRED,1
august,1,F65,FULL,RANGE_BROKE_BEFORE_FILL,2
august,1,F65,FULL,TP_RANGE_EDGE,2
august,1,F65,T15,RANGE_BROKE_BEFORE_FILL,1
august,1,F65,T15,TP_RANGE_EDGE,2
august,1,F65,T15,TTL_EXPIRED,1
august,1,F65,T30,RANGE_BROKE_BEFORE_FILL,1
august,1,F65,T30,TP_RANGE_EDGE,2
august,1,F65,T30,TTL_EXPIRED,1
august,1,F65,T45,RANGE_BROKE_BEFORE_FILL,1
august,1,F65,T45,TP_RANGE_EDGE,2
august,1,F65,T45,TTL_EXPIRED,1
august,1,F65,T60,RANGE_BROKE_BEFORE_FILL,1
august,1,F65,T60,TP_RANGE_EDGE,2
august,1,F65,T60,TTL_EXPIRED,1
august,1,F65,T90,RANGE_BROKE_BEFORE_FILL,1
august,1,F65,T90,TP_RANGE_EDGE,2
august,1,F65,T90,TTL_EXPIRED,1
august,1,F70,FULL,RANGE_BROKE_BEFORE_FILL,2
august,1,F70,FULL,TP_RANGE_EDGE,2
august,1,F70,T15,RANGE_BROKE_BEFORE_FILL,1
august,1,F70,T15,TP_RANGE_EDGE,2
august,1,F70,T15,TTL_EXPIRED,1
august,1,F70,T30,RANGE_BROKE_BEFORE_FILL,1
august,1,F70,T30,TP_RANGE_EDGE,2
august,1,F70,T30,TTL_EXPIRED,1
august,1,F70,T45,RANGE_BROKE_BEFORE_FILL,1
august,1,F70,T45,TP_RANGE_EDGE,2
august,1,F70,T45,TTL_EXPIRED,1
august,1,F70,T60,RANGE_BROKE_BEFORE_FILL,1
august,1,F70,T60,TP_RANGE_EDGE,2
august,1,F70,T60,TTL_EXPIRED,1
august,1,F70,T90,RANGE_BROKE_BEFORE_FILL,1
august,1,F70,T90,TP_RANGE_EDGE,2
august,1,F70,T90,TTL_EXPIRED,1
august,1,F75,FULL,RANGE_BROKE_BEFORE_FILL,2
august,1,F75,FULL,TP_RANGE_EDGE,2
august,1,F75,T15,RANGE_BROKE_BEFORE_FILL,1
august,1,F75,T15,TP_RANGE_EDGE,2
august,1,F75,T15,TTL_EXPIRED,1
august,1,F75,T30,RANGE_BROKE_BEFORE_FILL,1
august,1,F75,T30,TP_RANGE_EDGE,2
august,1,F75,T30,TTL_EXPIRED,1
august,1,F75,T45,RANGE_BROKE_BEFORE_FILL,1
august,1,F75,T45,TP_RANGE_EDGE,2
august,1,F75,T45,TTL_EXPIRED,1
august,1,F75,T60,RANGE_BROKE_BEFORE_FILL,1
august,1,F75,T60,TP_RANGE_EDGE,2
august,1,F75,T60,TTL_EXPIRED,1
august,1,F75,T90,RANGE_BROKE_BEFORE_FILL,1
august,1,F75,T90,TP_RANGE_EDGE,2
august,1,F75,T90,TTL_EXPIRED,1
august,1,F80,FULL,RANGE_BROKE_BEFORE_FILL,1
august,1,F80,FULL,TP_RANGE_EDGE,3
august,1,F80,T15,RANGE_BROKE_BEFORE_FILL,1
august,1,F80,T15,TP_RANGE_EDGE,2
august,1,F80,T15,TTL_EXPIRED,1
august,1,F80,T30,RANGE_BROKE_BEFORE_FILL,1
august,1,F80,T30,TP_RANGE_EDGE,3
august,1,F80,T45,RANGE_BROKE_BEFORE_FILL,1
august,1,F80,T45,TP_RANGE_EDGE,3
august,1,F80,T60,RANGE_BROKE_BEFORE_FILL,1
august,1,F80,T60,TP_RANGE_EDGE,3
august,1,F80,T90,RANGE_BROKE_BEFORE_FILL,1
august,1,F80,T90,TP_RANGE_EDGE,3
august,2,F50,FULL,RANGE_BROKE_BEFORE_FILL,2
august,2,F50,T15,RANGE_BROKE_BEFORE_FILL,1
august,2,F50,T15,TTL_EXPIRED,1
august,2,F50,T30,RANGE_BROKE_BEFORE_FILL,1
august,2,F50,T30,TTL_EXPIRED,1
august,2,F50,T45,RANGE_BROKE_BEFORE_FILL,1
august,2,F50,T45,TTL_EXPIRED,1
august,2,F50,T60,RANGE_BROKE_BEFORE_FILL,1
august,2,F50,T60,TTL_EXPIRED,1
august,2,F50,T90,RANGE_BROKE_BEFORE_FILL,2
august,2,F60,FULL,RANGE_BROKE_BEFORE_FILL,2
august,2,F60,T15,RANGE_BROKE_BEFORE_FILL,1
august,2,F60,T15,TTL_EXPIRED,1
august,2,F60,T30,RANGE_BROKE_BEFORE_FILL,1
august,2,F60,T30,TTL_EXPIRED,1
august,2,F60,T45,RANGE_BROKE_BEFORE_FILL,1
august,2,F60,T45,TTL_EXPIRED,1
august,2,F60,T60,RANGE_BROKE_BEFORE_FILL,1
august,2,F60,T60,TTL_EXPIRED,1
august,2,F60,T90,RANGE_BROKE_BEFORE_FILL,2
august,2,F65,FULL,RANGE_BROKE_BEFORE_FILL,2
august,2,F65,T15,RANGE_BROKE_BEFORE_FILL,1
august,2,F65,T15,TTL_EXPIRED,1
august,2,F65,T30,RANGE_BROKE_BEFORE_FILL,1
