partition,date_utc,signal_ts,window_status,entry_name,entry_fraction,planned_entry_px,H,L,eligible_start,h2_bar_start,opposite_break_bar_start,filled,entry_ts,entry_px,target_hit,terminal,minutes_to_h2,reward_range_frac,min_post_entry_frac,adverse_excursion_range_frac
august,2026-08-03,2026-08-03 13:50:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F95,0.95,62943.935,62979.5,62268.2,,,,False,,,False,NO_CLEAN_WINDOW,,0.050000000000000044,,
august,2026-08-03,2026-08-03 13:50:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F90,0.9,62908.37,62979.5,62268.2,,,,False,,,False,NO_CLEAN_WINDOW,,0.09999999999999998,,
august,2026-08-03,2026-08-03 13:50:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F85,0.85,62872.805,62979.5,62268.2,,,,False,,,False,NO_CLEAN_WINDOW,,0.15000000000000002,,
august,2026-08-03,2026-08-03 13:50:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F80,0.8,62837.24,62979.5,62268.2,,,,False,,,False,NO_CLEAN_WINDOW,,0.19999999999999996,,
august,2026-08-03,2026-08-03 13:50:00+00:00,NO_WINDOW_HIGH_BREAK_DURING_K1,F75,0.75,62801.675,62979.5,62268.2,,,,False,,,False,NO_CLEAN_WINDOW,,0.25,,
august,2026-08-04,2026-08-04 13:40:00+00:00,H2_ARRIVAL,F95,0.95,64004.025,64034.3,63428.8,2026-08-04 13:50:00+00:00,2026-08-04 14:40:00+00:00,,True,2026-08-04 14:35:00+00:00,64004.025,True,H2_ARRIVAL,5.0,0.050000000000000044,0.740710156895128,0.20928984310487198
august,2026-08-04,2026-08-04 13:40:00+00:00,H2_ARRIVAL,F90,0.9,63973.75,64034.3,63428.8,2026-08-04 13:50:00+00:00,2026-08-04 14:40:00+00:00,,True,2026-08-04 14:30:00+00:00,63973.75,True,H2_ARRIVAL,10.0,0.09999999999999998,0.6614368290668868,0.2385631709331132
august,2026-08-04,2026-08-04 13:40:00+00:00,H2_ARRIVAL,F85,0.85,63943.475000000006,64034.3,63428.8,2026-08-04 13:50:00+00:00,2026-08-04 14:40:00+00:00,,True,2026-08-04 14:30:00+00:00,63943.475000000006,True,H2_ARRIVAL,10.0,0.15000000000000002,0.6614368290668868,0.18856317093311314
august,2026-08-04,2026-08-04 13:40:00+00:00,H2_ARRIVAL,F80,0.8,63913.200000000004,64034.3,63428.8,2026-08-04 13:50:00+00:00,2026-08-04 14:40:00+00:00,,True,2026-08-04 14:30:00+00:00,63913.200000000004,True,H2_ARRIVAL,10.0,0.19999999999999996,0.6614368290668868,0.1385631709331132
august,2026-08-04,2026-08-04 13:40:00+00:00,H2_ARRIVAL,F75,0.75,63882.925,64034.3,63428.8,2026-08-04 13:50:00+00:00,2026-08-04 14:40:00+00:00,,True,2026-08-04 13:50:00+00:00,63882.925,True,H2_ARRIVAL,50.0,0.25,0.25317919075143785,0.49682080924856215
august,2026-08-17,2026-08-17 13:45:00+00:00,H2_ARRIVAL,F95,0.95,63728.1,63753.0,63255.0,2026-08-17 13:50:00+00:00,2026-08-17 14:50:00+00:00,,False,,,False,H2_ARRIVAL,,0.050000000000000044,,
august,2026-08-17,2026-08-17 13:45:00+00:00,H2_ARRIVAL,F90,0.9,63703.2,63753.0,63255.0,2026-08-17 13:50:00+00:00,2026-08-17 14:50:00+00:00,,True,2026-08-17 13:50:00+00:00,63703.2,True,H2_ARRIVAL,60.0,0.09999999999999998,0.6150602409638612,0.2849397590361388
