partition,entry_name,setups,fills,fill_rate,target_hits,target_hit_rate,median_minutes_to_h2,median_reward_range_frac,median_min_post_entry_frac,p10_min_post_entry_frac,median_adverse_excursion_range_frac,screen_pass
external,F95,101,34,0.33663366336633666,32,0.9411764705882353,10.0,0.050000000000000044,0.8244510550244422,0.6304680910630182,0.12554894497555785,False
external,F90,101,48,0.4752475247524752,44,0.9166666666666666,20.0,0.09999999999999998,0.7720271078689234,0.5131817828032071,0.12797289213107665,False
external,F85,101,46,0.45544554455445546,41,0.8913043478260869,25.0,0.15000000000000002,0.7232037788877976,0.47702784693883926,0.1267962211122024,True
external,F80,101,38,0.37623762376237624,32,0.8421052631578947,32.5,0.19999999999999996,0.6784332985450197,0.44801472403072223,0.12156670145498039,False
external,F75,101,33,0.32673267326732675,25,0.7575757575757576,40.0,0.25,0.5515695067264611,0.19179689251607954,0.1984304932735389,False
development,F95,164,37,0.22560975609756098,32,0.8648648648648649,7.5,0.050000000000000044,0.7884052670080505,0.20304402629146023,0.16159473299194949,False
development,F90,164,56,0.34146341463414637,44,0.7857142857142857,10.0,0.09999999999999998,0.7210679482249247,0.1299618311784096,0.17893205177507526,False
development,F85,164,72,0.43902439024390244,53,0.7361111111111112,15.0,0.15000000000000002,0.6331228109971607,0.06364308749669373,0.21687718900283925,True
development,F80,164,73,0.4451219512195122,50,0.684931506849315,25.0,0.19999999999999996,0.547480656491799,0.03675667105913072,0.25251934350820104,False
development,F75,164,70,0.4268292682926829,45,0.6428571428571429,25.0,0.25,0.3931814286646887,0.01299414233059509,0.3568185713353113,False
reference_validation,F95,82,18,0.21951219512195122,18,1.0,5.0,0.050000000000000044,0.765071186570188,0.46208925721003785,0.18492881342981188,False
reference_validation,F90,82,28,0.34146341463414637,25,0.8928571428571429,5.0,0.09999999999999998,0.6508764256091277,0.23673610612212792,0.24912357439087224,False
reference_validation,F85,82,31,0.3780487804878049,27,0.8709677419354839,15.0,0.15000000000000002,0.5379318676008673,0.1417910447761173,0.31206813239913267,True
reference_validation,F80,82,32,0.3902439024390244,27,0.84375,25.0,0.19999999999999996,0.4934478438136194,0.08533098706561247,0.30655215618638065,False
reference_validation,F75,82,31,0.3780487804878049,25,0.8064516129032258,35.0,0.25,0.46298507462686134,0.08348657594704158,0.28701492537313866,False
august,F95,4,2,0.5,2,1.0,5.0,0.050000000000000044,0.7882399700040686,0.7502161195169161,0.1617600299959313,False
august,F90,4,3,0.75,3,1.0,20.0,0.09999999999999998,0.6614368290668868,0.6243355585844663,0.2385631709331132,False
august,F85,4,3,0.75,3,1.0,15.0,0.15000000000000002,0.6614368290668868,0.6243355585844663,0.18856317093311314,True
august,F80,4,3,0.75,3,1.0,10.0,0.19999999999999996,0.6614368290668868,0.6243355585844663,0.1385631709331132,False
august,F75,4,2,0.5,2,1.0,55.0,0.25,0.4341197158576495,0.28936729577268017,0.3158802841423505,False
