signal_id,partition,date_utc,k,signal_ts,signal_bar_start,structural_outcome,previous_session_high,previous_session_low,zone_name,zone_fraction,zone_px,status,activated,activation_bar_start,activation_ts,confirmed,confirmation_bar_start,confirmation_ts,confirmation_close,prior_bar_high_at_confirm,pullback_low,pullback_low_fraction,filled,entry_ts,entry_px,stop_px,target_px,nominal_rr,exit_ts,exit_px,exit_reason,net_pnl_usd
august|2026-08-03|K1|2026-08-03 13:50:00+00:00,august,2026-08-03,1,2026-08-03 13:50:00+00:00,2026-08-03 13:45:00+00:00,TARGET_BREAK,62979.5,62268.2,Z75,0.75,62801.675,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,62979.5,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
august|2026-08-03|K1|2026-08-03 13:50:00+00:00,august,2026-08-03,1,2026-08-03 13:50:00+00:00,2026-08-03 13:45:00+00:00,TARGET_BREAK,62979.5,62268.2,Z80,0.8,62837.24,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,62979.5,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
august|2026-08-03|K1|2026-08-03 13:50:00+00:00,august,2026-08-03,1,2026-08-03 13:50:00+00:00,2026-08-03 13:45:00+00:00,TARGET_BREAK,62979.5,62268.2,Z85,0.85,62872.805,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,62979.5,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
august|2026-08-04|K1|2026-08-04 13:40:00+00:00,august,2026-08-04,1,2026-08-04 13:40:00+00:00,2026-08-04 13:35:00+00:00,TARGET_BREAK,64034.3,63428.8,Z75,0.75,63882.925,TRADE,True,2026-08-04 13:45:00+00:00,2026-08-04 13:50:00+00:00,True,2026-08-04 14:30:00+00:00,2026-08-04 14:35:00+00:00,63917.1,63881.2,63582.1,0.25317919075143785,True,2026-08-04 14:35:00+00:00,63917.1,63582.1,64034.3,0.34985074626866974,2026-08-04 14:40:00+00:00,64034.3,TP_PREV_HIGH,0.5168125587675213
august|2026-08-04|K1|2026-08-04 13:40:00+00:00,august,2026-08-04,1,2026-08-04 13:40:00+00:00,2026-08-04 13:35:00+00:00,TARGET_BREAK,64034.3,63428.8,Z80,0.8,63913.200000000004,TRADE,True,2026-08-04 13:45:00+00:00,2026-08-04 13:50:00+00:00,True,2026-08-04 14:30:00+00:00,2026-08-04 14:35:00+00:00,63917.1,63881.2,63582.1,0.25317919075143785,True,2026-08-04 14:35:00+00:00,63917.1,63582.1,64034.3,0.34985074626866974,2026-08-04 14:40:00+00:00,64034.3,TP_PREV_HIGH,0.5168125587675213
august|2026-08-04|K1|2026-08-04 13:40:00+00:00,august,2026-08-04,1,2026-08-04 13:40:00+00:00,2026-08-04 13:35:00+00:00,TARGET_BREAK,64034.3,63428.8,Z85,0.85,63943.475000000006,TARGET_BROKE_BEFORE_CONFIRMATION,True,2026-08-04 13:45:00+00:00,2026-08-04 13:50:00+00:00,False,,,,,63582.1,0.25317919075143785,False,,,,64034.3,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
august|2026-08-17|K1|2026-08-17 13:45:00+00:00,august,2026-08-17,1,2026-08-17 13:45:00+00:00,2026-08-17 13:40:00+00:00,TARGET_BREAK,63753.0,63255.0,Z75,0.75,63628.5,TRADE,True,2026-08-17 13:45:00+00:00,2026-08-17 13:50:00+00:00,True,2026-08-17 14:10:00+00:00,2026-08-17 14:15:00+00:00,63669.6,63621.8,63561.3,0.6150602409638612,True,2026-08-17 14:15:00+00:00,63669.6,63561.3,63753.0,0.7700831024931193,2026-08-17 14:25:00+00:00,63561.3,SL_PULLBACK_LOW,-1.2504843755889334
august|2026-08-17|K1|2026-08-17 13:45:00+00:00,august,2026-08-17,1,2026-08-17 13:45:00+00:00,2026-08-17 13:40:00+00:00,TARGET_BREAK,63753.0,63255.0,Z80,0.8,63653.4,TRADE,True,2026-08-17 13:45:00+00:00,2026-08-17 13:50:00+00:00,True,2026-08-17 14:10:00+00:00,2026-08-17 14:15:00+00:00,63669.6,63621.8,63561.3,0.6150602409638612,True,2026-08-17 14:15:00+00:00,63669.6,63561.3,63753.0,0.7700831024931193,2026-08-17 14:25:00+00:00,63561.3,SL_PULLBACK_LOW,-1.2504843755889334
august|2026-08-17|K1|2026-08-17 13:45:00+00:00,august,2026-08-17,1,2026-08-17 13:45:00+00:00,2026-08-17 13:40:00+00:00,TARGET_BREAK,63753.0,63255.0,Z85,0.85,63678.3,TRADE,True,2026-08-17 13:45:00+00:00,2026-08-17 13:50:00+00:00,True,2026-08-17 14:45:00+00:00,2026-08-17 14:50:00+00:00,63726.9,63612.1,63561.3,0.6150602409638612,True,2026-08-17 14:50:00+00:00,63726.9,63561.3,63753.0,0.1576086956521665,2026-08-17 14:50:00+00:00,63753.0,TP_PREV_HIGH,-0.19521991498099267
august|2026-08-17|K2|2026-08-17 14:55:00+00:00,august,2026-08-17,2,2026-08-17 14:55:00+00:00,2026-08-17 14:50:00+00:00,TARGET_BREAK,63753.0,63255.0,Z75,0.75,63628.5,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,63753.0,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
