horizon_bars,horizon_minutes,feature,partition,later_h2_n,failure_n,later_h2_median,failure_median,failure_minus_h2_median_gap,expected_direction_ok,partitions_expected_direction,consistent_3of3
1,5,adverse_wick_r,external,23,13,0.056465134002289655,0.09923616979782418,0.042771035795534526,True,3,True
1,5,adverse_wick_r,development,39,22,0.10460413897854845,0.1431787610408723,0.03857462206232384,True,3,True
1,5,adverse_wick_r,reference_validation,17,11,0.10099436526351041,0.14960229783471593,0.04860793257120552,True,3,True
1,5,adverse_wick_r,POOLED_MAJOR,79,46,0.08875675675675387,0.13841932090379253,0.04966256414703865,True,3,True
1,5,favorable_wick_r,external,23,13,0.06791788898683727,0.026138385617994826,-0.04177950336884245,True,2,False
1,5,favorable_wick_r,development,39,22,0.027635197066914113,0.009243464244024373,-0.01839173282288974,True,2,False
1,5,favorable_wick_r,reference_validation,17,11,0.04361530389862277,0.10287663525109282,0.059261331352470054,False,2,False
1,5,favorable_wick_r,POOLED_MAJOR,79,46,0.046747948634740306,0.01576533892856416,-0.030982609706176147,True,2,False
1,5,adverse_close_r,external,23,13,0.0015759731925192495,0.05566760454740714,0.05409163135488789,True,3,True
1,5,adverse_close_r,development,39,22,0.04117647058822997,0.07704483116385638,0.03586836057562641,True,3,True
1,5,adverse_close_r,reference_validation,17,11,0.002898550724648226,0.11704327318598064,0.1141447224613324,True,3,True
1,5,adverse_close_r,POOLED_MAJOR,79,46,0.022088142707244626,0.07704483116385638,0.05495668845661175,True,3,True
1,5,favorable_close_r,external,23,13,0.0,0.0,0.0,False,0,False
1,5,favorable_close_r,development,39,22,0.0,0.0,0.0,False,0,False
1,5,favorable_close_r,reference_validation,17,11,0.0,0.0,0.0,False,0,False
1,5,favorable_close_r,POOLED_MAJOR,79,46,0.0,0.0,0.0,False,0,False
1,5,net_close_progress_r,external,23,13,-0.0015759731925192495,-0.05566760454740714,-0.05409163135488789,True,3,True
1,5,net_close_progress_r,development,39,22,-0.04117647058822997,-0.07704483116385638,-0.03586836057562641,True,3,True
1,5,net_close_progress_r,reference_validation,17,11,-0.002898550724648226,-0.11704327318598064,-0.1141447224613324,True,3,True
1,5,net_close_progress_r,POOLED_MAJOR,79,46,-0.022088142707244626,-0.07704483116385638,-0.05495668845661175,True,3,True
1,5,wrong_side_close_fraction,external,23,13,1.0,1.0,0.0,False,0,False
1,5,wrong_side_close_fraction,development,39,22,1.0,1.0,0.0,False,0,False
1,5,wrong_side_close_fraction,reference_validation,17,11,1.0,1.0,0.0,False,0,False
1,5,wrong_side_close_fraction,POOLED_MAJOR,79,46,1.0,1.0,0.0,False,0,False
1,5,lower_low_step_fraction,external,0,0,,,,False,0,False
1,5,lower_low_step_fraction,development,0,0,,,,False,0,False
1,5,lower_low_step_fraction,reference_validation,0,0,,,,False,0,False
1,5,lower_low_step_fraction,POOLED_MAJOR,0,0,,,,False,0,False
1,5,higher_high_step_fraction,external,0,0,,,,False,0,False
1,5,higher_high_step_fraction,development,0,0,,,,False,0,False
1,5,higher_high_step_fraction,reference_validation,0,0,,,,False,0,False
1,5,higher_high_step_fraction,POOLED_MAJOR,0,0,,,,False,0,False
1,5,close_path_efficiency,external,23,13,0.0,0.0,0.0,False,0,False
1,5,close_path_efficiency,development,39,22,0.0,0.0,0.0,False,0,False
1,5,close_path_efficiency,reference_validation,17,11,0.0,0.0,0.0,False,0,False
1,5,close_path_efficiency,POOLED_MAJOR,79,46,0.0,0.0,0.0,False,0,False
1,5,adverse_favorable_ratio,external,23,13,0.7731932260034853,2.8543954662060007,2.0812022402025154,True,3,True
1,5,adverse_favorable_ratio,development,39,22,3.2815734989650998,16.43481182793027,13.153238328965172,True,3,True
1,5,adverse_favorable_ratio,reference_validation,17,11,1.3893099321897575,1.6205648354135265,0.23125490322376896,True,3,True
1,5,adverse_favorable_ratio,POOLED_MAJOR,79,46,1.5707561905158411,7.402066193924366,5.831310003408525,True,3,True
2,10,adverse_wick_r,external,20,13,0.09055904460284608,0.14786040477881016,0.05730136017596407,True,3,True
2,10,adverse_wick_r,development,30,19,0.1285435195948348,0.17383858935232,0.04529506975748521,True,3,True
2,10,adverse_wick_r,reference_validation,15,10,0.13344671201814437,0.2610599457602033,0.12761323374205893,True,3,True
2,10,adverse_wick_r,POOLED_MAJOR,65,42,0.1115763391307094,0.18698815958569814,0.07541182045498875,True,3,True
2,10,favorable_wick_r,external,20,13,0.07209123046041348,0.029894412670480514,-0.042196817789932964,True,2,False
2,10,favorable_wick_r,development,30,19,0.04399496195524702,0.015384615384624713,-0.028610346570622308,True,2,False
2,10,favorable_wick_r,reference_validation,15,10,0.04676544644586348,0.08073677025429613,0.033971323808432645,False,2,False
2,10,favorable_wick_r,POOLED_MAJOR,65,42,0.05994781392793809,0.028016399144237668,-0.03193141478370042,True,2,False
2,10,adverse_close_r,external,20,13,0.056152496128281174,0.13463702974526404,0.07848453361698286,True,3,True
2,10,adverse_close_r,development,30,19,0.06300461589185523,0.15393633039363755,0.09093171450178232,True,3,True
2,10,adverse_close_r,reference_validation,15,10,0.09288204532249066,0.17859796826470967,0.08571592294221901,True,3,True
2,10,adverse_close_r,POOLED_MAJOR,65,42,0.06221621621621412,0.15816428588647238,0.09594806967025826,True,3,True
2,10,favorable_close_r,external,20,13,0.0018136492544132796,0.0,-0.0018136492544132796,True,2,False
2,10,favorable_close_r,development,30,19,0.0,0.0,0.0,False,2,False
2,10,favorable_close_r,reference_validation,15,10,0.00029436501262053894,0.0,-0.00029436501262053894,True,2,False
2,10,favorable_close_r,POOLED_MAJOR,65,42,0.0,0.0,0.0,False,2,False
2,10,net_close_progress_r,external,20,13,-0.02680966417235566,-0.13463702974526404,-0.10782736557290837,True,3,True
