partition,date_utc,signal_ts,window_status,H,L,range,F15,F65,E20_DOWN,eligible_start,h2_bar_start,opposite_break_bar_start,session_end,blind_filled,blind_touch_bar_start,blind_entry_px,h2_after_fill,minutes_fill_to_h2,max_pre_h2_frac,adverse_excursion_r,rule,entry_executed,confirmation_kind,confirmation_bar_start,entry_start,entry_px,entry_fraction,entry_on_h2_bar_open,entry_status,fixed_exit_reason,fixed_exit_px,fixed_net_pnl_usd,fixed_hold_minutes,fixed_h2_seen,fixed_breakdown_accepted,fixed_e20_reached,confirmed,minutes_touch_to_confirmation,minutes_touch_to_entry,actual_entry_fraction,nominal_rr
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,62974.4,62555.5,418.90000000000146,62618.335,62827.785,62471.72,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,0.31343996180473255,0.16343996180473255,BLIND_F15,True,,,2026-08-14 14:10:00+00:00,62618.335,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,62871.3,-2.41989561044702,85.0,True,False,False,True,0.0,0.0,0.15,0.6999999999999756
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,62974.4,62555.5,418.90000000000146,62618.335,62827.785,62471.72,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,0.31343996180473255,0.16343996180473255,EARLY_REJECT,True,SAME_BAR,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,62580.2,0.058963953210783016,True,EXECUTED,CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,True,False,False,True,5.0,5.0,0.058963953210783016,0.43815255366840933
august,2026-08-14,2026-08-14 14:05:00+00:00,H2_ARRIVAL,62974.4,62555.5,418.90000000000146,62618.335,62827.785,62471.72,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,,2026-08-14 20:00:00+00:00,True,2026-08-14 14:10:00+00:00,62618.335,True,5.0,0.31343996180473255,0.16343996180473255,SAME_BAR_REJECTION,True,SAME_BAR,2026-08-14 14:10:00+00:00,2026-08-14 14:15:00+00:00,62580.2,0.058963953210783016,True,EXECUTED,CLOSE_INVALIDATION_F65,62871.3,-2.725815513533058,80.0,True,False,False,True,5.0,5.0,0.058963953210783016,0.43815255366840933
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,0.30442735085565337,0.15442735085565337,BLIND_F15,True,,,2022-01-03 15:15:00+00:00,46896.733,0.15,False,EXECUTED,TP_E20_DOWN,46617.356,2.5786403244763116,40.0,True,True,True,True,0.0,0.0,0.15,0.7
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,0.30442735085565337,0.15442735085565337,EARLY_REJECT,True,LATER_REJECT,2022-01-03 15:20:00+00:00,2022-01-03 15:25:00+00:00,46865.35,0.11068377139134376,False,EXECUTED,TP_E20_DOWN,46617.356,2.2458140182458735,30.0,True,True,True,True,10.0,10.0,0.11068377139134376,0.5760697618776554
development,2022-01-03,2022-01-03 15:10:00+00:00,H2_ARRIVAL,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:15:00+00:00,2022-01-03 15:50:00+00:00,,2022-01-03 20:00:00+00:00,True,2022-01-03 15:15:00+00:00,46896.733,True,35.0,0.30442735085565337,0.15442735085565337,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,42887.63,42420.0,467.6299999999974,42490.1445,42723.9595,42326.474,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,True,2022-01-17 15:30:00+00:00,42490.1445,True,25.0,0.4478968415200014,0.2978968415200014,BLIND_F15,True,,,2022-01-17 15:30:00+00:00,42490.1445,0.15,False,EXECUTED,TP_E20_DOWN,42326.474,1.5259819179951455,35.0,True,False,True,True,0.0,0.0,0.15,0.7000000000000156
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,42887.63,42420.0,467.6299999999974,42490.1445,42723.9595,42326.474,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,True,2022-01-17 15:30:00+00:00,42490.1445,True,25.0,0.4478968415200014,0.2978968415200014,EARLY_REJECT,True,LATER_REJECT,2022-01-17 15:50:00+00:00,2022-01-17 15:55:00+00:00,42468.34,0.10337232427345718,True,EXECUTED,TP_E20_DOWN,42326.474,1.2702560071807927,10.0,True,False,True,True,25.0,25.0,0.10337232427345718,0.5549889581976106
development,2022-01-17,2022-01-17 15:15:00+00:00,H2_ARRIVAL,42887.63,42420.0,467.6299999999974,42490.1445,42723.9595,42326.474,2022-01-17 15:20:00+00:00,2022-01-17 15:55:00+00:00,,2022-01-17 20:00:00+00:00,True,2022-01-17 15:30:00+00:00,42490.1445,True,25.0,0.4478968415200014,0.2978968415200014,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,39287.4,38630.0,657.4000000000015,38728.61,39057.31,38498.52,2022-03-14 13:45:00+00:00,2022-03-14 17:30:00+00:00,,2022-03-14 20:00:00+00:00,True,2022-03-14 14:50:00+00:00,38728.61,True,160.0,0.7655917249771855,0.6155917249771855,BLIND_F15,True,,,2022-03-14 14:50:00+00:00,38728.61,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,39101.0,-5.207686100792186,10.0,False,False,False,True,0.0,0.0,0.15,0.7000000000000177
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,39287.4,38630.0,657.4000000000015,38728.61,39057.31,38498.52,2022-03-14 13:45:00+00:00,2022-03-14 17:30:00+00:00,,2022-03-14 20:00:00+00:00,True,2022-03-14 14:50:00+00:00,38728.61,True,160.0,0.7655917249771855,0.6155917249771855,EARLY_REJECT,True,LATER_REJECT,2022-03-14 17:00:00+00:00,2022-03-14 17:05:00+00:00,38721.1,0.13857620930939815,False,EXECUTED,TP_E20_DOWN,38498.52,2.4741435548060857,80.0,True,True,True,True,135.0,135.0,0.13857620930939815,0.6620267094970474
development,2022-03-14,2022-03-14 13:35:00+00:00,H2_ARRIVAL,39287.4,38630.0,657.4000000000015,38728.61,39057.31,38498.52,2022-03-14 13:45:00+00:00,2022-03-14 17:30:00+00:00,,2022-03-14 20:00:00+00:00,True,2022-03-14 14:50:00+00:00,38728.61,True,160.0,0.7655917249771855,0.6155917249771855,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
development,2022-03-24,2022-03-24 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,43206.7,42721.0,485.6999999999971,42793.854999999996,43036.705,42623.86,2022-03-24 13:40:00+00:00,,2022-03-24 14:45:00+00:00,2022-03-24 20:00:00+00:00,True,2022-03-24 13:50:00+00:00,42793.854999999996,False,,0.852995676343433,0.702995676343433,BLIND_F15,True,,,2022-03-24 13:50:00+00:00,42793.854999999996,0.15,False,EXECUTED,CLOSE_INVALIDATION_F65,43063.3,-3.5481739609577896,15.0,False,False,False,True,0.0,0.0,0.15,0.6999999999999641
development,2022-03-24,2022-03-24 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,43206.7,42721.0,485.6999999999971,42793.854999999996,43036.705,42623.86,2022-03-24 13:40:00+00:00,,2022-03-24 14:45:00+00:00,2022-03-24 20:00:00+00:00,True,2022-03-24 13:50:00+00:00,42793.854999999996,False,,0.852995676343433,0.702995676343433,EARLY_REJECT,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
development,2022-03-24,2022-03-24 13:35:00+00:00,OPPOSITE_BREAK_BEFORE_H2,43206.7,42721.0,485.6999999999971,42793.854999999996,43036.705,42623.86,2022-03-24 13:40:00+00:00,,2022-03-24 14:45:00+00:00,2022-03-24 20:00:00+00:00,True,2022-03-24 13:50:00+00:00,42793.854999999996,False,,0.852995676343433,0.702995676343433,SAME_BAR_REJECTION,False,,,,,,False,NO_CONFIRMATION_PRE_H2,NO_TRADE,,,,False,False,False,False,,,,
development,2022-04-15,2022-04-15 14:00:00+00:00,H2_ARRIVAL,40400.0,40005.6,394.40000000000146,40064.76,40261.96,39926.72,2022-04-15 14:10:00+00:00,2022-04-15 14:25:00+00:00,,2022-04-15 20:00:00+00:00,True,2022-04-15 14:10:00+00:00,40064.76,True,15.0,0.2674949290060842,0.11749492900608419,BLIND_F15,True,,,2022-04-15 14:10:00+00:00,40064.76,0.15,False,EXECUTED,TP_E20_DOWN,39926.72,1.3227109310027356,15.0,True,False,True,True,0.0,0.0,0.15,0.7000000000000147
