partition,date_utc,signal_ts,entry_bar_start,entry_px,H,L,range,h2_bar_start,target_name,target_ext,target_px,stop_name,stop_distance,boundary_fraction,boundary_px,session_end,exit_bar_start,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,win,hold_minutes,h2_before_exit
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E10,0.1,62513.61,D30,0.3,0.44999999999999996,62744.005,2026-08-14 20:00:00+00:00,2026-08-14 14:35:00+00:00,2026-08-14 14:40:00+00:00,62751.7,CLOSE_INVALIDATION,-0.0021298075076572696,-1.4649037538286347,False,30.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E10,0.1,62513.61,D40,0.4,0.55,62785.895000000004,2026-08-14 20:00:00+00:00,2026-08-14 14:55:00+00:00,2026-08-14 14:55:00+00:00,62513.61,TP,0.0016724334813437397,0.4362167406718698,True,45.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E10,0.1,62513.61,D50,0.5,0.65,62827.785,2026-08-14 20:00:00+00:00,2026-08-14 14:55:00+00:00,2026-08-14 14:55:00+00:00,62513.61,TP,0.0016724334813437397,0.4362167406718698,True,45.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E10,0.1,62513.61,D60,0.6,0.75,62869.675,2026-08-14 20:00:00+00:00,2026-08-14 14:55:00+00:00,2026-08-14 14:55:00+00:00,62513.61,TP,0.0016724334813437397,0.4362167406718698,True,45.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E15,0.15,62492.665,D30,0.3,0.44999999999999996,62744.005,2026-08-14 20:00:00+00:00,2026-08-14 14:35:00+00:00,2026-08-14 14:40:00+00:00,62751.7,CLOSE_INVALIDATION,-0.0021298075076572696,-1.4649037538286347,False,30.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E15,0.15,62492.665,D40,0.4,0.55,62785.895000000004,2026-08-14 20:00:00+00:00,2026-08-14 14:55:00+00:00,2026-08-14 14:55:00+00:00,62492.665,TP,0.002006920177612488,0.6034600888062439,True,45.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E15,0.15,62492.665,D50,0.5,0.65,62827.785,2026-08-14 20:00:00+00:00,2026-08-14 14:55:00+00:00,2026-08-14 14:55:00+00:00,62492.665,TP,0.002006920177612488,0.6034600888062439,True,45.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E15,0.15,62492.665,D60,0.6,0.75,62869.675,2026-08-14 20:00:00+00:00,2026-08-14 14:55:00+00:00,2026-08-14 14:55:00+00:00,62492.665,TP,0.002006920177612488,0.6034600888062439,True,45.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E20,0.2,62471.72,D30,0.3,0.44999999999999996,62744.005,2026-08-14 20:00:00+00:00,2026-08-14 14:35:00+00:00,2026-08-14 14:40:00+00:00,62751.7,CLOSE_INVALIDATION,-0.0021298075076572696,-1.4649037538286347,False,30.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E20,0.2,62471.72,D40,0.4,0.55,62785.895000000004,2026-08-14 20:00:00+00:00,2026-08-14 15:25:00+00:00,2026-08-14 15:30:00+00:00,62820.9,CLOSE_INVALIDATION,-0.0032349151410685437,-2.0174575705342717,False,80.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E20,0.2,62471.72,D50,0.5,0.65,62827.785,2026-08-14 20:00:00+00:00,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,CLOSE_INVALIDATION,-0.004039791220894069,-2.419895610447034,False,85.0,True
august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,2026-08-14 14:15:00+00:00,E20,0.2,62471.72,D60,0.6,0.75,62869.675,2026-08-14 20:00:00+00:00,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,CLOSE_INVALIDATION,-0.004039791220894069,-2.419895610447034,False,85.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E10,0.1,46697.178,D30,0.3,0.44999999999999996,47136.199,2022-01-03 20:00:00+00:00,2022-01-03 15:50:00+00:00,2022-01-03 15:50:00+00:00,46697.178,TP,0.0042552004635376265,1.7276002317688133,True,35.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E10,0.1,46697.178,D40,0.4,0.55,47216.021,2022-01-03 20:00:00+00:00,2022-01-03 15:50:00+00:00,2022-01-03 15:50:00+00:00,46697.178,TP,0.0042552004635376265,1.7276002317688133,True,35.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E10,0.1,46697.178,D50,0.5,0.65,47295.843,2022-01-03 20:00:00+00:00,2022-01-03 15:50:00+00:00,2022-01-03 15:50:00+00:00,46697.178,TP,0.0042552004635376265,1.7276002317688133,True,35.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E10,0.1,46697.178,D60,0.6,0.75,47375.665,2022-01-03 20:00:00+00:00,2022-01-03 15:50:00+00:00,2022-01-03 15:50:00+00:00,46697.178,TP,0.0042552004635376265,1.7276002317688133,True,35.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E15,0.15,46657.267,D30,0.3,0.44999999999999996,47136.199,2022-01-03 20:00:00+00:00,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46657.267,TP,0.005106240556245151,2.1531202781225756,True,40.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E15,0.15,46657.267,D40,0.4,0.55,47216.021,2022-01-03 20:00:00+00:00,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46657.267,TP,0.005106240556245151,2.1531202781225756,True,40.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E15,0.15,46657.267,D50,0.5,0.65,47295.843,2022-01-03 20:00:00+00:00,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46657.267,TP,0.005106240556245151,2.1531202781225756,True,40.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E15,0.15,46657.267,D60,0.6,0.75,47375.665,2022-01-03 20:00:00+00:00,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46657.267,TP,0.005106240556245151,2.1531202781225756,True,40.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E20,0.2,46617.356,D30,0.3,0.44999999999999996,47136.199,2022-01-03 20:00:00+00:00,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46617.356,TP,0.005957280648952677,2.5786403244763387,True,40.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E20,0.2,46617.356,D40,0.4,0.55,47216.021,2022-01-03 20:00:00+00:00,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46617.356,TP,0.005957280648952677,2.5786403244763387,True,40.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E20,0.2,46617.356,D50,0.5,0.65,47295.843,2022-01-03 20:00:00+00:00,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46617.356,TP,0.005957280648952677,2.5786403244763387,True,40.0,True
development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,2022-01-03 15:50:00+00:00,E20,0.2,46617.356,D60,0.6,0.75,47375.665,2022-01-03 20:00:00+00:00,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46617.356,TP,0.005957280648952677,2.5786403244763387,True,40.0,True
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,E10,0.1,42373.237,D30,0.3,0.44999999999999996,42630.4335,2022-01-17 20:00:00+00:00,2022-01-17 16:05:00+00:00,2022-01-17 16:05:00+00:00,42373.237,TP,0.0027514027399930625,0.9757013699965312,True,35.0,True
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,E10,0.1,42373.237,D40,0.4,0.55,42677.1965,2022-01-17 20:00:00+00:00,2022-01-17 16:05:00+00:00,2022-01-17 16:05:00+00:00,42373.237,TP,0.0027514027399930625,0.9757013699965312,True,35.0,True
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,E10,0.1,42373.237,D50,0.5,0.65,42723.9595,2022-01-17 20:00:00+00:00,2022-01-17 16:05:00+00:00,2022-01-17 16:05:00+00:00,42373.237,TP,0.0027514027399930625,0.9757013699965312,True,35.0,True
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,E10,0.1,42373.237,D60,0.6,0.75,42770.722499999996,2022-01-17 20:00:00+00:00,2022-01-17 16:05:00+00:00,2022-01-17 16:05:00+00:00,42373.237,TP,0.0027514027399930625,0.9757013699965312,True,35.0,True
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,E15,0.15,42349.8555,D30,0.3,0.44999999999999996,42630.4335,2022-01-17 20:00:00+00:00,2022-01-17 16:05:00+00:00,2022-01-17 16:05:00+00:00,42349.8555,TP,0.0033016832879917434,1.2508416439958716,True,35.0,True
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,E15,0.15,42349.8555,D40,0.4,0.55,42677.1965,2022-01-17 20:00:00+00:00,2022-01-17 16:05:00+00:00,2022-01-17 16:05:00+00:00,42349.8555,TP,0.0033016832879917434,1.2508416439958716,True,35.0,True
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,E15,0.15,42349.8555,D50,0.5,0.65,42723.9595,2022-01-17 20:00:00+00:00,2022-01-17 16:05:00+00:00,2022-01-17 16:05:00+00:00,42349.8555,TP,0.0033016832879917434,1.2508416439958716,True,35.0,True
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,E15,0.15,42349.8555,D60,0.6,0.75,42770.722499999996,2022-01-17 20:00:00+00:00,2022-01-17 16:05:00+00:00,2022-01-17 16:05:00+00:00,42349.8555,TP,0.0033016832879917434,1.2508416439958716,True,35.0,True
development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,2022-01-17 15:55:00+00:00,E20,0.2,42326.474,D30,0.3,0.44999999999999996,42630.4335,2022-01-17 20:00:00+00:00,2022-01-17 16:05:00+00:00,2022-01-17 16:05:00+00:00,42326.474,TP,0.0038519638359902535,1.5259819179951268,True,35.0,True
