n,wr,pf,exp,total,mean_win,mean_loss,partition,stage_bucket,pre_invalid_n,time_exit_n,ceiling_hit_n,gap_exit_n,eventual_h2_rate,eventual_accept_rate,late_h2_n,late_accept_n,share_nonactivated_drag
13,0.0,0.0,-3.4497314791015232,-44.8465092283198,,-3.4497314791015232,external,PRE_H2_FAILURE,4,9,0,0,0.0,0.0,0,0,
5,0.0,0.0,-3.2973830487888156,-16.48691524394408,,-3.2973830487888156,external,H2_NO_ACCEPTANCE,2,3,0,0,1.0,0.0,0,0,
4,0.25,0.14575878541451198,-2.94712868519201,-11.78851474076804,2.011468846406806,-4.599994529058282,external,ACCEPTED_NO_E20,1,3,0,0,1.0,1.0,0,0,
28,0.9285714285714286,83.44361045618226,4.23254791748109,118.51134168947051,4.613416359029274,-0.7187418226452965,external,E20_ACTIVATED,0,0,8,20,1.0,1.0,0,1,
24,0.0,0.0,-4.644455936515558,-111.4669424763734,,-4.644455936515558,development,PRE_H2_FAILURE,19,5,0,0,0.16666666666666666,0.125,4,3,
5,0.0,0.0,-3.1430176328425263,-15.71508816421263,,-3.1430176328425263,development,H2_NO_ACCEPTANCE,2,3,0,0,1.0,0.0,0,0,
3,0.0,0.0,-2.0796045641814436,-6.238813692544331,,-2.0796045641814436,development,ACCEPTED_NO_E20,1,2,0,0,1.0,1.0,0,0,
47,0.9148936170212766,50.1691150570814,2.3816320868328997,111.93670808114629,2.656122640039339,-0.5691413601363211,development,E20_ACTIVATED,0,0,14,33,1.0,0.9574468085106383,0,2,
11,0.0,0.0,-4.404801004471688,-48.45281104918857,,-4.404801004471688,reference_validation,PRE_H2_FAILURE,10,1,0,0,0.09090909090909091,0.09090909090909091,1,1,
2,0.0,0.0,-3.0855954769322564,-6.171190953864513,,-3.0855954769322564,reference_validation,H2_NO_ACCEPTANCE,0,2,0,0,1.0,0.0,0,0,
4,0.25,0.015100425184248333,-3.06014696870473,-12.24058787481892,0.1876720085390418,-4.142753294452654,reference_validation,ACCEPTED_NO_E20,3,1,0,0,1.0,1.0,0,0,
17,0.9411764705882353,17.877039419748105,1.6412298668487373,27.900907736428533,1.8471309416510073,-1.6531873299875817,reference_validation,E20_ACTIVATED,0,0,8,9,1.0,1.0,0,1,
0,,,,0.0,,,august,PRE_H2_FAILURE,0,0,0,0,,,0,0,
1,0.0,0.0,-2.41989561044702,-2.41989561044702,,-2.41989561044702,august,H2_NO_ACCEPTANCE,1,0,0,0,1.0,0.0,0,0,
0,,,,0.0,,,august,ACCEPTED_NO_E20,0,0,0,0,,,0,0,
0,,,,0.0,,,august,E20_ACTIVATED,0,0,0,0,,,0,0,
48,0.0,0.0,-4.265963807372537,-204.7662627538818,,-4.265963807372537,POOLED_MAJOR,PRE_H2_FAILURE,33,15,0,0,0.10416666666666667,0.08333333333333333,5,4,0.7489419915398722
12,0.0,0.0,-3.197766196835101,-38.373194362021216,,-3.197766196835101,POOLED_MAJOR,H2_NO_ACCEPTANCE,4,8,0,0,1.0,0.0,0,0,0.14035171722493112
11,0.18181818181818182,0.06773452992366677,-2.751628755284663,-30.267916308131294,1.0995704274729239,-3.6074507958974595,POOLED_MAJOR,ACCEPTED_NO_E20,5,6,0,0,1.0,1.0,0,0,0.11070629123519658
92,0.9239130434782609,49.13444713286561,2.8081408424678846,258.3489575070454,3.102543457916104,-0.7667480594033513,POOLED_MAJOR,E20_ACTIVATED,0,0,30,62,1.0,0.9782608695652174,0,4,
