activation,ext,partition,date_utc,signal_ts,entry_start,entry_px,H,L,range,F65,activation_px,session_end,activated,activation_bar_start,ratchets,final_ceiling,exit_bar_start,exit_ts,exit_px,exit_reason,net_pnl_usd,win,trough_extension_r,realized_exit_extension_r,capture_ratio,giveback_r
E05,0.05,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62534.555,2026-08-14 20:00:00+00:00,True,2026-08-14 14:55:00+00:00,0,62534.555,2026-08-14 15:00:00+00:00,2026-08-14 15:00:00+00:00,62581.0,PROFIT_CEILING_GAP_OPEN,-0.10188444007657138,False,0.17020768679876502,-0.06087371687753619,0.0,0.2310814036763012
E10,0.1,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62513.61,2026-08-14 20:00:00+00:00,True,2026-08-14 14:55:00+00:00,0,62513.61,2026-08-14 15:00:00+00:00,2026-08-14 15:00:00+00:00,62581.0,PROFIT_CEILING_GAP_OPEN,-0.10188444007657138,False,0.17020768679876502,-0.06087371687753619,0.0,0.2310814036763012
E15,0.15,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62492.665,2026-08-14 20:00:00+00:00,True,2026-08-14 14:55:00+00:00,0,62492.665,2026-08-14 15:00:00+00:00,2026-08-14 15:00:00+00:00,62581.0,PROFIT_CEILING_GAP_OPEN,-0.10188444007657138,False,0.17020768679876502,-0.06087371687753619,0.0,0.2310814036763012
E20,0.2,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62471.72,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,PRE_ACT_CLOSE_INVALIDATION_F65,-2.41989561044702,False,,,,
E25,0.25,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62450.775,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,PRE_ACT_CLOSE_INVALIDATION_F65,-2.41989561044702,False,,,,
E30,0.3,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62429.83,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,PRE_ACT_CLOSE_INVALIDATION_F65,-2.41989561044702,False,,,,
E40,0.4,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62387.94,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,PRE_ACT_CLOSE_INVALIDATION_F65,-2.41989561044702,False,,,,
E50,0.5,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.90000000000146,62827.785,62346.05,2026-08-14 20:00:00+00:00,False,,0,,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,PRE_ACT_CLOSE_INVALIDATION_F65,-2.41989561044702,False,,,,
E05,0.05,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46737.089,2022-01-03 20:00:00+00:00,True,2022-01-03 15:50:00+00:00,0,46737.089,2022-01-03 16:00:00+00:00,2022-01-03 16:00:00+00:00,46737.089,PROFIT_CEILING_HIT,1.302080185415067,True,0.6471899977449799,0.05,0.07725706542779746,0.5971899977449798
E10,0.1,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46697.178,2022-01-03 20:00:00+00:00,True,2022-01-03 15:50:00+00:00,0,46697.178,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46708.22,PROFIT_CEILING_GAP_OPEN,1.6098734809522735,True,0.6471899977449799,0.08616672095412134,0.13313975996902638,0.5610232767908585
E15,0.15,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46657.267,2022-01-03 20:00:00+00:00,True,2022-01-03 15:55:00+00:00,0,46657.267,2022-01-03 16:00:00+00:00,2022-01-03 16:00:00+00:00,46689.99,PROFIT_CEILING_GAP_OPEN,1.804236700240947,True,0.6471899977449799,0.10900503620555976,0.16842818428184725,0.5381849615394201
E20,0.2,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46617.356,2022-01-03 20:00:00+00:00,True,2022-01-03 15:55:00+00:00,0,46617.356,2022-01-03 16:00:00+00:00,2022-01-03 16:00:00+00:00,46689.99,PROFIT_CEILING_GAP_OPEN,1.804236700240947,True,0.6471899977449799,0.10900503620555976,0.16842818428184725,0.5381849615394201
E25,0.25,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46577.445,2022-01-03 20:00:00+00:00,True,2022-01-03 15:55:00+00:00,0,46577.445,2022-01-03 16:00:00+00:00,2022-01-03 16:00:00+00:00,46689.99,PROFIT_CEILING_GAP_OPEN,1.804236700240947,True,0.6471899977449799,0.10900503620555976,0.16842818428184725,0.5381849615394201
E30,0.3,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46537.534,2022-01-03 20:00:00+00:00,True,2022-01-03 16:15:00+00:00,1,46475.52,2022-01-03 16:40:00+00:00,2022-01-03 16:40:00+00:00,46475.52,PROFIT_CEILING_HIT,4.090856537917087,True,0.6471899977449799,0.37769036105334713,0.5835849787069378,0.26949963669163274
E40,0.4,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46457.712,2022-01-03 20:00:00+00:00,True,2022-01-03 16:15:00+00:00,0,46457.712,2022-01-03 16:30:00+00:00,2022-01-03 16:30:00+00:00,46457.712,PROFIT_CEILING_HIT,4.280720509891378,True,0.6471899977449799,0.4,0.6180565234223797,0.24718999774497985
E50,0.5,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,47295.843,46377.89,2022-01-03 20:00:00+00:00,True,2022-01-03 16:20:00+00:00,0,46377.89,2022-01-03 16:25:00+00:00,2022-01-03 16:25:00+00:00,46377.89,PROFIT_CEILING_HIT,5.131760602598911,True,0.6471899977449799,0.5,0.7725706542779747,0.14718999774497987
E05,0.05,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42396.6185,2022-01-17 20:00:00+00:00,True,2022-01-17 15:55:00+00:00,0,42396.6185,2022-01-17 16:00:00+00:00,2022-01-17 16:00:00+00:00,42467.49,PROFIT_CEILING_GAP_OPEN,-0.13341465101389638,False,1.2702350148621844,-0.10155464790539151,0.0,1.3717896627675759
E10,0.1,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42373.237,2022-01-17 20:00:00+00:00,True,2022-01-17 16:05:00+00:00,0,42373.237,2022-01-17 16:20:00+00:00,2022-01-17 16:20:00+00:00,42373.237,PROFIT_CEILING_HIT,0.9757013699965403,True,1.2702350148621844,0.09999999999999844,0.07872558922558756,1.1702350148621858
E15,0.15,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42349.8555,2022-01-17 20:00:00+00:00,True,2022-01-17 16:05:00+00:00,0,42349.8555,2022-01-17 16:10:00+00:00,2022-01-17 16:10:00+00:00,42368.89,PROFIT_CEILING_GAP_OPEN,1.0268544085558888,True,1.2702350148621844,0.10929581079058416,0.08604377104377202,1.1609392040716002
E20,0.2,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42326.474,2022-01-17 20:00:00+00:00,True,2022-01-17 16:05:00+00:00,0,42326.474,2022-01-17 16:10:00+00:00,2022-01-17 16:10:00+00:00,42368.89,PROFIT_CEILING_GAP_OPEN,1.0268544085558888,True,1.2702350148621844,0.10929581079058416,0.08604377104377202,1.1609392040716002
E25,0.25,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42303.0925,2022-01-17 20:00:00+00:00,True,2022-01-17 16:10:00+00:00,0,42303.0925,2022-01-17 16:15:00+00:00,2022-01-17 16:15:00+00:00,42303.0925,PROFIT_CEILING_HIT,1.8011221919944758,True,1.2702350148621844,0.2500000000000039,0.19681397306397502,1.0202350148621804
E30,0.3,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42723.9595,42279.711,2022-01-17 20:00:00+00:00,True,2022-01-17 16:10:00+00:00,0,42279.711,2022-01-17 16:15:00+00:00,2022-01-17 16:15:00+00:00,42279.711,PROFIT_CEILING_HIT,2.076262465993695,True,1.2702350148621844,0.2999999999999953,0.23617676767676268,0.970235014862189
