zone,partition,n,activation_n,activation_rate,wr,pf,expectancy,total_pnl,pre_invalidations,ceiling_hits,gap_exits,time_exits,median_ratchets,median_capture,median_giveback
F05,external,8,4,0.5,0.5,0.6588874335343619,-0.49169616375996605,-3.9335693100797284,1,2,2,3,0.0,0.19635339862067774,0.4011891891891889
F05,development,17,12,0.7058823529411765,0.6470588235294118,0.9114557314893654,-0.10883878888496232,-1.8502594110443593,2,7,5,3,0.0,0.3959455500914495,0.24296698023000857
F05,reference_validation,3,1,0.3333333333333333,0.3333333333333333,0.9372401483799693,-0.08330471207580063,-0.24991413622740188,1,0,1,1,0.0,0.6676127404604165,0.08733841564468114
F05,august,0,0,,,,,0.0,0,0,0,0,,,
F05,POOLED_MAJOR,28,17,0.6071428571428571,0.5714285714285714,0.8342837736265181,-0.2154908163339818,-6.03374285735149,4,9,8,7,0.0,0.3570892723180738,0.2634471273938397
F10,external,10,4,0.4,0.5,0.5462993159003101,-0.87826658526976,-8.7826658526976,3,2,2,3,0.0,0.19635339862067774,0.4011891891891889
F10,development,22,15,0.6818181818181818,0.6818181818181818,1.143269927908644,0.16596137545929873,3.651150260104572,4,9,6,3,0.0,0.3563951935914584,0.3611747958342689
F10,reference_validation,5,2,0.4,0.4,1.6289102967185776,0.4711445886544821,2.3557229432724105,1,1,1,2,0.0,0.3920751950014981,0.8017609952619507
F10,august,0,0,,,,,0.0,0,0,0,0,,,
F10,POOLED_MAJOR,37,21,0.5675675675675675,0.5945945945945946,0.9428707927739167,-0.0750214229546112,-2.7757926493206146,8,12,9,8,0.0,0.34285714285714286,0.37220543806646744
F15,external,10,3,0.3,0.4,0.5786794514537379,-0.7156922736729796,-7.156922736729796,3,1,2,4,0.0,0.13624079768893707,0.4190450450450445
F15,development,26,17,0.6538461538461539,0.6538461538461539,1.2231243736730568,0.24187366074503347,6.28871517937087,5,10,7,4,0.0,0.34952481520591455,0.37220543806646744
F15,reference_validation,6,3,0.5,0.8333333333333334,3.2830058166421408,1.0530379687973939,6.318227812784363,1,1,2,2,0.0,0.3050781249999943,0.3315318673127133
F15,august,1,0,0.0,0.0,0.0,-2.41989561044702,-2.41989561044702,1,0,0,0,,,
F15,POOLED_MAJOR,42,23,0.5476190476190477,0.6190476190476191,1.1136861295906135,0.12976238703393897,5.450020255425437,9,12,11,10,0.0,0.295261239368159,0.37220543806646744
