zone,frac,partition,clean_windows,fills,fill_given_clean,downside_resolutions,resolution_rate,direct_breakdowns,low_revisits,opposite_breaks,unresolved,median_minutes_to_resolution
F05,0.05,external,13,8,0.6153846153846154,7,0.875,3,4,0,1,20.0
F05,0.05,development,42,17,0.40476190476190477,13,0.7647058823529411,6,7,2,2,5.0
F05,0.05,reference_validation,14,3,0.21428571428571427,2,0.6666666666666666,0,2,1,0,60.0
F05,0.05,august,1,0,0.0,0,,0,0,0,0,
F05,0.05,POOLED_MAJOR,69,28,0.4057971014492754,22,0.7857142857142857,9,13,3,3,7.5
F10,0.1,external,13,10,0.7692307692307693,7,0.7,3,4,1,2,20.0
F10,0.1,development,42,22,0.5238095238095238,17,0.7727272727272727,7,10,2,3,10.0
F10,0.1,reference_validation,14,5,0.35714285714285715,3,0.6,1,2,1,1,65.0
F10,0.1,august,1,0,0.0,0,,0,0,0,0,
F10,0.1,POOLED_MAJOR,69,37,0.5362318840579711,27,0.7297297297297297,11,16,4,6,15.0
F15,0.15,external,13,10,0.7692307692307693,6,0.6,2,4,1,3,25.0
F15,0.15,development,42,26,0.6190476190476191,21,0.8076923076923077,7,14,2,3,10.0
F15,0.15,reference_validation,14,6,0.42857142857142855,4,0.6666666666666666,1,3,1,1,77.5
F15,0.15,august,1,1,1.0,1,1.0,0,1,0,0,5.0
F15,0.15,POOLED_MAJOR,69,42,0.6086956521739131,31,0.7380952380952381,10,21,4,7,15.0
F20,0.2,external,13,7,0.5384615384615384,2,0.2857142857142857,0,2,1,4,200.0
F20,0.2,development,42,25,0.5952380952380952,19,0.76,6,13,2,4,15.0
F20,0.2,reference_validation,14,7,0.5,4,0.5714285714285714,1,3,2,1,72.5
F20,0.2,august,1,1,1.0,1,1.0,0,1,0,0,25.0
F20,0.2,POOLED_MAJOR,69,39,0.5652173913043478,25,0.6410256410256411,7,18,5,9,20.0
F25,0.25,external,13,7,0.5384615384615384,2,0.2857142857142857,0,2,1,4,192.5
F25,0.25,development,42,21,0.5,15,0.7142857142857143,5,10,2,4,20.0
F25,0.25,reference_validation,14,6,0.42857142857142855,3,0.5,1,2,2,1,80.0
F25,0.25,august,1,1,1.0,1,1.0,0,1,0,0,25.0
F25,0.25,POOLED_MAJOR,69,34,0.4927536231884058,20,0.5882352941176471,6,14,5,9,20.0
F30,0.3,external,13,5,0.38461538461538464,2,0.4,0,2,1,2,172.5
F30,0.3,development,42,21,0.5,14,0.6666666666666666,4,10,3,4,17.5
F30,0.3,reference_validation,14,6,0.42857142857142855,3,0.5,1,2,2,1,80.0
F30,0.3,august,1,1,1.0,1,1.0,0,1,0,0,25.0
F30,0.3,POOLED_MAJOR,69,32,0.463768115942029,19,0.59375,5,14,6,7,20.0
F35,0.35,external,13,5,0.38461538461538464,2,0.4,0,2,1,2,172.5
F35,0.35,development,42,18,0.42857142857142855,11,0.6111111111111112,3,8,3,4,15.0
F35,0.35,reference_validation,14,6,0.42857142857142855,3,0.5,1,2,2,1,70.0
F35,0.35,august,1,1,1.0,1,1.0,0,1,0,0,25.0
F35,0.35,POOLED_MAJOR,69,29,0.42028985507246375,16,0.5517241379310345,4,12,6,7,30.0
