partition,entry_tf,higher_tf,entry_type,signal_ts,entry_ts,higher_state,entry_px,max_follow_bars,bars_to_soft_failure,hours_to_soft_failure,soft_censored,bars_to_hard_failure,hours_to_hard_failure,hard_censored
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 06:05:00+00:00,2020-01-01 06:10:00+00:00,NEUTRAL,7223.92,210454,9.0,0.75,False,17.0,1.4166666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 13:20:00+00:00,2020-01-01 13:25:00+00:00,NEUTRAL,7218.0,210367,7.0,0.5833333333333334,False,35.0,2.9166666666666665,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 14:25:00+00:00,2020-01-01 14:30:00+00:00,NEUTRAL,7226.74,210354,4.0,0.3333333333333333,False,22.0,1.8333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 14:40:00+00:00,2020-01-01 14:45:00+00:00,NEUTRAL,7222.82,210351,1.0,0.08333333333333333,False,19.0,1.5833333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 16:50:00+00:00,2020-01-01 16:55:00+00:00,NEUTRAL,7233.0,210325,14.0,1.1666666666666667,False,20.0,1.6666666666666667,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 16:55:00+00:00,2020-01-01 17:00:00+00:00,NEUTRAL,7241.91,210324,13.0,1.0833333333333333,False,19.0,1.5833333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 17:10:00+00:00,2020-01-01 17:15:00+00:00,NEUTRAL,7237.81,210321,10.0,0.8333333333333334,False,16.0,1.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 18:10:00+00:00,2020-01-01 18:15:00+00:00,NEUTRAL,7239.69,210309,3.0,0.25,False,4.0,0.3333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 20:55:00+00:00,2020-01-01 21:00:00+00:00,NEUTRAL,7233.32,210276,3.0,0.25,False,3.0,0.25,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-01 21:05:00+00:00,2020-01-01 21:10:00+00:00,NEUTRAL,7238.02,210274,1.0,0.08333333333333333,False,1.0,0.08333333333333333,False
external,5m,1h,PULLBACK_RECLAIM,2020-01-03 09:00:00+00:00,2020-01-03 09:05:00+00:00,NEUTRAL,7270.97,209843,18.0,1.5,False,60.0,5.0,False
