partition,entry_tf,higher_tf,entry_type,higher_state,n,soft_fail_n,hard_fail_n,median_bars_soft_uncensored,median_bars_hard_uncensored,soft_n_at_risk_1,soft_survival_1,hard_n_at_risk_1,hard_survival_1,soft_n_at_risk_2,soft_survival_2,hard_n_at_risk_2,hard_survival_2,soft_n_at_risk_3,soft_survival_3,hard_n_at_risk_3,hard_survival_3,soft_n_at_risk_4,soft_survival_4,hard_n_at_risk_4,hard_survival_4,soft_n_at_risk_6,soft_survival_6,hard_n_at_risk_6,hard_survival_6,soft_n_at_risk_12,soft_survival_12,hard_n_at_risk_12,hard_survival_12,soft_n_at_risk_24,soft_survival_24,hard_n_at_risk_24,hard_survival_24,soft_n_at_risk_48,soft_survival_48,hard_n_at_risk_48,hard_survival_48
august,1h,4h,CROSSOVER_INIT,NEUTRAL,3,3,2,7.0,38.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.3333333333333333,3,0.6666666666666666,3,0.3333333333333333,3,0.6666666666666666,3,0.0,3,0.6666666666666666
august,1h,4h,PULLBACK_RECLAIM,NEUTRAL,3,3,3,9.0,40.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.3333333333333333,3,0.6666666666666666,3,0.0,3,0.6666666666666666,3,0.0,3,0.3333333333333333
august,1h,4h,PULLBACK_RECLAIM,STRONG_BULL,3,3,2,9.0,15.5,3,0.6666666666666666,3,1.0,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.6666666666666666,3,0.3333333333333333,3,0.6666666666666666,3,0.3333333333333333,3,0.6666666666666666,3,0.0,3,0.3333333333333333
august,5m,1h,CROSSOVER_INIT,NEUTRAL,37,37,37,11.0,17.0,37,1.0,37,1.0,37,0.918918918918919,37,0.918918918918919,37,0.8378378378378378,37,0.8648648648648649,37,0.8108108108108109,37,0.8108108108108109,37,0.6756756756756757,37,0.7567567567567568,37,0.43243243243243246,37,0.6216216216216216,37,0.08108108108108109,37,0.3783783783783784,37,0.0,37,0.16216216216216217
august,5m,1h,CROSSOVER_INIT,STRONG_BEAR,15,15,15,9.0,30.0,15,1.0,15,1.0,15,1.0,15,1.0,15,0.9333333333333333,15,1.0,15,0.8,15,0.8666666666666667,15,0.6666666666666666,15,0.7333333333333333,15,0.3333333333333333,15,0.6666666666666666,15,0.2,15,0.5333333333333333,15,0.0,15,0.2
august,5m,1h,CROSSOVER_INIT,STRONG_BULL,4,4,4,14.5,17.0,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0,4,0.75,4,1.0,4,0.75,4,0.75,4,0.5,4,0.5,4,0.25,4,0.25,4,0.0,4,0.0
august,5m,1h,PULLBACK_RECLAIM,NEUTRAL,36,35,33,7.0,17.0,36,0.8611111111111112,36,1.0,36,0.7222222222222222,36,0.9444444444444444,36,0.6944444444444444,36,0.9166666666666666,36,0.6388888888888888,36,0.8888888888888888,36,0.5833333333333334,36,0.7777777777777778,35,0.34285714285714286,35,0.6285714285714286,33,0.2727272727272727,33,0.45454545454545453,33,0.06060606060606061,33,0.21212121212121213
august,5m,1h,PULLBACK_RECLAIM,STRONG_BEAR,3,3,3,17.0,20.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,0.0,3,0.0,3,0.0,3,0.0
august,5m,1h,PULLBACK_RECLAIM,STRONG_BULL,24,24,24,9.5,14.5,24,0.9166666666666666,24,0.9583333333333334,24,0.7916666666666666,24,0.9166666666666666,24,0.7083333333333334,24,0.7916666666666666,24,0.6666666666666666,24,0.7916666666666666,24,0.5833333333333334,24,0.75,24,0.3333333333333333,24,0.5416666666666666,24,0.16666666666666666,24,0.4166666666666667,23,0.0,23,0.21739130434782608
development,1h,4h,CROSSOVER_INIT,NEUTRAL,238,238,238,10.0,13.0,238,0.9537815126050421,238,0.9537815126050421,238,0.8823529411764706,238,0.8907563025210085,238,0.7815126050420168,238,0.8109243697478992,238,0.7226890756302521,238,0.7605042016806722,238,0.6302521008403361,238,0.680672268907563,237,0.4092827004219409,237,0.5274261603375527,237,0.16455696202531644,237,0.29535864978902954,237,0.02109704641350211,237,0.11392405063291139
